profile_id,profile_type,profile_label,requested_center,signal_rank_centroid,sigma,pc_index,rank_fraction,eigenvalue,teacher_coefficient,teacher_aligned,signal_allocation,mc_mean_aligned,mc_std_aligned,mc_q10_aligned,mc_q90_aligned,theory_mean_aligned,theory_lambda_cv,mc_lambda_median
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,1,0.00390625,23.559089753817332,-0.04147672979239271,0.04147672979239271,0.04052915241832172,0.04135819770033175,0.001729892429064132,0.039229616305450604,0.043591626275170305,0.04139411445773809,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,2,0.01171875,11.779544876908666,0.05963159938202458,0.05963159938202458,0.04188720927164818,0.05936890417006732,0.002512297390013719,0.0561496969476406,0.06266512662984959,0.059394517468251605,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,3,0.01953125,7.85302991793911,0.07402078358093105,0.07402078358093105,0.043027350907069974,0.07368508825471175,0.00313835002796073,0.06991379312029095,0.07797478123550677,0.07358022422163576,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,4,0.02734375,5.889772438454333,-0.08636330938846672,0.08636330938846672,0.043929581622859294,0.0856420809469698,0.0034467088426891166,0.08117414008573562,0.0900636179125638,0.08567930639303002,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,5,0.03515625,4.711817950763466,-0.09726691690954244,0.09726691690954244,0.04457781758432548,0.09627378457149029,0.0037690097506527204,0.09165457125188028,0.1014545557068237,0.09630586945886307,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,6,0.04296875,3.926514958969555,0.10700677599387037,0.10700677599387037,0.04496036363836171,0.10554348953133655,0.004409176157210097,0.0997172140230758,0.11086634625277128,0.10574053945258327,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,7,0.05078125,3.3655842505453326,-0.11572170369249328,0.11572170369249328,0.04507026425258567,0.11463274181250205,0.004522655988139327,0.10904049105338882,0.12012785994072746,0.11412725886250749,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,8,0.05859375,2.9448862192271665,-0.12348538934439139,0.12348538934439139,0.04490551386642227,0.12148017861510672,0.004901917913314311,0.11511682660150763,0.12781570204203507,0.1215447349142645,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,9,0.06640625,2.6176766393130366,0.1303380616747942,0.1303380616747942,0.04446911776606337,0.12819222590537083,0.005219212692868599,0.12169881275965377,0.13463228195574892,0.12803818739201772,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,10,0.07421875,2.355908975381733,0.1363025758637009,0.1363025758637009,0.04376900090170349,0.13397752345278768,0.005706834233672497,0.12676375673621165,0.1412959276620713,0.13363544855615614,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,11,0.08203125,2.141735432165212,0.1413933890435079,0.1413933890435079,0.04281776851238994,0.13831803194232012,0.005718240071942184,0.1310974278396439,0.1457152553329609,0.1383559156100884,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,12,0.08984375,1.9632574794847775,-0.14562190943704065,0.14562190943704065,0.04163232866052036,0.14223137835144115,0.005902457399114,0.13497307462223337,0.1500742946076234,0.14221585692914893,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,13,0.09765625,1.812237673370564,0.14899982201754006,0.14899982201754006,0.04023339246769461,0.14516499286940526,0.006186730616104195,0.13713985118848682,0.15273292681329675,0.14523168404947553,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,14,0.10546875,1.6827921252726663,-0.15154119405545488,0.15154119405545488,0.038644872685638626,0.14723478177775137,0.0059657764414964174,0.13978727160292706,0.15483143106718136,0.1474219985920052,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,15,0.11328125,1.570605983587822,0.15326379273723165,0.15326379273723165,0.03689320498511661,0.14940049097885177,0.007090379604877071,0.1410137080441065,0.15785680717408257,0.14880885036199032,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,16,0.12109375,1.4724431096135833,0.1541898623874065,0.1541898623874065,0.03500661882756807,0.14955355108239904,0.006808274982077143,0.14060156571894317,0.1582934874024669,0.14941845717493396,0.026101572156825358,0.026101572156825358
localized_0.050,localized,localized 0.05,0.05,0.10092245995877788,0.1,17,0.12890625,1.3858288090480784,0.1543465118306324,0.1543465118306324,0.033014385904361676,0.15026499502338228,0.007225781020568605,0.14131963589100813,0.15920796216069708,0.1492815392789446,0.026101572156825358,0.026101572156825358
