sigma,noise_signal_ratio,signal_power,n,alpha,lambda,kappa,df_12_Q,B_12_C,h_n_minus_df_22,B_11_A,noise_numerator_sigma2_Q,shrink_numerator_alpha_C,net_numerator,denominator_h_A,sigma_z1,noise_signal_ratio_z1,z_noise,z_regularization,z_de,r2_de_leading,r2_de_second_order,mc_z_mean,mc_z_se,mc_z_median,mc_z_q25,mc_z_q75,mc_z_min,mc_z_max,mc_r2_mean,mc_r2_se,mc_r2_median,mc_r2_q25,mc_r2_q75,mc_r2_min,mc_r2_max
0.0,0.0,1736.3449650425127,1000.0,100.0,0.1,0.10901544002246966,578.3653110025274,1037.8142145088866,980.3520043589469,404.9916214033209,0.0,103781.42145088867,-103781.42145088867,397034.3477913254,29.426450469018125,0.4987004337495665,0.0,-0.2613915446565707,-0.2613915446565707,0.931674460382052,0.9316744603820519,-0.24905244052786701,0.0006949091016187692,-0.24877722803046776,-0.2537988218905648,-0.24443934511292767,-0.27376845929084737,-0.22994033442774575,0.9379250685218763,0.0003473608580745983,0.938109871249111,0.9355861368442362,0.9402493821904793,0.9250508620991242,0.9471275276511215
0.005061246747758921,1.4752954716618231e-08,1736.3449650425127,1000.0,100.0,0.1,0.10901544002246966,578.3653110025274,1037.8142145088866,980.3520043589469,404.9916214033209,0.014815532261415708,103781.42145088867,-103781.4066353564,397034.3477913254,29.426450469018125,0.4987004337495665,3.731549258605329e-08,-0.2613915446565707,-0.26139150734107813,0.9316744798899591,0.9316744797996124,-0.2470346736542912,0.000700121856946822,-0.24699061368747993,-0.2516663126911397,-0.24138206798935732,-0.26270541307870643,-0.23201003706301004,0.9389253429802806,0.00034612705190609845,0.9389956209988084,0.9366639322147883,0.9417346642367945,0.9309858360761,0.9461713087420993
0.01518374024325961,1.3277659244926408e-07,1736.3449650425127,1000.0,100.0,0.1,0.10901544002246966,578.3653110025274,1037.8142145088866,980.3520043589469,404.9916214033209,0.1333397903524401,103781.42145088867,-103781.28811109831,397034.3477913254,29.426450469018125,0.4987004337495665,3.358394332737208e-07,-0.2613915446565707,-0.26139120881713745,0.9316746359531156,0.9316746351399955,-0.24699790241142416,0.0006641611312152066,-0.246902754442767,-0.25150386443747397,-0.24218458304581764,-0.2634864884659449,-0.23365374641013315,0.9389483648270058,0.0003295402369251889,0.939038980787532,0.9367458646665391,0.9413465824914528,0.9305749111944844,0.9454059188679039
0.050612467477589206,1.475295471661823e-06,1736.3449650425127,1000.0,100.0,0.1,0.10901544002246966,578.3653110025274,1037.8142145088866,980.3520043589469,404.9916214033209,1.4815532261415705,103781.42145088867,-103779.93989766252,397034.3477913254,29.426450469018125,0.4987004337495665,3.7315492586053282e-06,-0.2613915446565707,-0.26138781310731213,0.9316764111589768,0.9316764021243937,-0.2491735078141172,0.0007117666017017611,-0.24856260404591352,-0.253002807471175,-0.2451829043063699,-0.2699346248033533,-0.2310241168035646,0.9378624098893052,0.0003561684918740273,0.9382166503166718,0.9359894829850302,0.9398853833945847,0.9271352983322729,0.9466278831050627
0.15183740243259608,1.3277659244926405e-05,1736.3449650425127,1000.0,100.0,0.1,0.10901544002246966,578.3653110025274,1037.8142145088866,980.3520043589469,404.9916214033209,13.333979035244006,103781.42145088867,-103768.08747185342,397034.3477913254,29.426450469018125,0.4987004337495665,3.3583943327372074e-05,-0.2613915446565707,-0.26135796071324335,0.9316920163718148,0.9316919350673754,-0.24729543888742925,0.0006266167004973179,-0.24775651623063877,-0.2516780501589443,-0.24360325849024106,-0.2630674460086836,-0.2306652480340703,0.9388060936695746,0.0003095637080259929,0.9386166630445201,0.9366581693324287,0.9406574789427731,0.9307954777627405,0.9467935433493808
0.2530623373877745,3.688238679149558e-05,1736.3449650425127,1000.0,100.0,0.1,0.10901544002246966,578.3653110025274,1037.8142145088866,980.3520043589469,404.9916214033209,37.03883065348906,103781.42145088867,-103744.38262023518,397034.3477913254,29.426450469018125,0.4987004337495665,9.328873146500676e-05,-0.2613915446565707,-0.2612982559251057,0.931723221450498,0.9317229956426534,-0.24828316813077642,0.0006747142082290846,-0.24802635889150842,-0.25244225525956127,-0.24312490142787962,-0.26652993344005493,-0.23268429488682718,0.9383103940916748,0.00033588350532434106,0.9384829160411359,0.9362729011716047,0.9408902758396,0.928961854971779,0.945858052491655
0.35428727234305096,7.228947811139933e-05,1736.3449650425127,1000.0,100.0,0.1,0.10901544002246966,578.3653110025274,1037.8142145088866,980.3520043589469,404.9916214033209,72.59610808090684,103781.42145088867,-103708.82534280776,397034.3477913254,29.426450469018125,0.4987004337495665,0.00018284591367158525,-0.2613915446565707,-0.26120869874289915,0.9317700157010413,0.9317695732288263,-0.24850609585497616,0.0007353876847178934,-0.24876661060047506,-0.25331845328246405,-0.24347243085332249,-0.27251428425420177,-0.23313778414601805,0.9381911836119923,0.0003676869801951501,0.9381151716831302,0.9358297545536107,0.9407211856485663,0.9257359960502513,0.9456467736034847
0.5061246747758921,0.00014752954716618227,1736.3449650425127,1000.0,100.0,0.1,0.10901544002246966,578.3653110025274,1037.8142145088866,980.3520043589469,404.9916214033209,148.15532261415706,103781.42145088867,-103633.26612827451,397034.3477913254,29.426450469018125,0.4987004337495665,0.0003731549258605329,-0.2613915446565707,-0.2610183897307102,0.9318694002223871,0.9318684976996813,-0.24668918454348074,0.0006704828018542547,-0.24719632751192622,-0.24982877509805948,-0.24260001807117001,-0.272380972711212,-0.22992510867960214,0.939099938054768,0.0003324103957125288,0.9388939375327123,0.9375851934849301,0.9411451841248009,0.9258085745967471,0.947134411015455
0.7591870121635522,0.00033194148112366016,1736.3449650425127,1000.0,100.0,0.1,0.10901544002246966,578.3653110025274,1037.8142145088866,980.3520043589469,404.9916214033209,333.34947588160236,103781.42145088867,-103448.07197500706,397034.3477913254,29.426450469018125,0.4987004337495665,0.0008395985831855667,-0.2613915446565707,-0.26055194607338517,0.9321126833973717,0.9321106553749993,-0.247469830091928,0.0007150576024792229,-0.24776854174414747,-0.25265406447954614,-0.24112305887930263,-0.2642160727520897,-0.23174687524542592,0.9387080534132043,0.0003543592947695414,0.9386107725250191,0.9361659289079626,0.9418596693844112,0.9301898257026364,0.9462933517942629
1.0122493495517841,0.0005901181886647291,1736.3449650425127,1000.0,100.0,0.1,0.10901544002246966,578.3653110025274,1037.8142145088866,980.3520043589469,404.9916214033209,592.6212904566282,103781.42145088867,-103188.80016043203,397034.3477913254,29.426450469018125,0.4987004337495665,0.0014926197034421315,-0.2613915446565707,-0.2598989249531286,0.932452548808208,0.9324489500256861,-0.2463232866872398,0.0007165112314249209,-0.24683592628431822,-0.2511689171843048,-0.24242575752835058,-0.2620400900852401,-0.22895623944302634,0.9392740201880002,0.00035196625978638327,0.9390720244891014,0.9369141365641314,0.9412297359267707,0.9313349911881192,0.9475790735876491
