map_index,theta,low_fraction,trace_g,trace_g2,effective_rank_g,max_eigenvalue_g,noise_signal_ratio,sigma,de_alpha_cv,de_kappa,mc_alpha_cv_mean,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,de_gen_error_normalized,de_r2_gen,mc_gen_error_normalized,mc_gen_error_normalized_se,mc_r2_gen,mc_r2_gen_se,de_slope_acc,de_acc_error_normalized,de_r2_acc,mc_moment_slope_acc,mc_moment_acc_error_normalized,mc_moment_r2_acc,mc_slope_acc,mc_slope_acc_se,mc_acc_error_normalized,mc_acc_error_normalized_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_r2_acc_median_ci_low,mc_r2_acc_median_ci_high,mc_denominator_mean,mc_denominator_cv,gaussian_slope_acc,gaussian_acc_error_normalized,gaussian_r2_acc_median,gaussian_r2_acc_q25,gaussian_r2_acc_q75,gaussian_denominator_mean,gaussian_denominator_cv,gaussian_variance_scale_per_coordinate,delta2_slope_acc,delta2_acc_error_normalized,delta2_r2_acc_mean
0,0.0,0.0,10883.525845888813,8486638.0070058,13.957368599950566,872.7855473301344,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.7828892010224641,0.04713709903266402,0.9230936418645143,0.7792888495113092,0.04871341195004153,0.9197857319663046,0.7847402250061835,0.0028782525290423438,0.050470655203236965,0.0013043391106255524,0.9295613389381094,0.8752066318525444,0.9596153458221239,0.9216378215556922,0.9346543633845952,887.7622286743207,0.08548868301443469,0.7879037936636213,0.04885997357752848,0.9300827609762486,0.8850094195299817,0.9594498626366718,883.7632580891263,0.08238442393336587,0.017640052641227234,0.7881903657746001,0.04901002323831005,0.9120594278691804
1,0.039269908169872414,0.001541333133436012,11323.230094226928,8687628.004642343,14.75840582703274,872.7855473301347,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.776077902507734,0.050141105745335875,0.9167501860801526,0.773025468828399,0.0515174378005681,0.9137882125018116,0.7783928147790504,0.0028470895230304698,0.053154597998875015,0.001320297417405967,0.9224840219046174,0.8625377401139267,0.9551796576920624,0.911699515467447,0.9301320984090893,894.9552553187382,0.08511728238507077,0.7810638827169734,0.05177685503262719,0.9239890200550855,0.876592450501076,0.9552563764758071,891.5196641763819,0.0826255678606337,0.017640052641227234,0.7813639344878793,0.051900723600830645,0.9054549388871884
2,0.07853981633974483,0.0061558297024311365,12639.631916333768,11601100.058327213,13.771133269877117,1764.8052945926313,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.7563765748053224,0.05935237330358668,0.896256248320671,0.7548617169790948,0.060092777802437436,0.8945400700047444,0.7609307491882984,0.002997201561590938,0.06163673206686908,0.0014826526671301667,0.8992477191870438,0.8356609310419577,0.9425701584293947,0.8935840785978366,0.9073485679029689,916.4899878508033,0.09158812250853357,0.7624393657115297,0.06099065491824419,0.9066164501859655,0.8462871524671933,0.9453973306119559,914.741061615354,0.09301448554394932,0.017640052641227234,0.7629088876156782,0.06115010419685809,0.8811741052363949
3,0.11780972450961724,0.013815039801161699,14824.615257228019,24087392.59552635,9.123827606216482,3949.7886354868842,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.7257947325101478,0.07518852871918139,0.85726714173188,0.7265267304786958,0.07478762914267191,0.8583141203946545,0.735885355210814,0.003589044333169377,0.07618428396562006,0.002033968161400308,0.8731830016321583,0.7894732788450178,0.9332314502389556,0.8602716074437566,0.8816898538981232,952.2336574834306,0.11879903572047605,0.7361059191077854,0.07665052184355506,0.8820739554380557,0.7901549559902836,0.9341763794316187,953.284282768933,0.12851947667952646,0.017640052641227234,0.7377721647104534,0.07745417850364743,0.8259533736319858
4,0.15707963267948966,0.024471741852423214,17864.708968032377,57345017.54549895,5.565397660908842,6989.8823462912405,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.687139412385352,0.09788174728258282,0.7926939412646762,0.6904658241638493,0.09581140601056508,0.7990292566641486,0.706784828954407,0.004478026819846238,0.09598144590672826,0.002954434422530718,0.8375895082900667,0.7146560294396166,0.9196166934504822,0.8278156543208256,0.8501813352163312,1001.9658926073591,0.16836034242987086,0.7059189596808865,0.09766556631161762,0.8515994425230275,0.7004453610983923,0.922438023539366,1006.9116958617858,0.18766775876190683,0.017640052641227234,0.7113303091228256,0.09995091413512681,0.7181450572231959
5,0.19634954084936207,0.03806023374435662,21741.16986008598,126563977.70402779,3.734699836872056,10866.343238344849,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.6434422276683694,0.12713344501009488,0.6929276610900355,0.6493675078621571,0.12294314454279444,0.708443177458095,0.6762386896421929,0.005431047909939494,0.11954003050323331,0.004043051001029739,0.8032667484968934,0.5934987260204595,0.9031293286354054,0.7785861653141037,0.8191206401458991,1065.3800774554031,0.23248849791334433,0.6745835299251381,0.12232762869801354,0.8138638667498832,0.5566363178135771,0.9101212380437931,1075.2926700592702,0.26103387521870447,0.017640052641227234,0.6872771206786614,0.12599961426827,0.5283922217877981
6,0.23561944901923448,0.05449673790581606,26430.098262935277,250453038.16184378,2.7891460184124752,15555.271641194164,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.5974830369590154,0.16201990553573736,0.54614490523228,0.6057544394098853,0.15542956204501382,0.576415156507712,0.6458992211164509,0.0063224127358227295,0.1453338401041808,0.005150877530249969,0.7561556282928785,0.37576483167363145,0.8872192537785892,0.7271985251888415,0.7819562808906989,1142.085242490618,0.3039420306941731,0.643734275642875,0.14900878146391974,0.7665976212688069,0.333484065816586,0.8970072472758847,1158.0056139164772,0.34095295743836934,0.017640052641227234,0.6669325396125138,0.15242812631104066,0.2205489126271578
7,0.2748893571891069,0.0736799178229539,31902.585373749786,450653200.46318144,2.258443859897865,21027.758752008656,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.5515076395377954,0.2011453973929601,0.3386870395990923,0.5617233235585511,0.19208644511256245,0.3912320138746337,0.6167096444224014,0.007106812858346926,0.17211438439158094,0.006199017276383311,0.6938115665519023,0.07388385024425662,0.866918200224357,0.6481514454372344,0.73848755269631,1231.6084748635064,0.3776526001289675,0.61426197433253,0.1764399791130989,0.7054702627854649,0.005046202633742114,0.8833745617540172,1254.5405746296829,0.42214966979221547,0.017640052641227234,0.64978582442047,0.17685082066265903,-0.24717815367913976
8,0.3141592653589793,0.09549150281252627,38124.89148970469,751052597.6387264,1.9352936873815698,27250.064867963545,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.5071373620056199,0.2429135799307794,0.05550300613381687,0.5188423050815154,0.23151272737926948,0.13998879226325633,0.5891542990790858,0.007776873828507646,0.19897359347091628,0.007152244493283047,0.6165006165797444,-0.3640436619049419,0.8486944930683316,0.5484362210396951,0.6688313548333565,1333.3978340769931,0.45021991582436277,0.586596074005089,0.20373088138492312,0.6273061330442096,-0.4520626272830219,0.8688105217759523,1364.3023820649573,0.5011277481016594,0.017640052641227234,0.6344890441406921,0.1981830180952816,-0.9208960964567822
9,0.3534291735288517,0.11979701719998452,45058.654024468386,1177020618.2299514,1.7249335067298628,34183.82740272726,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,0.1589135380672935,0.1584893192461114,0.12589254117941687,0.1778279410038923,0.00016257476372473142,0.9998374252362753,0.0001637931786756513,2.582514051708194e-06,0.9998362068213242,2.5825140517081548e-06,0.46541238205311775,0.28578392126212177,-0.3193557810303287,0.4781662224965646,0.27231049134350493,-0.19098580391995368,0.5634399559910908,0.008340571555447712,0.22529767382696092,0.007999607516123603,0.5009315300637165,-0.9393062268230625,0.8342398132499825,0.4238471077175346,0.5987781156971819,1446.8257548831307,0.5194727507569966,0.5608959937703785,0.23029920748622343,0.5272270932477398,-1.0668798741055152,0.8534485331021556,1486.6143181799582,0.5757240413899196,0.017640052641227234,0.6196727174625868,0.2164436646070848,-1.849535288825779
