family,map_index,p,n,n_trials,tail_fraction,trace_g,trace_g2,effective_rank_g,max_weight_fraction_g,noise_signal_ratio,sigma,de_alpha_cv,de_kappa,de_gen_error_normalized,de_r2_gen,de_slope_gen,de_acc_error_normalized,de_r2_acc,de_slope_acc,de_acc_numerator,de_acc_denominator,mc_gen_error_normalized_mean,mc_gen_error_normalized_se,mc_gen_error_normalized_median,mc_gen_error_normalized_q25,mc_gen_error_normalized_q75,mc_r2_gen_mean,mc_r2_gen_se,mc_r2_gen_median,mc_r2_gen_q25,mc_r2_gen_q75,mc_slope_gen_mean,mc_slope_gen_se,mc_slope_gen_median,mc_slope_gen_q25,mc_slope_gen_q75,mc_acc_error_normalized_mean,mc_acc_error_normalized_se,mc_acc_error_normalized_median,mc_acc_error_normalized_q25,mc_acc_error_normalized_q75,mc_r2_acc_mean,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_slope_acc_mean,mc_slope_acc_se,mc_slope_acc_median,mc_slope_acc_q25,mc_slope_acc_q75,mc_acc_numerator_mean,mc_acc_numerator_se,mc_acc_numerator_median,mc_acc_numerator_q25,mc_acc_numerator_q75,mc_acc_denominator_mean,mc_acc_denominator_se,mc_acc_denominator_median,mc_acc_denominator_q25,mc_acc_denominator_q75,tail_propensity,tail_fraction_sd
continuous,0,500,1000,2000,0.0,3463341.286576479,62135940789.04145,193.04017473604685,0.009373192181541597,0.01,4.166947281934957,5.011872336272725,0.009926183950402546,0.009805789656203951,0.9901942103437961,1.000023060754079,0.9883663041319194,-29039.573730594406,0.005833864924016127,685.1987419820762,117451.93810733182,0.009808503237651736,1.9663812177857992e-05,0.009777590976276866,0.009189334901781686,0.010410924518655152,0.9901914967623483,1.9663812177858033e-05,0.9902224090237232,0.9895890754813448,0.9908106650982182,1.0001885783177482,9.62526011504174e-05,1.0001616880322635,0.9972010013786481,1.003238662272884,0.9881975632401532,3.188991420503534e-05,0.9882766379535903,0.9872314666521206,0.9892083697327918,-29478.511921504585,162.55320624471508,-28593.151086619873,-33791.53294064332,-24065.389183521045,0.005918992832511675,1.604191959204596e-05,0.005878962121047056,0.005410451627014377,0.006404777259934079,685.108892437984,0.06748544323346167,685.1173055974007,682.9735227348124,687.1675511135822,117441.56383976754,317.37321437071097,116461.26803510243,107049.21982540136,126608.09218889163,,
continuous,0,500,1000,2000,0.0,3463341.286576479,62135940789.04145,193.04017473604685,0.009373192181541597,0.1,13.177044300762262,50.118723362727245,0.09241880163852421,0.08442893217007182,0.9155710678299281,1.0001870837274478,0.9986380970406232,-2152185.5326416115,0.0006811834851584987,633.456829651449,929935.6831941623,0.08460753915350216,0.00015496335581587827,0.08432664585215277,0.07969110176172663,0.08900157577809958,0.9153924608464978,0.00015496335581587827,0.9156733541478472,0.9109984242219005,0.9203088982382734,1.0004265233613483,0.0002674519426464019,1.0000500252871722,0.99239669061318,1.0082780943750047,0.998627012367147,3.556191243275466e-06,0.9986407885421034,0.9985299284607915,0.9987367791427035,-2203291.0885672173,11465.757909705513,-2160726.204663968,-2501945.6214404358,-1846819.7475326753,0.0006867327818817732,1.7793486037231657e-06,0.0006798368179981767,0.0006318100206016775,0.0007353061071407711,633.3606719031073,0.19773134810072648,633.7056032630414,627.5984613527703,639.6354354811918,934154.711332118,2342.36518792066,928704.204033625,861865.2394535645,1000238.9659196687,,
continuous,0,500,1000,2000,0.0,3463341.286576479,62135940789.04145,193.04017473604685,0.009373192181541597,1.0,41.669472819349565,501.1872336272735,0.7085396500733724,0.4142140595340429,0.5857859404659571,1.000839209423527,0.999721997135862,-51734507.209583975,0.00013901109411116312,405.0243438645729,2913611.6541942097,0.4145891265096037,0.0005872497319257186,0.41470898811126944,0.39671157703078874,0.43196415211283884,0.5854108734903964,0.0005872497319257186,0.5852910118887306,0.5680358478871612,0.6032884229692113,1.0009398470491317,0.0005975835430703659,1.0010369609514118,0.9826576750664223,1.0193511990114401,0.9997199485412456,7.003930848067178e-07,0.9997218124070856,0.9997008815164676,0.9997418541679612,-52897319.067173705,264890.91616356734,-51665807.87236441,-60001424.75229046,-44686739.14879024,0.00014003565698131958,3.502467954764604e-07,0.0001391034713450575,0.00012908124700353014,0.00014957042742313467,405.09650895089595,0.3749786935011003,404.7008810331964,394.01508427719364,416.37276314857,2923200.679531416,6645.376041296308,2906506.8704998447,2719485.79284359,3115751.4688424235,,
continuous,0,500,1000,2000,0.0,3463341.286576479,62135940789.04145,193.04017473604685,0.009373192181541597,10.0,131.77044300762262,5011.872336272735,5.4341621404326315,0.8442893200945765,0.15571067990542353,1.0018712565694923,0.9998634548266396,-214495569.54520348,6.827491741229859e-05,107.5509344703963,1575262.7545620846,0.8439842051095775,0.0006334722715189591,0.8440122908176988,0.825005836015168,0.8623751177640482,0.1560157948904225,0.0006334722715189591,0.15598770918230115,0.13762488223595176,0.17499416398483209,1.0029363688601358,0.0019773214404644078,1.0037252425506509,0.9443094149196252,1.0612202469686278,0.9998618641316578,4.461053002667498e-07,0.999862709724705,0.9998493229555704,0.9998759344946762,-223069485.61438686,1481430.7104996766,-212173560.69511348,-259822690.78311196,-176143918.33108133,6.907036926372703e-05,2.2306853252600057e-07,6.864749388712374e-05,6.203467681249937e-05,7.534136037512167e-05,107.72704369217196,0.2577468776176751,107.3545508409857,100.14223977649849,115.4558459654775,1576105.773292469,3846.914686988075,1565285.0509970933,1455169.6659920407,1683082.1104948977,,
continuous,1,500,1000,2000,0.025,4542907.530803173,69341067763.30986,297.6303870005919,0.00714576804595659,0.01,4.166947281934957,5.011872336272725,0.009926183950402546,0.009805789656203951,0.9901942103437961,1.000023060754079,0.9911125706697065,-49967.269641552295,0.0044536320845189135,685.1987419820762,153851.67184417124,0.009808503237651736,1.9663812177857992e-05,0.009777590976276866,0.009189334901781686,0.010410924518655152,0.9901914967623483,1.9663812177858033e-05,0.9902224090237232,0.9895890754813448,0.9908106650982182,1.0001885783177482,9.62526011504174e-05,1.0001616880322635,0.9972010013786481,1.003238662272884,0.9910177315546801,2.100567348637006e-05,0.9910710554396575,0.9903661957822051,0.9916902554349979,-50542.27830653251,238.9823160165001,-49500.58637548622,-57206.18950962463,-42476.6632434919,0.004501376690023232,1.0551159841083485e-05,0.004474482778284607,0.004163539814463252,0.004828559602840499,685.108892437984,0.06748544323346167,685.1173055974007,682.9735227348124,687.1675511135822,153857.16260362134,357.853756003472,152902.36538458196,142103.58965901064,164350.17590646274,,
continuous,1,500,1000,2000,0.025,4542907.530803173,69341067763.30986,297.6303870005919,0.00714576804595659,0.1,13.177044300762262,50.118723362727245,0.09241880163852421,0.08442893217007182,0.9155710678299281,1.0001870837274478,0.9989614986632172,-3703129.577927771,0.00051938554906569,633.456829651449,1219627.3669742239,0.08460753915350216,0.00015496335581587827,0.08432664585215277,0.07969110176172663,0.08900157577809958,0.9153924608464978,0.00015496335581587827,0.9156733541478472,0.9109984242219005,0.9203088982382734,1.0004265233613483,0.0002674519426464019,1.0000500252871722,0.99239669061318,1.0082780943750047,0.9989559739693082,2.280622066919606e-06,0.9989604663744969,0.9988871165219462,0.9990265337419452,-3770208.893492835,16659.183321817134,-3695772.8860467854,-4214864.750758755,-3224297.585935868,0.0005221506370263948,1.1409151943223081e-06,0.0005199019617768042,0.00048685164128773413,0.0005565966389361817,633.3606719031073,0.19773134810072648,633.7056032630414,627.5984613527703,639.6354354811918,1224030.9455228639,2578.812003299432,1217070.3189057512,1142302.0082936175,1297580.8397411504,,
continuous,1,500,1000,2000,0.025,4542907.530803173,69341067763.30986,297.6303870005919,0.00714576804595659,1.0,41.669472819349565,501.1872336272735,0.7085396500733724,0.4142140595340429,0.5857859404659571,1.000839209423527,0.999788053507508,-89016278.66937989,0.00010597886200561323,405.0243438645729,3821746.4898153045,0.4145891265096037,0.0005872497319257186,0.41470898811126944,0.39671157703078874,0.43196415211283884,0.5854108734903964,0.0005872497319257186,0.5852910118887306,0.5680358478871612,0.6032884229692113,1.0009398470491317,0.0005975835430703659,1.0010369609514118,0.9826576750664223,1.0193511990114401,0.999787133982803,4.491072916751842e-07,0.9997879225700541,0.9997746427175723,0.9998009332507404,-90608671.86910212,382744.47735793394,-88906377.18551545,-100909686.06382366,-78735387.62211241,0.00010643872360945832,2.2457797118090476e-07,0.00010604433767372266,9.953832856927393e-05,0.00011268499016729948,405.09650895089595,0.3749786935011003,404.7008810331964,394.01508427719364,416.37276314857,3832235.4832290662,7024.789456684782,3814321.0219629803,3620287.828079319,4030572.3053714484,,
continuous,1,500,1000,2000,0.025,4542907.530803173,69341067763.30986,297.6303870005919,0.00714576804595659,10.0,131.77044300762262,5011.872336272735,5.4341621404326315,0.8442893200945765,0.15571067990542353,1.0018712565694923,0.9998959020050197,-369068894.321016,5.20503521097859e-05,107.5509344703963,2066286.3959795544,0.8439842051095775,0.0006334722715189591,0.8440122908176988,0.825005836015168,0.8623751177640482,0.1560157948904225,0.0006334722715189591,0.15598770918230115,0.13762488223595176,0.17499416398483209,1.0029363688601358,0.0019773214404644078,1.0037252425506509,0.9443094149196252,1.0612202469686278,0.9998950865294669,3.0721283959902677e-07,0.9998959700230956,0.9998864579193685,0.999904708632053,-382694365.8521041,2322814.9902699236,-369551724.95301956,-440444104.7592268,-310221809.2636307,5.2458134780176384e-05,1.5361464573964492e-07,5.201634130205834e-05,4.764681908316192e-05,5.677265188280706e-05,107.72704369217196,0.2577468776176751,107.3545508409857,100.14223977649849,115.4558459654775,2067517.514950696,4141.621882065688,2055630.3856280725,1941442.4698430942,2191139.507465558,,
continuous,2,500,1000,2000,0.05,5622473.775029868,86982375685.32251,363.4323746831496,0.005773715408601691,0.01,4.166947281934957,5.011872336272725,0.009926183950402546,0.009805789656203951,0.9901942103437961,1.000023060754079,0.9928098838134345,-76539.04730088719,0.0036015436516200292,685.1987419820762,190251.40558101062,0.009808503237651736,1.9663812177857992e-05,0.009777590976276866,0.009189334901781686,0.010410924518655152,0.9901914967623483,1.9663812177858033e-05,0.9902224090237232,0.9895890754813448,0.9908106650982182,1.0001885783177482,9.62526011504174e-05,1.0001616880322635,0.9972010013786481,1.003238662272884,0.9927429768565461,1.596479698728811e-05,0.9927830768518069,0.9922732597642372,0.9932462289164826,-77327.75465227605,341.6414972962398,-75968.41858735956,-86805.84235672894,-66223.08193108402,0.0036351830100213593,8.01203048783924e-06,0.0036149956709483296,0.0033826065553405845,0.003870861903900999,685.108892437984,0.06748544323346167,685.1173055974007,682.9735227348124,687.1675511135822,190272.76136747515,414.45151825070025,189585.83541887422,176926.9974049371,202443.4980760052,,
continuous,2,500,1000,2000,0.05,5622473.775029868,86982375685.32251,363.4323746831496,0.005773715408601691,0.1,13.177044300762262,50.118723362727245,0.09241880163852421,0.08442893217007182,0.9155710678299281,1.0001870837274478,0.9991607819442319,-5672354.496406486,0.000419697100712323,633.456829651449,1509319.0507542852,0.08460753915350216,0.00015496335581587827,0.08432664585215277,0.07969110176172663,0.08900157577809958,0.9153924608464978,0.00015496335581587827,0.9156733541478472,0.9109984242219005,0.9203088982382734,1.0004265233613483,0.0002674519426464019,1.0000500252871722,0.99239669061318,1.0082780943750047,0.9991568973690955,1.7134818345773325e-06,0.9991601619184022,0.99910702669546,0.9992108097491249,-5761267.648247332,23699.57623791284,-5663977.473316377,-6414787.726941347,-5009576.303114569,0.00042164094025739905,8.571062954941501e-07,0.000420007243844446,0.00039467300883463865,0.0004465863719638625,633.3606719031073,0.19773134810072648,633.7056032630414,627.5984613527703,639.6354354811918,1513907.1797136094,2953.738662361597,1507031.4410421043,1421333.2950632342,1601297.5007517177,,
