sigma,noise_signal_ratio,signal_power,grid_alpha_cv,grid_kappa_final,mc_kappa_median,mc_kappa_q25,mc_kappa_q75,oracle_kappa,oracle_alpha,oracle_interior,oracle_gen_error,grid_df_11,grid_df_22,grid_df_12,grid_B_11,grid_B_12,grid_df_23,grid_B_23,grid_h,grid_limbo_count,grid_b2_acc_average,grid_b2_gen_average,grid_z_direct,grid_z_simplified,grid_stationarity_residual,grid_z_reconstructed,grid_slope_acc_leading,grid_r2_acc_leading,oracle_df_11,oracle_df_22,oracle_df_12,oracle_B_11,oracle_B_12,oracle_df_23,oracle_B_23,oracle_h,oracle_limbo_count,oracle_b2_acc_average,oracle_b2_gen_average,oracle_z_direct,oracle_z_simplified,oracle_stationarity_residual,oracle_z_reconstructed,oracle_slope_acc_leading,oracle_r2_acc_leading,mc_z_mean,mc_z_median,mc_z_q25,mc_z_q75,mc_r2_mean,mc_r2_median,mc_r2_q25,mc_r2_q75
0.0,0.0,6778.303260577998,0.0001,0.03180286218804824,0.0318028621881891,0.0318028621881891,0.0318028621881891,0.031802674492892556,-3.615545494186853e-15,0.0,1.8055250145678792,999.9968556289238,467.2203109502513,16752.471570904516,622.4269883222023,951.0890155587383,4730.88851292346,715.8533979251397,532.7796890497486,532.7765446786723,0.05677305653277919,0.15131478917113117,-2.868039250278143e-07,0.08092453988663156,-1.6019131398438038,-2.8680392503976915e-07,1.0000002868040072,0.9999999999999177,1000.0000000000001,467.22208688822195,16752.613470632674,622.4271668372634,951.0917922130711,4730.932513962704,715.855520557508,532.777913111778,532.7779131117779,0.05677274139228096,0.1513138305069366,1.0369588253147423e-17,0.08092417369531395,-1.6018817649593364,-1.3877787807814457e-17,1.0,1.0,-6.922218759419785e-07,-4.3954670414514396e-07,-1.1349987309366982e-05,7.606173373697622e-06,0.9999999998323584,0.9999999999135287,0.9999999997827701,0.9999999999806696
0.01,1.4752954560412044e-08,6778.303260577998,0.0001,0.03180286218804824,0.0318028621881891,0.0318028621881891,0.0318028621881891,0.031802674492892556,-3.615545494186853e-15,0.0,1.8056127100363641,999.9968556289238,467.2203109502513,16752.471570904516,622.4269883222023,951.0890155587383,4730.88851292346,715.8533979251397,532.7796890497486,532.7765446786723,0.05677305653277919,0.15131478917113117,4.764957289593802e-06,0.08092453988663156,-1.601813139843804,4.764957289557503e-06,0.9999952350654151,0.9999999999772952,1000.0000000000001,467.22208688822195,16752.613470632674,622.4271668372634,951.0917922130711,4730.932513962704,715.855520557508,532.777913111778,532.7779131117779,0.05677274139228096,0.1513138305069366,5.051819395517891e-06,0.08092417369531395,-1.6017817649593362,5.051819395501811e-06,0.9999949482061252,0.9999999999744791,5.7098484412243526e-06,8.747107678175325e-06,-1.3737758183335336e-05,2.530429640051901e-05,0.999999999148975,0.9999999995598974,0.9999999988420959,0.9999999998589219
0.03,1.3277659104370838e-07,6778.303260577998,0.0001,0.03180286218804824,0.0318028621881891,0.0318028621881891,0.0318028621881891,0.031802674492892556,-3.615545494186853e-15,0.0,1.8063142737842446,999.9968556289238,467.2203109502513,16752.471570904516,622.4269883222023,951.0890155587383,4730.88851292346,715.8533979251397,532.7796890497486,532.7765446786723,0.05677305653277919,0.15131478917113117,4.5179047006566725e-05,0.08092453988663156,-1.601013139843804,4.517904700654385e-05,0.9999548229940475,0.9999999979588537,1000.0000000000001,467.22208688822195,16752.613470632674,622.4271668372634,951.0917922130711,4730.932513962704,715.855520557508,532.777913111778,532.7779131117779,0.05677274139228096,0.1513138305069366,4.546637455957806e-05,0.08092417369531395,-1.6009817649593363,4.546637455955793e-05,0.9999545356925378,0.9999999979328088,5.716438471979668e-05,6.430622491560012e-05,6.592292257523447e-06,0.00010016198651602304,0.9999999922316618,0.9999999955100873,0.9999999891772526,0.9999999993940509
0.1,1.4752954560412047e-06,6778.303260577998,0.0001,0.03180286218804824,0.0318028621881891,0.0318028621881891,0.0318028621881891,0.031802674492892556,-3.615545494186853e-15,0.0,1.8142945614163837,999.9968556289238,467.2203109502513,16752.471570904516,622.4269883222023,951.0890155587383,4730.88851292346,715.8533979251397,532.7796890497486,532.7765446786723,0.05677305653277919,0.15131478917113117,0.0005048893175371339,0.08092453988663156,-1.591913139843804,0.0005048893175371022,0.9994953654670478,0.999999745086777,1000.0000000000001,467.22208688822195,16752.613470632674,622.4271668372634,951.0917922130711,4730.932513962704,715.855520557508,532.777913111778,532.7779131117779,0.05677274139228096,0.1513138305069366,0.0005051819395507624,0.08092417369531395,-1.5918817649593362,0.0005051819395507501,0.9994950731403796,0.9999997447912079,0.0006079809960943439,0.0006213926720354257,0.00043845480080012544,0.0007795747956615418,0.9999995635953183,0.9999996139115301,0.9999993924897527,0.9999998077552786
0.3,1.3277659104370838e-05,6778.303260577998,0.0001,0.03180286218804824,0.0318028621881891,0.0318028621881891,0.0318028621881891,0.031802674492892556,-3.615545494186853e-15,0.0,1.88445093620442,999.9968556289238,467.2203109502513,16752.471570904516,622.4269883222023,951.0890155587383,4730.88851292346,715.8533979251397,532.7796890497486,532.7765446786723,0.05677305653277919,0.15131478917113117,0.004546298289234426,0.08092453988663156,-1.511913139843804,0.0045462982892344045,0.9954742769975095,0.9999793311718653,1000.0000000000001,467.22208688822195,16752.613470632674,622.4271668372634,951.0917922130711,4730.932513962704,715.855520557508,532.777913111778,532.7779131117779,0.05677274139228096,0.1513138305069366,0.0045466374559567785,0.08092417369531395,-1.5118817649593363,0.004546637455956765,0.9954739408939028,0.9999793280878441,0.005251159062355373,0.005173960359140528,0.004735568858650785,0.005745203791630571,0.9999718619848346,0.9999732296287897,0.9999669929015196,0.9999775741387147
0.5,3.6882386401030106e-05,6778.303260577998,0.0001,0.03180286218804824,0.0318028621881891,0.0318028621881891,0.0318028621881891,0.031802674492892556,-3.615545494186853e-15,0.0,2.0247636857804925,999.9968556289238,467.2203109502513,16752.471570904516,622.4269883222023,951.0890155587383,4730.88851292346,715.8533979251397,532.7796890497486,532.7765446786723,0.05677305653277919,0.15131478917113117,0.01262911623262901,0.08092453988663156,-1.3519131398438038,0.012629116232628995,0.9875283891898998,0.9998405054231827,1000.0000000000001,467.22208688822195,16752.613470632674,622.4271668372634,951.0917922130711,4730.932513962704,715.855520557508,532.777913111778,532.7779131117779,0.05677274139228096,0.1513138305069366,0.012629548488768813,0.08092417369531395,-1.3518817649593364,0.012629548488768794,0.9875279676485671,0.9998404945049698,0.014439823372855485,0.014339576341301452,0.013617424548452717,0.015249795183599757,0.9997898562067253,0.9997943807636156,0.9997674422847537,0.9998145664281787
0.7,7.228947734601901e-05,6778.303260577998,0.0001,0.03180286218804824,0.0318028621881891,0.0318028621881891,0.0318028621881891,0.031802674492892556,-3.615545494186853e-15,0.0,2.2352328101446015,999.9968556289238,467.2203109502513,16752.471570904516,622.4269883222023,951.0890155587383,4730.88851292346,715.8533979251397,532.7796890497486,532.7765446786723,0.05677305653277919,0.15131478917113117,0.024753343147720885,0.08092453988663156,-1.111913139843804,0.02475334314772086,0.9758445841496975,0.9993872720030111,1000.0000000000001,467.22208688822195,16752.613470632674,622.4271668372634,951.0917922130711,4730.932513962704,715.855520557508,532.777913111778,532.7779131117779,0.05677274139228096,0.1513138305069366,0.024753915037986858,0.08092417369531395,-1.1118817649593364,0.024753915037986844,0.9758440395545409,0.9993872436902921,0.02895256005953735,0.028705525750241656,0.027204031084775093,0.03060894949410886,0.999155375677008,0.9991759948724885,0.9990630875698635,0.9992599415358518
1.0,0.00014752954560412043,6778.303260577998,0.0001,0.03180286218804824,0.0318028621881891,0.0318028621881891,0.03180293749035314,0.031802674492892556,-3.615545494186853e-15,0.0,2.6824796994183333,999.9968556289238,467.2203109502513,16752.471570904516,622.4269883222023,951.0890155587383,4730.88851292346,715.8533979251397,532.7796890497486,532.7765446786723,0.05677305653277919,0.15131478917113117,0.050517325342291135,0.08092453988663156,-0.6019131398438038,0.050517325342291114,0.9519119541166721,0.9974479998402611,1000.0000000000001,467.22208688822195,16752.613470632674,622.4271668372634,951.0917922130711,4730.932513962704,715.855520557508,532.777913111778,532.7779131117779,0.05677274139228096,0.1513138305069366,0.050518193955075216,0.08092417369531395,-0.6018817649593364,0.0505181939550752,0.9519111670356891,0.9974479120795174,0.057292928676797965,0.05714337726020979,0.05510076977349371,0.060335379612507734,0.9967003626338484,0.9967346190146007,0.9963596547248864,0.9969638913385004
1.5,0.00033194147760927097,6778.303260577998,1.9952623149688788,0.03543697572286248,0.03634665460660801,0.03543697563468251,0.03764255157573299,0.03535299113132186,1.9478946022625636,1.0,3.742846761298715,943.6954685249391,435.65988816773586,14336.313130396158,619.063209329912,901.4432398872793,3987.550451062363,677.6704921521991,564.3401118322641,508.0355803572033,0.06287831687883687,0.1699465625498617,0.08718198119134825,0.08786579061318235,-0.01666377975677813,0.08718198119134825,0.919809210693675,0.9923993021555514,944.9015616521122,436.3309332382118,14385.504935771038,619.1389612633476,902.5057387578961,4002.56206916341,678.4925508562511,563.6690667617881,508.5706284139004,0.06273716096775461,0.16951456070687876,0.0877086610328974,0.08770866103293207,-8.411049634560186e-13,0.0877086610328974,0.9193638295114718,0.9923071907798163,0.08734480151899492,0.08695193655294775,0.07981916807639566,0.09454240488144428,0.9922376248050391,0.9924393762880689,0.9910617285175868,0.9936286802667398
2.0,0.0005901181824164817,6778.303260577998,6.309573444801943,0.04274120160726349,0.04398672576064886,0.041618409225599694,0.04536765971374146,0.042910659166281534,6.413788271071917,1.0,4.949991867759416,852.3772564286145,385.50980889107944,10923.124057845744,612.7860196693107,820.9493430010823,2959.94307882786,614.762358571289,614.4901911089205,466.867447537535,0.07515700990426999,0.20769397998516087,0.10227739729146808,0.10097684173574346,0.04483383053285728,0.10227739729146805,0.9072126512411616,0.9895393340032832,850.5315836277863,384.50980357293264,10860.28015204776,612.6470418656078,819.3189811758921,2941.3023264739168,613.4753558677897,615.4901964270673,466.02178005485365,0.07544179060808164,0.20857269596057962,0.10126858901299067,0.101268589012946,1.5507595207964187e-12,0.10126858901299066,0.9080436961307028,0.989744672879318,0.09982436316918955,0.09535810566926228,0.08587670617230231,0.11249325406303096,0.989740911532225,0.9909068218358633,0.9873441297722214,0.992625094399922
