s_left,s_right,s_center,mode_count,mean_teacher_power,total_teacher_power
3.476887741271638e-06,4.572220255202949e-06,3.987116320814959e-06,1,0.0018461457258942549,0.0018461457258942549
4.572220255202949e-06,6.012618070447762e-06,5.243187401619413e-06,1,0.0006024964776154551,0.0006024964776154551
6.012618070447762e-06,7.906787959293146e-06,6.894961650600006e-06,1,0.0029414227161788653,0.0029414227161788653
7.906787959293146e-06,1.03976828564079e-05,9.067098412038702e-06,9,0.003811884716652438,0.03430696244987194
1.03976828564079e-05,1.3673290511777431e-05,1.1923528770669907e-05,27,0.006559420575493902,0.17710435553833537
1.3673290511777431e-05,1.7980820919561228e-05,1.5679827424860443e-05,72,0.004121565541660346,0.2967527189995449
1.7980820919561228e-05,2.3645363247628582e-05,2.0619482101488007e-05,159,0.0025988310812527157,0.4132141419191818
2.3645363247628582e-05,3.109442030558575e-05,2.7115288364684843e-05,216,0.0035175901817121446,0.7597994792498233
3.109442030558575e-05,4.0890172166730786e-05,3.565748448390732e-05,347,0.0026097057905131752,0.9055679093080717
4.0890172166730786e-05,5.3771903878347336e-05,4.689074969883209e-05,187,0.0023660609051746463,0.44245338926765887
5.3771903878347336e-05,7.071179927813426e-05,6.166285813882475e-05,404,0.002471258463177903,0.9983884191238729
7.071179927813426e-05,9.29883116741305e-05,8.108866030656632e-05,364,0.0024078086616871634,0.8764423528541275
9.29883116741305e-05,0.00012228264867075787,0.00010663422080614943,448,0.0022975498241946243,1.0293023212391916
0.00012228264867075787,0.00016080565284739938,0.00014022746218701382,463,0.0023855380933171144,1.104504137205824
0.00016080565284739938,0.00021146465396984794,0.00018440366519071905,500,0.002217932343991338,1.1089661719956692
0.00021146465396984794,0.0002780828850651363,0.00024249680629904395,505,0.0023454240733423847,1.1844391570379043
0.0002780828850651363,0.00036568802168317004,0.00031889117282141573,410,0.0021424646772907276,0.8784105176891983
0.00036568802168317004,0.00048089162039306017,0.00041935224490343695,504,0.0020880338427952867,1.0523690567688244
0.00048089162039306017,0.0006323880927240838,0.00055146181611002,471,0.0025984200988046543,1.223855866536992
0.0006323880927240838,0.0008316108720969839,0.0007251901911181809,472,0.0026552248578313297,1.2532661328963877
0.0008316108720969839,0.0010935952946407642,0.0009536486442591758,459,0.0029172947766395387,1.3390383024775483
0.0010935952946407642,0.0014381133154797755,0.0012540789269296058,431,0.0037136487756764865,1.6005826223165658
0.0014381133154797755,0.0018911656974892222,0.001649154501960883,411,0.004406776594319922,1.811185180265488
0.0018911656974892222,0.002486944287951828,0.002168691709059002,378,0.00479805773488011,1.8136658237846817
0.002486944287951828,0.003270412476065693,0.0028519000029099844,356,0.005409484297642107,1.92577640996059
0.003270412476065693,0.0043006985783403725,0.003750341089341387,321,0.007253800875733155,2.3284700811103427
0.0043006985783403725,0.005655558250557314,0.004931820285441574,295,0.007253548890455769,2.139796922684452
0.005655558250557314,0.007437242704367792,0.006485503784447624,262,0.009716915883996657,2.545831961607124
0.007437242704367792,0.009780215602627974,0.00852864802520241,233,0.011098572839744908,2.5859674716605636
0.009780215602627974,0.01286130102728961,0.011215449031456253,200,0.015504356378097621,3.1008712756195242
0.01286130102728961,0.0169130283866251,0.014748679580338023,176,0.021138974204146805,3.7204594599298377
0.0169130283866251,0.02224118140146425,0.019394992456689512,149,0.02487184768345227,3.7059053048343884
0.02224118140146425,0.029247875591814573,0.025505044729327693,127,0.022533364023553815,2.8617372309913347
0.029247875591814573,0.038461905920966266,0.033539961827654154,109,0.03126141077759073,3.4074937747573895
0.038461905920966266,0.0505786549327113,0.044106138661539604,91,0.07175704542853482,6.529891133996669
0.0505786549327113,0.06651257324738451,0.05800100422377311,77,0.06391169801627788,4.921200747253397
0.06651257324738451,0.0874661931179108,0.07627320352800793,62,0.0975787730168747,6.049883927046231
0.0874661931179108,0.11502088349649724,0.10030173881093661,53,0.21917596260691002,11.616326018166232
0.11502088349649724,0.15125619589365286,0.1319000427824313,44,0.19837207917397268,8.728371483654797
0.15125619589365286,0.1989068080573026,0.17345283832816508,36,0.39413655730771757,14.188916063077832
0.1989068080573026,0.2615689100059189,0.2280961134616396,30,0.8014195771622378,24.042587314867134
0.2615689100059189,0.3439716083623144,0.2999537942289002,24,1.584253265935791,38.022078382458986
0.3439716083623144,0.4523338318635815,0.3944489772617047,23,1.4376449725760176,33.06583436924841
0.4523338318635815,0.5948336736934219,0.5187132106889478,16,2.1553551360910097,34.485682177456155
