p,n,gamma,n_trials,n_surrogate,map_index,theta,low_fraction,noise_signal_ratio,sigma,de_alpha_cv,de_kappa,trace_g,trace_g2,effective_rank_g,max_weight_fraction_g,de_denominator_cv,mc_denominator_cv,de_gen_error_normalized,de_r2_gen,mc_gen_error_normalized,mc_gen_error_normalized_se,mc_r2_gen,mc_r2_gen_se,de_acc_error_normalized,de_r2_acc,de_slope_acc,gaussian_acc_error_normalized,gaussian_r2_acc_median,gaussian_slope_acc,mc_acc_error_normalized,mc_acc_error_normalized_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_r2_acc_median_ci_low,mc_r2_acc_median_ci_high,mc_slope_acc,mc_slope_acc_se,mc_moment_acc_error_normalized,mc_moment_r2_acc,mc_moment_slope_acc
16,1000,0.016,2000,100000,0,0.0,0.0,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,10883.525845888817,8486638.007005803,13.95736859995057,0.08019327189449586,0.0823844239333659,0.08331072003338083,0.00016257476372473142,0.9998374252362753,0.00016357965745708046,1.3109550495503064e-06,0.9998364203425429,1.3109550495503081e-06,0.047137099032664116,0.9230936418645139,0.7828892010224638,0.04889658191277774,0.929988969938116,0.7878069851233869,0.04929166640299892,0.0006354223251027983,0.9278785605973304,0.8859001899046106,0.9592852415424495,nan,nan,0.7870350651549279,0.0014034907758498092,0.04759072512528787,0.9221463895191779,0.7818470144020764
16,1000,0.016,2000,100000,1,0.039269908169872414,0.001541333133436012,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,11323.230094226932,8687628.004642347,14.758405827032743,0.07707920267160502,0.08262556786063369,0.08373489978104447,0.00016257476372473142,0.9998374252362753,0.00016357965745708046,1.3109550495503064e-06,0.9998364203425429,1.3109550495503081e-06,0.05014110574533603,0.9167501860801522,0.7760779025077337,0.05181592585540674,0.9238254550574336,0.7809549848514491,0.052322052898276114,0.0006511699351623559,0.9219672794246283,0.8767674865918174,0.9551401075030113,nan,nan,0.7800065314706262,0.0014012298433457256,0.05071514017982095,0.915519075954339,0.7747997775759958
16,1000,0.016,2000,100000,2,0.07853981633974483,0.0061558297024311365,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,12639.631916333772,11601100.058327217,13.77113326987712,0.13962473798877267,0.09301448554394934,0.09469303709477538,0.00016257476372473142,0.9998374252362753,0.00016357965745708046,1.3109550495503064e-06,0.9998364203425429,1.3109550495503081e-06,0.05935237330358679,0.8962562483206709,0.7563765748053222,0.06103869146130173,0.9062355127317838,0.7622878491359448,0.06188413302679046,0.0007755808044772722,0.904660967004036,0.8414787875508317,0.9460648634361807,nan,nan,0.7608806977017147,0.0015343478286280099,0.0602991884468015,0.8940597915258707,0.7544410692994419
16,1000,0.016,2000,100000,3,0.11780972450961724,0.013815039801161699,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,14824.61525722802,24087392.595526353,9.123827606216482,0.26643447853131214,0.12851947667952643,0.13087189888776246,0.00016257476372473142,0.9998374252362753,0.00016357965745708046,1.3109550495503064e-06,0.9998364203425429,1.3109550495503081e-06,0.07518852871918157,0.8572671417318795,0.7257947325101475,0.07672584428790138,0.8817784347967259,0.7358792783420455,0.07810492293420274,0.0011307492945019986,0.881200528389876,0.7820933572284197,0.9329404706063511,nan,nan,0.7338846527832018,0.00190934419436861,0.07677755427345652,0.8530860754169467,0.7229123707679166
16,1000,0.016,2000,100000,4,0.15707963267948966,0.024471741852423214,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,17864.708968032377,57345017.545498915,5.565397660908847,0.3912676304326666,0.1876677587619068,0.1904995880601343,0.00016257476372473142,0.9998374252362753,0.00016357965745708046,1.3109550495503064e-06,0.9998364203425429,1.3109550495503081e-06,0.09788174728258289,0.7926939412646757,0.6871394123853519,0.09779671709557229,0.8509976807348004,0.7055962195894615,0.09980662915528236,0.0016620736966400141,0.849467955943743,0.6817286566929227,0.9214182073763924,nan,nan,0.7030086488815797,0.0024092084593843586,0.10036999482145581,0.7849577741357114,0.6831877609348783
16,1000,0.016,2000,100000,5,0.19634954084936207,0.03806023374435662,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,21741.16986008598,126563977.70402776,3.734699836872057,0.49980490048486614,0.2610338752187044,0.2640534518290261,0.00016257476372473142,0.9998374252362753,0.00016357965745708046,1.3109550495503064e-06,0.9998364203425429,1.3109550495503081e-06,0.12713344501009496,0.6929276610900352,0.6434422276683693,0.1225410024595632,0.8131527390228641,0.67415851648045,0.125190317680859,0.0022536456972632054,0.8100486290230713,0.5386738064101745,0.9089255126153729,nan,nan,0.6710307952033365,0.002913594773712988,0.1307166669183997,0.6793184917960581,0.638452400203791
16,1000,0.016,2000,100000,6,0.23561944901923448,0.05449673790581606,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,26430.09826293528,250453038.1618437,2.7891460184124774,0.5885438444626728,0.3409529574383693,0.3438154604888353,0.00016257476372473142,0.9998374252362753,0.00016357965745708046,1.3109550495503064e-06,0.9998364203425429,1.3109550495503081e-06,0.16201990553573756,0.5461449052322791,0.5974830369590152,0.1493213746377773,0.7650863566223343,0.6432118350757421,0.15257079157985412,0.0028342427451947486,0.7564773342018694,0.315307903214029,0.8933929843556238,nan,nan,0.6396141291369902,0.0033692853653287686,0.16679426565660324,0.5234247922017814,0.5915954632272026
16,1000,0.016,2000,100000,7,0.2748893571891069,0.0736799178229539,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,31902.58537374979,450653200.4631814,2.258443859897866,0.6591239708525565,0.42214966979221547,0.4245035811931745,0.00016257476372473142,0.9998374252362753,0.00016357965745708046,1.3109550495503064e-06,0.9998364203425429,1.3109550495503081e-06,0.20114539739296014,0.33868703959909197,0.5515076395377954,0.1768586254157234,0.7027302383772689,0.6136531480952804,0.18065044022910381,0.0033706203078803167,0.6844231019091429,-0.025237330575733574,0.8798964997553066,nan,nan,0.6096552072265025,0.003761351535624773,0.20709786304378375,0.3025545892601956,0.5449199377650304
16,1000,0.016,2000,100000,8,0.3141592653589793,0.09549150281252627,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,38124.89148970469,751052597.6387264,1.9352936873815698,0.7147578341389431,0.5011277481016593,0.5026612783754578,0.00016257476372473142,0.9998374252362753,0.00016357965745708046,1.3109550495503064e-06,0.9998364203425429,1.3109550495503081e-06,0.2429135799307794,0.05550300613381609,0.5071373620056199,0.20425442411408534,0.6233898269432636,0.5859144577503923,0.20852735794053395,0.003850423001446359,0.5969097129712042,-0.4872484169303945,0.8660986228644075,nan,nan,0.5815792011705213,0.004090728976050011,0.24993947819662624,0.0004840865283014528,0.5000605254667059
16,1000,0.016,2000,100000,9,0.3534291735288517,0.11979701719998452,0.01,4.166947281934958,0.1584893192461114,0.00016106595959050997,45058.6540244684,1177020618.229952,1.7249335067298628,0.7586517649675967,0.5757240413899196,0.5761927189294695,0.00016257476372473142,0.9998374252362753,0.00016357965745708046,1.3109550495503064e-06,0.9998364203425429,1.3109550495503081e-06,0.285783921262122,-0.3193557810303307,0.4654123820531176,0.2309212141752366,0.52174813581416,0.5601554863533,0.23561696533630214,0.004271807606997514,0.4891937027705783,-1.1631981735510037,0.8502264879396504,nan,nan,0.5555373585762496,0.00436399875114698,0.2937187587318478,-0.39997918346005346,0.4580417370942226
