p,n,n_trials,map_index,tail_fraction,trace_g,effective_rank_g,represented_signal_fraction,noise_signal_ratio,sigma,de_alpha_cv,de_kappa,de_gen_error_normalized,de_r2_gen,de_slope_gen,de_acc_error_normalized,de_r2_acc,de_slope_acc,de_acc_numerator,de_acc_denominator,mc_gen_error_normalized_mean,mc_gen_error_normalized_se,mc_gen_error_normalized_median,mc_gen_error_normalized_q25,mc_gen_error_normalized_q75,mc_r2_gen_mean,mc_r2_gen_se,mc_r2_gen_median,mc_r2_gen_q25,mc_r2_gen_q75,mc_slope_gen_mean,mc_slope_gen_se,mc_slope_gen_median,mc_slope_gen_q25,mc_slope_gen_q75,mc_acc_error_normalized_mean,mc_acc_error_normalized_se,mc_acc_error_normalized_median,mc_acc_error_normalized_q25,mc_acc_error_normalized_q75,mc_r2_acc_mean,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_slope_acc_mean,mc_slope_acc_se,mc_slope_acc_median,mc_slope_acc_q25,mc_slope_acc_q75,mc_acc_numerator_mean,mc_acc_numerator_se,mc_acc_numerator_median,mc_acc_numerator_q25,mc_acc_numerator_q75,mc_acc_denominator_mean,mc_acc_denominator_se,mc_acc_denominator_median,mc_acc_denominator_q25,mc_acc_denominator_q75
100,1000,1000,0,0.0,100.0,100.0,0.9995786931893617,0.01,4.166947281934958,7.68624610039773,0.008399506886244175,0.001374976356301492,0.9986250236436985,1.0018010534208712,1.9756729075597022e-05,0.9999800664613994,0.9955551457756641,567.6095868527857,570.1437928991323,0.001381141755810649,4.4953465881124224e-06,0.0013702409766640788,0.001284818946557838,0.001465210873521059,0.9986188582441894,4.495346588112467e-06,0.998629759023336,0.9985347891264789,0.9987151810534421,1.0016916012061847,0.00010977644843317377,1.0017049065731407,0.9993642502579512,1.0040407378720637,0.0001894113685187408,8.242092186885553e-06,8.533842601987873e-05,1.7493049582174405e-05,0.000253747023349915,0.9998053925516246,8.615638307412548e-06,0.9999148373382374,0.9997409578721637,0.9999824325966948,0.9952017186562314,0.00040811079265790816,0.9955706757983624,0.9861483977417904,1.0040034707331458,567.7979983250967,0.2429490681663331,567.7243905100862,562.5642967247827,573.2008100462755,570.7115451958268,0.45388108110223463,569.9737231582453,560.9855716026086,581.0604777861334
100,1000,1000,0,0.0,100.0,100.0,0.9995786931893617,0.1,13.177044300762265,36.36757019090955,0.03861153116479738,0.005951664941137791,0.9940483350588623,1.0055657135269787,0.002908464956706009,0.996750493097215,0.9460698140490318,494.7572413462926,522.9606039630505,0.005975322344320943,2.876358724263684e-05,0.00594041518719632,0.005332647228763182,0.0065505822244928315,0.994024677655679,2.8763587242636828e-05,0.9940595848128038,0.9934494177755071,0.9946673527712369,1.0050665021475211,0.0003139322964725897,1.0051234076604882,0.9983913427492092,1.0118359968273196,0.003703968698684564,0.00011511787660939658,0.0026766087865144565,0.0008508396470888124,0.005279419843157069,0.9956051665986576,0.0001466119928468678,0.9970233595859954,0.9938608553232303,0.9991002580779813,0.9487345528657992,0.001037737697273914,0.9482640628410994,0.9273403880916272,0.9712909074430076,494.8083989656648,0.5906896183536394,495.46466483992526,482.63267460782413,507.0749466415408,522.5054193894862,1.0339319529522175,522.0100551126743,500.5091652619858,542.520325093441
100,1000,1000,0,0.0,100.0,100.0,0.9995786931893617,1.0,41.66947281934957,148.39817889675632,0.15301129859595375,0.023616075968195867,0.9763839240318042,1.0090198323834223,0.03764437725521977,0.9420500187265967,0.8059784103373551,361.3774213274129,448.3710936824631,0.023564741870520437,0.00015588356224213842,0.023174281458273015,0.020029876846952545,0.02640471317964762,0.9764352581294795,0.0001558835622421384,0.976825718541727,0.9735952868203523,0.9799701231530474,1.01120263070299,0.00101304538793696,1.010321403297444,0.9888800445753364,1.0310228452480463,0.03932091928850406,0.0007117716406639225,0.035537466728667144,0.022717286657664253,0.05228412441598636,0.934073310941031,0.0015225866331773188,0.946033494433874,0.9121230371510141,0.9685038631670349,0.8107076858642441,0.0018689119641020885,0.8114861805401448,0.771342787953535,0.8492774562395271,361.79942831056576,1.144124863002944,362.3103971406125,336.76077189360456,387.09381133718716,448.05941106306085,1.601158873877837,445.7155414777335,413.6878484431236,481.5792015102279
100,1000,1000,0,0.0,100.0,100.0,0.9995786931893617,10.0,131.77044300762265,814.1684814475695,0.8224732315510441,0.07287725330833356,0.9271227466916665,1.0136897401995162,0.06577316357429487,0.8810283956100454,0.7435372082069314,179.04415551690252,240.80053229437488,0.07374958614734353,0.0007168411296149122,0.0697687334440313,0.05791497318424818,0.08635633202574258,0.9262504138526565,0.0007168411296149122,0.9302312665559687,0.9136436679742574,0.9420850268157518,1.0371445421262195,0.0035729628618482796,1.025791071999806,0.9586211730107499,1.1040258282378974,0.08367354965262086,0.002669262202626946,0.05930426869997683,0.0240177184407604,0.11783479315306078,0.7055894481549845,0.03052746977046849,0.8963673730792073,0.7267873114253132,0.9666224819118016,0.7481408897403904,0.00450119973239242,0.7564753402265805,0.6567292827426472,0.8455265133139774,179.19295023875503,1.3733625167730694,178.8302645060894,150.87469950059065,207.46277277758767,239.98743738961898,1.2922847544789182,236.40813347977019,211.60015475708133,263.87343343673456
100,1000,1000,1,1e-06,102.02267324784059,99.67985488753745,0.9995786931893617,0.01,4.166947281934958,7.68624610039773,0.008399506886244175,0.001374976356301492,0.9986250236436985,1.0018010534208712,2.5438009297694196e-05,0.999974303437454,0.9949563892598958,567.6095868527857,570.486900712307,0.001381141755810649,4.4953465881124224e-06,0.0013702409766640788,0.001284818946557838,0.001465210873521059,0.9986188582441894,4.495346588112467e-06,0.998629759023336,0.9985347891264789,0.9987151810534421,1.0016916012061847,0.00010977644843317377,1.0017049065731407,0.9993642502579512,1.0040407378720637,0.00019498877034444502,8.454171582462696e-06,8.67838270821965e-05,1.7448929498090407e-05,0.0002659004519172643,0.9997991120558433,8.874568341548782e-06,0.9999128316280411,0.9997315075804393,0.9999826180148974,0.9946002373291046,0.00040742770005637027,0.9950081825734565,0.9855672519406437,1.0034183728430106,567.7979983250967,0.2429490681663331,567.7243905100862,562.5642967247827,573.2008100462755,571.056122238636,0.45358351282879206,570.2970604672955,561.3100139968054,581.4176740933829
100,1000,1000,1,1e-06,102.02267324784059,99.67985488753745,0.9995786931893617,0.1,13.177044300762265,36.36757019090955,0.03861153116479738,0.005951664941137791,0.9940483350588623,1.0055657135269787,0.003199289754869065,0.9964055943441329,0.9434377355928083,494.7572413462926,524.4196015070484,0.005975322344320943,2.876358724263684e-05,0.00594041518719632,0.005332647228763182,0.0065505822244928315,0.994024677655679,2.8763587242636828e-05,0.9940595848128038,0.9934494177755071,0.9946673527712369,1.0050665021475211,0.0003139322964725897,1.0051234076604882,0.9983913427492092,1.0118359968273196,0.003972856304858105,0.00011949306710871239,0.003019119828946498,0.001015561303647045,0.00563947330306638,0.99526740671026,0.00015299929817888324,0.9966196016403268,0.9934075684277052,0.9989308299978085,0.9460478948794031,0.0010310624363547671,0.9450535866533518,0.9249035733609335,0.9687003830606015,494.8083989656648,0.5906896183536394,495.46466483992526,482.63267460782413,507.0749466415408,523.9761595301304,1.0314006018571258,523.4284555290392,501.94910876092354,544.0157723387229
100,1000,1000,1,1e-06,102.02267324784059,99.67985488753745,0.9995786931893617,1.0,41.66947281934957,148.39817889675632,0.15301129859595375,0.023616075968195867,0.9763839240318042,1.0090198323834223,0.04155155715215096,0.9344475743276675,0.7961580093500091,361.3774213274129,453.90163395133686,0.023564741870520437,0.00015588356224213842,0.023174281458273015,0.020029876846952545,0.02640471317964762,0.9764352581294795,0.0001558835622421384,0.976825718541727,0.9735952868203523,0.9799701231530474,1.01120263070299,0.00101304538793696,1.010321403297444,0.9888800445753364,1.0310228452480463,0.04317743485759273,0.0007449955682682345,0.039189372845317226,0.026029467170944818,0.0568142939203192,0.9259846344888031,0.0016512451285203378,0.9390772362295641,0.9020610862352217,0.9629924888769013,0.8006523688386228,0.0018551005919212114,0.8020369473692508,0.7616425122324038,0.8386635191530741,361.79942831056576,1.144124863002944,362.3103971406125,336.76077189360456,387.09381133718716,453.583958118154,1.588705808874143,451.1380848960502,419.26285588112563,486.6943031681802
100,1000,1000,1,1e-06,102.02267324784059,99.67985488753745,0.9995786931893617,10.0,131.77044300762265,814.1684814475695,0.8224732315510441,0.07287725330833356,0.9271227466916665,1.0136897401995162,0.08941727711497048,0.8180218982000189,0.7009727819830267,179.04415551690252,255.4224074298478,0.07374958614734353,0.0007168411296149122,0.0697687334440313,0.05791497318424818,0.08635633202574258,0.9262504138526565,0.0007168411296149122,0.9302312665559687,0.9136436679742574,0.9420850268157518,1.0371445421262195,0.0035729628618482796,1.025791071999806,0.9586211730107499,1.1040258282378974,0.10639337314317487,0.002966130644847343,0.08176982686742795,0.03991322498127814,0.1479480727212128,0.5848166613196725,0.0408719895453873,0.8396233633622991,0.6092865552720506,0.9376694075011804,0.7059094370414016,0.004463635061228611,0.7140457831030487,0.6153608714055601,0.8002170656389738,179.19295023875503,1.3733625167730694,178.8302645060894,150.87469950059065,207.46277277758767,254.58499714919645,1.3075626489556584,250.97813551346462,224.94349888645365,279.65451678433817
100,1000,1000,2,1.2589254117941661e-06,102.5463947029689,99.49868651747568,0.9995786931893617,0.01,4.166947281934958,7.68624610039773,0.008399506886244175,0.001374976356301492,0.9986250236436985,1.0018010534208712,2.7024679429599666e-05,0.9999726921372516,0.9948014733404935,567.6095868527857,570.5757400486965,0.001381141755810649,4.4953465881124224e-06,0.0013702409766640788,0.001284818946557838,0.001465210873521059,0.9986188582441894,4.495346588112467e-06,0.998629759023336,0.9985347891264789,0.9987151810534421,1.0016916012061847,0.00010977644843317377,1.0017049065731407,0.9993642502579512,1.0040407378720637,0.00019655136812912215,8.512797642548382e-06,8.741459664377766e-05,1.7552840025255333e-05,0.0002661749233933402,0.9997973640411666,8.945114514090618e-06,0.9999124438816562,0.9997298019548557,0.9999823231256157,0.9944446185993494,0.00040725294422878027,0.9948521784607337,0.985425225231384,1.003261855784732,567.7979983250967,0.2429490681663331,567.7243905100862,562.5642967247827,573.2008100462755,571.145341997118,0.45350691924620723,570.3807572440378,561.3897453550968,581.5092696309769
100,1000,1000,2,1.2589254117941661e-06,102.5463947029689,99.49868651747568,0.9995786931893617,0.1,13.177044300762265,36.36757019090955,0.03861153116479738,0.005951664941137791,0.9940483350588623,1.0055657135269787,0.003276576847588418,0.9963134566568321,0.9427586089652914,494.7572413462926,524.7973729874553,0.005975322344320943,2.876358724263684e-05,0.00594041518719632,0.005332647228763182,0.0065505822244928315,0.994024677655679,2.8763587242636828e-05,0.9940595848128038,0.9934494177755071,0.9946673527712369,1.0050665021475211,0.0003139322964725897,1.0051234076604882,0.9983913427492092,1.0118359968273196,0.004044665012081339,0.00012062496986336817,0.0031012792659078758,0.001049950734534049,0.005733071883019439,0.9951769450387964,0.0001546663217544601,0.9965221473285246,0.9932891503771017,0.9988785498290802,0.9453548165353314,0.001029382613394458,0.9443109659617941,0.9242829492912924,0.9680292492738197,494.8083989656648,0.5906896183536394,495.46466483992526,482.63267460782413,507.0749466415408,524.3569714679876,1.030752306044368,523.7529484178781,502.2870684191001,544.3674720747788
