panel,sweep_name,sweep_value,sigma2_noise,lambda,kappa,coverage,mean_beta1,mean_beta2,cov_11,cov_12,cov_22,ellipse_semimajor,ellipse_semiminor,ellipse_major_angle_deg
fixed_lambda,sigma2,0.01,0.01,0.05,0.05179536610433671,0.68,1.0038830918106683,0.18183967167797244,0.00026071533652123705,7.611309451116445e-05,0.0011450745904708346,0.051227861408977456,0.02406899854613541,85.11664722026549
fixed_lambda,sigma2,0.1,0.1,0.05,0.05179536610433671,0.68,1.0038830918106683,0.18183967167797244,0.002607153365212371,0.0007611309451116444,0.011450745904708346,0.16199672171181126,0.07611285640506919,85.11664722026549
fixed_lambda,sigma2,1.0,1.0,0.05,0.05179536610433671,0.68,1.0038830918106683,0.18183967167797244,0.026071533652123707,0.007611309451116444,0.11450745904708345,0.5122786140897745,0.2406899854613541,85.11664722026549
fixed_lambda,sigma2,4.0,4.0,0.05,0.05179536610433671,0.68,1.0038830918106683,0.18183967167797244,0.10428613460849483,0.030445237804465775,0.4580298361883338,1.024557228179549,0.4813799709227082,85.11664722026549
fixed_sigma2,lambda,0.0001,0.5,0.0001,0.00010525559686336676,0.68,1.0996583990376778,0.6473898512530974,0.017291076078959803,0.03627537456366576,0.4387752292578853,1.0034809059811338,0.17983670022270526,85.11664722026549
fixed_sigma2,lambda,0.01,0.5,0.01,0.010466340782636798,0.68,1.0717895251554124,0.45707914516504566,0.015531310218349846,0.019350719773027658,0.24036763058832641,0.742653244685645,0.1778375959444949,85.11664722026549
fixed_sigma2,lambda,0.15727116447550563,0.5,0.15727116447550563,0.1615497323283278,0.68,0.8893340322844178,0.03675581033567796,0.010218921389453683,1.296406044214921e-18,0.010218921389453685,0.15260268259994914,0.1526026825999491,61.89227024867422
fixed_sigma2,lambda,1.0,0.5,1.0,1.0135461267063375,0.68,0.4872531155166372,-0.021303535973070255,0.003092253541439466,-0.00023581396449325127,0.0003523273428067322,0.08421848137456554,0.027513532968573465,175.1166472202655
fixed_sigma2,lambda,10.0,0.5,10.0,10.023728190023226,0.68,0.08409511658229081,-0.005101024163595622,9.232928298085204e-05,-7.590093546474952e-06,4.1398655188716575e-06,0.01455623919147365,0.0028207110347846327,175.1166472202655
