sigma,n,d,train_pool_size,population_size,n_trials,seed,case_path,mc_elapsed_seconds,theory_alpha_cv,theory_lambda_final,theory_kappa_final,theory_signal_power,theory_weight_error,theory_gen_error,theory_r2_gen,theory_slope_gen,theory_slope_acc,theory_acc_alignment,theory_acc_error,theory_r2_acc,mc_weight_error,mc_weight_error_std,mc_weight_error_se,mc_gen_error,mc_gen_error_std,mc_gen_error_se,mc_r2_gen,mc_r2_gen_std,mc_r2_gen_se,mc_slope_gen,mc_slope_gen_std,mc_slope_gen_se,mc_slope_acc,mc_slope_acc_std,mc_slope_acc_se,mc_acc_alignment,mc_acc_alignment_std,mc_acc_alignment_se,mc_acc_error,mc_acc_error_std,mc_acc_error_se,mc_r2_acc,mc_r2_acc_std,mc_r2_acc_se,mc_alpha_cv,mc_alpha_cv_std,mc_alpha_cv_se,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,historical_alpha_inferred,historical_alpha_inference_relative_error,historical_weight_error,historical_gen_error,historical_r2_gen_population,historical_slope_gen,historical_slope_acc,historical_acc_error,historical_r2_acc,historical_r2_test_saved
0.0,1000,10000,10000,20000,100,20260814,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma0_trials100_pop20000_seed20260814.npz,1.536351173010189,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,69.57280845549644,1.8055350368963243,0.9997336302364344,1.0026688017587637,1.0000002868040074,1.0000002868040074,5.575597643328563e-10,0.9999999999999177,69.26918586730957,2.1960469635113897,0.21960469635113897,1.8778883695602417,0.1679435893317999,0.01679435893317999,0.9997229559606363,2.4776643344669606e-05,2.4776643344669604e-06,1.0024682957699895,0.0005116825917393251,5.1168259173932514e-05,1.0000006923896323,1.299872981554511e-05,1.299872981554511e-06,1.0000006923896323,1.299872981554511e-05,1.299872981554511e-06,1.1371057691683236e-06,1.5056195703751709e-06,1.505619570375171e-07,0.9999999998323584,2.2171766518346703e-10,2.2171766518346703e-11,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0010000000474974513,0.0011850954725275455,67.14236450195312,1.7282471656799316,0.9997450324611624,1.002229602441605,1.0000002930356846,5.820522623792763e-10,0.9999999999998473,0.999772952915346
0.01,1000,10000,10000,20000,100,20260814,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma0p01_trials100_pop20000_seed20260814.npz,1.535538186028134,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,69.57595280801499,1.805622731739156,0.999733617298854,1.002668788713939,0.9999952350654153,0.9999952350654153,9.789345226701097e-07,0.9999999998555745,68.6917370223999,2.467817382798942,0.2467817382798942,1.843605681657791,0.19687675062005586,0.019687675062005586,0.9997280136703973,2.9045139813779295e-05,2.9045139813779297e-06,1.0024282140878606,0.000464863082030476,4.64863082030476e-05,0.9999942910035613,2.8769375061273575e-05,2.8769375061273576e-06,0.9999942910035613,2.8769375061273575e-05,2.8769375061273576e-06,5.775065209564075e-06,6.681238799529076e-06,6.681238799529075e-07,0.999999999148975,9.860084914147794e-10,9.860084914147794e-11,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0010000000474974513,0.001185488509008522,67.14617156982422,1.7268319129943848,0.9997452412527642,1.0022337456338173,0.9999823207053354,2.1186090846587314e-06,0.9999999996908757,0.99977295671193
0.1,1000,10000,10000,20000,100,20260814,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma0p1_trials100_pop20000_seed20260814.npz,1.5352094569825567,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,69.88724370735042,1.814304521179473,0.9997323364784029,1.002667497278019,0.9994953654670479,0.9994953654670479,0.0018086606780848625,0.9999997328749818,69.74318267822265,2.56312441194941,0.256312441194941,1.9139052844047546,0.19576168819460604,0.019576168819460605,0.9997176424011429,2.8880635148065593e-05,2.888063514806559e-06,1.002456180773471,0.0005392926201096564,5.3929262010965636e-05,0.9994071773184038,0.0002237896539461873,2.237896539461873e-05,0.9994071773184038,0.0002237896539461873,2.237896539461873e-05,0.0027182330845152425,0.0018155597482274056,0.00018155597482274056,0.9999995984101483,2.6840653359989015e-07,2.6840653359989016e-08,9.999999747378752e-05,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,0.0010000000474974513,0.001203531499281182,67.48385620117188,1.749910593032837,0.9997418364653207,1.0022448767036791,0.9994611989012714,0.001967786183206466,0.9999997092749623,0.9997700414161955
1.0,1000,10000,10000,20000,100,20260814,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma1_trials100_pop20000_seed20260814.npz,1.5341792710241862,0.0001,1.0000000000000001e-07,0.03180286218804824,6778.303260577998,101.01633364089489,2.6824834652111735,0.9996042544332868,1.0025383704838298,0.9519119541166721,0.9519119541166721,15.682912855008539,0.9974463539397768,105.03323127746582,3.1426274554801954,0.31426274554801953,2.8577412390708923,0.21464283692227074,0.021464283692227075,0.9995783987008167,3.166616265658354e-05,3.166616265658354e-06,1.0021975232849087,0.0007818494201881839,7.818494201881839e-05,0.9449436779815713,0.003838288566692495,0.0003838288566692495,0.9449436779815713,0.003838288566692495,0.0003838288566692495,20.645244176744523,2.8562859758330053,0.2856285975833005,0.9965849993287302,0.0004996558716945873,4.9965587169458725e-05,0.06737500024471955,0.2182659319802001,0.021826593198020012,9.999999747378752e-05,9.999999747378752e-05,0.002574999942225986,1.0,0.0019087312456231972,98.82011413574219,2.701838254928589,0.999601398999011,1.0022395223356122,0.9538748141284774,14.42106120376796,0.9976617457318686,0.9996185282290846
3.0,1000,10000,10000,20000,100,20260814,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma3_trials100_pop20000_seed20260814.npz,1.5337207929696888,10.0,0.01,0.04859298518073767,6778.303260577998,198.13405699473532,7.751028800246209,0.9988564942431353,1.0032407787141966,0.8418189031275981,0.8418189031275981,169.66094760545246,0.964669188227532,200.7364700317383,6.961720871585838,0.6961720871585838,8.164663410186767,0.5671410078064676,0.05671410078064676,0.9987954708235764,8.367006167050065e-05,8.367006167050065e-06,1.0030924885628558,0.00139180826044431,0.000139180826044431,0.8395339400915637,0.008124101255652386,0.0008124101255652386,0.8395339400915637,0.008124101255652386,0.0008124101255652386,174.97983392968075,17.532457269911102,1.7532457269911101,0.9632937526418911,0.004364275037443101,0.0004364275037443101,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0016560530443865073,193.96746826171875,7.899764060974121,0.9988345513072304,1.0041574543007992,0.848941232334985,154.67240425367953,0.9683380898734568,0.9989451476581288
10.0,1000,10000,10000,20000,100,20260814,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_disk_teacher_cases/ffhq_disk_d10000_n1000_sigma10_trials100_pop20000_seed20260814.npz,1.5346345200086944,100.0,0.1,0.16432172272468756,6778.303260577998,269.6232679027155,30.60109860019362,0.9954854338285265,1.0089493890318537,0.8142010345324378,0.8142010345324378,234.29170963372096,0.9477893482146786,267.08104965209964,10.565230523901175,1.0565230523901175,31.67337692260742,2.8006496255574245,0.2800649625557424,0.9953272407321111,0.0004131785987300964,4.131785987300964e-05,1.008359296461269,0.004511638626429999,0.0004511638626429999,0.8202090714601679,0.011690292358580202,0.0011690292358580202,0.8202090714601679,0.011690292358580202,0.0011690292358580202,220.02421032666518,28.48556233661931,2.848556233661931,0.9515441621324918,0.007644933876872109,0.0007644933876872109,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0003797891902057604,270.453857421875,31.40121841430664,0.99536739215629,1.0054294989976382,0.8070311469901829,252.40351136931562,0.9428266766029421,0.9957476487188943
