policy,sigma,noise_signal_ratio,alpha,lambda,n_trials,theory_gen_error_normalized,theory_acc_error_normalized,theory_r2_gen,theory_r2_acc,mc_gen_error_normalized,mc_gen_error_normalized_se,mc_acc_error_normalized,mc_acc_error_normalized_se,mc_r2_gen,mc_r2_gen_se,mc_r2_acc,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,mc_r2_gen_median,mc_r2_gen_q25,mc_r2_gen_q75,theory_acc_error_ratio_normalized,theory_acc_error_second_order_normalized,theory_r2_acc_ratio,theory_r2_acc_second_order,theory_acc_ratio_leading_mean,theory_acc_ratio_corrected_mean,theory_acc_ratio_mean_correction,theory_acc_ratio_variance,theory_r2_acc_second_order_correction
cv,0.5,3.688238926422803e-05,0.0001,1.0000000000000001e-07,100.0,0.0002987137375418115,0.00015583201758598752,0.9997012862856475,0.99984019129265,0.00031641830398658374,2.625849550945572e-06,0.0002041135539985741,3.610547073188927e-06,0.9996835816960136,2.6258495509462763e-06,0.9997898562067253,3.7738316677348104e-06,0.9997943807636156,0.9997674422847537,0.9998145664281787,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,nan,nan,nan,0.00015554108827333556,0.00015583201758598752,0.9998405054231827,0.99984019129265,0.9875283891898999,0.9875289939660741,6.047761741713526e-07,3.060143562099412e-07,-3.1413053269118295e-07
fixed,0.5,3.688238926422803e-05,100.0,0.1,100.0,0.0018246428834438055,0.008108986568017102,0.9981753572582042,0.9931754861990034,0.0019614114645336747,1.4481957932253527e-05,0.008088314424776007,6.129411582627693e-05,0.9980385885354663,1.4481957932253203e-05,0.993193607325089,4.729055078090896e-05,0.993206653093027,0.9928948599930477,0.9934589695590483,nan,nan,nan,0.9980310328668641,0.997938658763,0.9981316288083522,0.008108758913654856,0.008108986568017102,0.9931756295049304,0.9931754861990034,1.0900486439885018,1.0900489660622592,3.220737574288179e-07,1.696497343316854e-07,-1.4330592699568172e-07
cv,0.7,7.228948295788692e-05,0.0001,1.0000000000000001e-07,100.0,0.0003297639327076623,0.0005840298091135101,0.9996702360928921,0.9993866367117973,0.00034450301130869564,2.71707734652407e-06,0.0007970915406609289,1.3652601466719262e-05,0.9996554969886912,2.7170773465246475e-06,0.999155375677008,1.48998259427569e-05,0.9991759948724885,0.9990630875698635,0.9992599415358518,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,nan,nan,nan,0.0005834841601971984,0.0005840298091135101,0.9993872720030111,0.9993866367117973,0.9758445841496977,0.9758457516163602,1.1674666625261794e-06,6.020501594020561e-07,-6.352912138789801e-07
fixed,0.7,7.228948295788692e-05,100.0,0.1,100.0,0.0018311148801680107,0.007950096482977613,0.9981688852619823,0.9932983418776233,0.00196643507489061,1.458264117666838e-05,0.00803048500157463,5.950603995818795e-05,0.9980335649251093,1.4582641176668146e-05,0.993238165559859,4.5896232934505434e-05,0.9932798790061587,0.992954589718857,0.9935556249883281,nan,nan,nan,0.9980736924803562,0.997926329717399,0.998131504574535,0.007949652058801897,0.007950096482977613,0.9932986227284721,0.9932983418776233,1.0891608178611352,1.0891614478829996,6.300218643697664e-07,3.320776118188719e-07,-2.808508487616049e-07
cv,1.0,0.00014752955705691213,0.0001,1.0000000000000001e-07,100.0,0.0003957455974350952,0.0023134713198020547,0.9996042544332868,0.997446611158425,0.00042189666191764635,3.17074036700797e-06,0.002948536536887998,4.031864829502158e-05,0.9995781033380824,3.170740367008171e-06,0.9967003626338484,4.768831207067245e-05,0.9967346190146007,0.9963596547248864,0.9969638913385004,9.999999747378752e-05,9.999999747378752e-05,0.0001401194131176453,nan,nan,nan,0.00231246033639448,0.0023134713198020547,0.9974479998402611,0.997446611158425,0.9519119541166721,0.9519142610002043,2.3068835321597477e-06,1.2328503713759549e-06,-1.38868183609092e-06
fixed,1.0,0.00014752955705691213,100.0,0.1,100.0,0.0018448678732069462,0.007618520447324424,0.9981551322700111,0.993555696726075,0.001991128313147909,1.6989564704409833e-05,0.0078037046212995525,6.36943203928814e-05,0.998008871686852,1.6989564704409772e-05,0.9934141475656014,4.944826610927774e-05,0.9934027564796613,0.9930934384194974,0.9937198051644369,nan,nan,nan,0.9980185725526887,0.9978991719658238,0.9981322183562021,0.0076176211171435715,0.007618520447324424,0.9935562697806648,0.993555696726075,1.0872789810079375,1.0872802614016495,1.2803937120551326e-06,6.758271940829777e-07,-5.730545897764864e-07
cv,1.5,0.0003319415033780523,1.9952623149688788,0.001995262314968879,100.0,0.0005521831136070304,0.006432466452248229,0.9994478169292592,0.9923959599785391,0.000595917650984377,3.975949768798195e-06,0.006531419373814582,0.00015771222646650298,0.9994040823490153,3.975949768797606e-06,0.9922376248050391,0.00020421458609585228,0.9924393762880689,0.9910617285175868,0.9936286802667398,2.5118863582611084,1.9952622652053833,3.2587417364120483,nan,nan,nan,0.006430563188779112,0.006432466452248229,0.9923993021555515,0.9923959599785391,0.9198092106936754,0.9198139747888578,4.764095182459617e-06,2.6673364273894555e-06,-3.342177012326854e-06
fixed,1.5,0.0003319415033780523,100.0,0.1,100.0,0.0018785761894788467,0.0068402836244276935,0.998121423956356,0.9941651097360606,0.002035190166254123,1.4750722094981185e-05,0.006953940199003997,5.576016579140249e-05,0.9979648098337457,1.4750722094981327e-05,0.9940773789438295,4.382459349635155e-05,0.9940745907268453,0.9938079781905835,0.9944016720038662,nan,nan,nan,0.9979726580272612,0.9978702066333157,0.9980575323058349,0.006838301668814673,0.0068402836244276935,0.9941663986857552,0.9941651097360606,1.0826940211741694,1.0826968727807877,2.8516066182897988e-06,1.5103338230142627e-06,-1.2889496945723894e-06
cv,2.0,0.0005901182282276485,6.309573444801943,0.006309573444801943,100.0,0.0007302788742521788,0.008612447686858498,0.9992697211824397,0.9895335771284326,0.0007819112432843616,5.782904500500789e-06,0.008395235994813574,0.000269713649500907,0.9992180887567156,5.782904500500924e-06,0.989740911532225,0.00036836224342731624,0.9909068218358633,0.9873441297722214,0.992625094399922,7.079457759857178,5.6234130859375,7.943282127380371,nan,nan,nan,0.00860949275805341,0.008612447686858498,0.9895393340032832,0.9895335771284326,0.9072126512411618,0.9072203237697926,7.67252863071411e-06,4.378755755537905e-06,-5.756874850643202e-06
fixed,2.0,0.0005901182282276485,100.0,0.1,100.0,0.0019257678322595075,0.005831167049599692,0.9980742323172388,0.9949673176875472,0.002066457496519855,1.6859721246594823e-05,0.005975141810513765,5.9990032467938494e-05,0.99793354250348,1.685972124659514e-05,0.9948541094124705,4.789456656533615e-05,0.994841791926095,0.9945866596152979,0.9951880553629713,nan,nan,nan,0.997951322100276,0.9978183987749882,0.9980422500690465,0.005827744084143436,0.005831167049599692,0.9949696088885018,0.9949673176875472,1.0763396596254713,1.0763446575598046,4.997934333182696e-06,2.659883978879184e-06,-2.2912009545956696e-06
cv,3.0,0.0013277660135122091,15.848931924611142,0.01584893192461114,100.0,0.0011195039705124879,0.01287757212615508,0.9988804961163952,0.9836100022332405,0.00117781807144913,7.324454860490575e-06,0.013454887992155167,0.0003869397682638887,0.9988221819285509,7.324454860490305e-06,0.9826260595800346,0.0005668297827258164,0.9830614107885316,0.9792119994178545,0.9872267943412291,15.848932266235352,14.125375747680664,17.782794952392578,nan,nan,nan,0.012872430476857289,0.01287757212615508,0.9836220083206092,0.9836100022332405,0.8865432704615358,0.8865576187004546,1.4348238918788264e-05,8.397457423368068e-06,-1.200608736869021e-05
fixed,3.0,0.0013277660135122091,100.0,0.1,100.0,0.002060601097347109,0.0034397140305048404,0.9979393990626184,0.9969316643019882,0.00220414946300781,1.7696602110587624e-05,0.0035898554800872407,5.413617003731768e-05,0.9977958505369923,1.769660211058739e-05,0.9968074286664539,4.5512344316736995e-05,0.9968103986223323,0.9964789147027271,0.9970893794663961,nan,nan,nan,0.9977983045882187,0.9976822932771572,0.9978915702420714,0.003432619282730931,0.0034397140305048404,0.9969368291967634,0.9969316643019882,1.058588557041926,1.0585993600143875,1.0802972461553543e-05,5.828886086568077e-06,-5.164894775243278e-06
cv,5.0,0.003688238926422803,39.81071705534978,0.039810717055349776,100.0,0.0019928261564093274,0.01756384064244797,0.9980071739982947,0.9766472594407731,0.0020741175637368388,1.4616698148208812e-05,0.021072828767534853,0.0006482207850577722,0.9979258824362631,1.4616698148209095e-05,0.970761240338648,0.0010633609301055036,0.9730573570238841,0.9633932424076834,0.9790947871256386,35.48133850097656,31.62277603149414,39.81071853637695,nan,nan,nan,0.017554005004139422,0.01756384064244797,0.9766746199030208,0.9766472594407731,0.8675084770960292,0.8675374737101114,2.8996614082213527e-05,1.751924866263e-05,-2.7360462247669546e-05
fixed,5.0,0.003688238926422803,100.0,0.1,100.0,0.002492067545627433,4.573703664412026e-05,0.997507932647833,0.9999550889920579,0.0026234254966214614,2.0790689135256177e-05,0.00011389317997835251,1.2658336178975372e-05,0.9973765745033785,2.0790689135256224e-05,0.9998894564177617,1.2163953102451471e-05,0.9999440877828695,0.9998282320167554,0.9999768663868371,nan,nan,nan,0.9973646914937613,0.9972751304487157,0.9974984779486173,3.049680018788614e-05,4.573703664412026e-05,0.9999698372628778,0.9999550889920579,1.0055223905892652,1.0055489073499648,2.6516760699595445e-05,1.4947363453636615e-05,-1.4748270819978085e-05
cv,8.233044840382567,0.01,79.43282347242821,0.07943282347242821,100.0,0.003581302187704958,0.027438740893621635,0.9964186980903132,0.9605498607898167,0.003754877157961943,3.2183671008385845e-05,0.03092208438314139,0.0010979290738100242,0.9962451228420379,3.218367100838566e-05,0.9533679548324453,0.002047795867114232,0.9586300500991252,0.9435565214599874,0.9672058214905317,79.43282318115234,70.7945785522461,79.43282318115234,nan,nan,nan,0.0274220553614273,0.027438740893621635,0.9606135107346804,0.9605498607898167,0.8344039456006281,0.834456468905882,5.252330525384732e-05,3.408083512713367e-05,-6.364994486361727e-05
fixed,8.233044840382567,0.01,100.0,0.1,100.0,0.0036457825990454237,0.012864970387655064,0.9963542176839785,0.9836142561885634,0.003839134719045338,3.430895806924065e-05,0.011535287160818218,0.0001934424578147428,0.9961608652809545,3.4308958069240395e-05,0.9854809295394028,0.00027245079880264765,0.9856983089296304,0.9840031770967463,0.9873535538056667,nan,nan,nan,0.9961752313446967,0.9959348590985801,0.9964297625878757,0.012843478897549035,0.012864970387655064,0.9836635494818233,0.9836142561885634,0.8866709309113346,0.8867241985923415,5.3267681006902397e-05,3.35650418396829e-05,-4.9293293260022295e-05
cv,10.0,0.014752955705691212,100.0,0.1,100.0,0.004514566521941458,0.03454107146673797,0.9954854338285265,0.9478335919374858,0.004569702662502403,3.537595696508611e-05,0.036785584371994605,0.0013248860736129067,0.9954302973374978,3.537595696508615e-05,0.9420763829556197,0.002643248446635112,0.9464310950696522,0.9262582477912373,0.9575638456293621,100.0,89.12509155273438,100.0,nan,nan,nan,0.03452125824871855,0.03454107146673797,0.9479257188787382,0.9478335919374858,0.8142010345324378,0.8142652993568343,6.426482439658148e-05,4.3693892258983356e-05,-9.212694125240447e-05
fixed,10.0,0.014752955705691212,100.0,0.1,100.0,0.004514566521941458,0.03454107146673797,0.9954854338285265,0.9478335919374858,0.004547735940070331,3.51256984131254e-05,0.0326654384341601,0.0004013966681846149,0.9954522640599298,3.512569841312573e-05,0.9511853217515583,0.0007363936534538535,0.9513400281478626,0.9473908992471615,0.9562866965543055,nan,nan,nan,0.9954699334544359,0.9952091140525937,0.9956478759563939,0.03452125824871855,0.03454107146673797,0.9479257188787382,0.9478335919374858,0.8142010345324378,0.8142652993568343,6.426482439658148e-05,4.3693892258983356e-05,-9.212694125240447e-05
cv,14.260051964535403,0.030000000000000002,158.48931924611142,0.15848931924611143,100.0,0.0069022901110970215,0.04451121411138862,0.9930977104247312,0.9283912680493434,0.006953221128553928,6.206332468755801e-05,0.048515858463691594,0.0017822355382675788,0.9930467788714461,6.206332468755778e-05,0.9172751560558313,0.003869408621433827,0.928783125554019,0.8908443937242261,0.9442683822243443,158.48931884765625,141.25375366210938,158.48931884765625,nan,nan,nan,0.044480978156490936,0.04451121411138862,0.9285642090777262,0.9283912680493434,0.7890948680012484,0.7891850290303699,9.016102912153471e-05,6.826680004649754e-05,-0.00017294102838281796
fixed,14.260051964535403,0.030000000000000002,100.0,0.1,100.0,0.00730154535675742,0.1259844344770813,0.9926984552100652,0.6968373439842214,0.007274834184125532,5.881052351515163e-05,0.12125672664904381,0.0008882174883225002,0.9927251658158746,5.881052351515144e-05,0.7136305947271402,0.003245957704016471,0.7170682700332005,0.6904530879686681,0.7378851108315878,nan,nan,nan,0.9927341594662866,0.9924055567995007,0.9931034470901415,0.12597544702043503,0.1259844344770813,0.6972581672097182,0.6968373439842214,0.6450698135676546,0.6451458852515071,7.607168385251899e-05,6.298772981254588e-05,-0.0004208232254968374
cv,20.0,0.05901182282276485,251.18864315095823,0.25118864315095824,100.0,0.010335824096945709,0.050511407101815974,0.9896641767054294,0.915760083830309,0.010527037484798621,9.537102334790928e-05,0.058375521752164344,0.002585027493630922,0.9894729625152014,9.53710233479093e-05,0.8919347164369049,0.00719091856499052,0.9092084599401894,0.8708000562613138,0.9349688430806198,251.1886444091797,223.8721160888672,251.1886444091797,nan,nan,nan,0.05046072638856613,0.050511407101815974,0.9160654672141104,0.915760083830309,0.7753653578112333,0.7754873175884421,0.00012195977720881463,0.00010547349114491957,-0.0003053833838013373
fixed,20.0,0.05901182282276485,100.0,0.1,100.0,0.012604562427197551,0.28908732504513734,0.9873954385513007,-0.3550578419407974,0.012630101401267862,0.00010769765928177495,0.2811559668924222,0.001457243170557828,0.987369898598732,0.00010769765928177466,-0.2801872883319661,0.014073322206561148,-0.2898006505642736,-0.3577473336095929,-0.1840655274905557,nan,nan,nan,0.9874869515941693,0.986683956539759,0.988124881129482,0.28908917665674233,0.28908732504513734,-0.3524707056586571,-0.3550578419407974,0.46232988346514176,0.4624002454740362,7.036200889441712e-05,7.381148758249923e-05,-0.002587136282140289
cv,26.035173773906333,0.10000000000000003,354.81338923357606,0.3548133892335761,100.0,0.01412810611426728,0.05664332384703841,0.9858718949825045,0.9021327654575377,0.014123145079651555,0.00014921561138547487,0.06571965678574099,0.0027144889671984244,0.9858768549203486,0.00014921561138547492,0.8739847725158014,0.007140622252663045,0.8956526270162212,0.8404525127077866,0.9231121837988322,335.52056884765625,316.2277526855469,354.8133850097656,nan,nan,nan,0.05656658469384627,0.05664332384703841,0.9026211725690233,0.9021327654575377,0.7621627020365506,0.7623146288641612,0.0001519268276107045,0.0001490068795690208,-0.0004884071114855549
fixed,26.035173773906333,0.10000000000000003,100.0,0.1,100.0,0.020096715008749415,0.44865261479886626,0.9799032865513684,-3.1273279169399895,0.019748216541531874,0.00016883487708285,0.4369077770649524,0.001606531055152846,0.9802517834584681,0.00016883487708284974,-2.823536181350988,0.04140899401391384,-2.824039248833413,-3.052378002837298,-2.565632257878776,nan,nan,nan,0.9802152758698265,0.9791735385929541,0.9815928586590845,0.4486572084949946,0.44865261479886626,-3.1153789563090264,-3.1273279169399895,0.33018123819534884,0.33023798693497514,5.6748739626312764e-05,7.14290452492128e-05,-0.011948960630963089
cv,30.0,0.1327766013512209,398.1071705534977,0.3981071705534977,100.0,0.016699270370126293,0.0739857230447647,0.9833007309262463,0.8598902584092731,0.01655844946543587,0.00017232884092473614,0.07970473686939193,0.003598147534156639,0.9834415505345641,0.00017232884092473614,0.8318524332824494,0.010872890530325108,0.8608106564897167,0.7907706573748091,0.9052250604290234,398.107177734375,354.8133850097656,446.68359375,nan,nan,nan,0.07389808087709106,0.0739857230447647,0.860625962755507,0.8598902584092731,0.7281579959970371,0.7283193320034241,0.00016133600638697655,0.00017535796745808642,-0.0007357043462338123
fixed,30.0,0.1327766013512209,100.0,0.1,100.0,0.026087888935957714,0.5347181398787594,0.9739121130892578,-6.430895602447907,0.025752610230440013,0.00021786031553477176,0.5227256697584483,0.0018004882437749146,0.9742473897695603,0.0002178603155347717,-5.868726197677762,0.08445924301150196,-5.8469146422953475,-6.395401756076533,-5.312311987313275,nan,nan,nan,0.9742985574663643,0.9729449626373112,0.975943960226017,0.5347224396122736,0.5347181398787594,-6.403246794557285,-6.430895602447907,0.2687528474575036,0.2688011058508908,4.825839338715796e-05,6.627789232084044e-05,-0.02764880789062204
cv,40.0,0.2360472912910594,630.9573444801943,0.6309573444801942,100.0,0.023366871999496847,0.06357980958505662,0.9766331298144848,0.8856775294374895,0.023262335833297794,0.0002731748406596547,0.08302261377238113,0.004308529158398278,0.976737664166702,0.00027317484065965506,0.8163405042256816,0.013985079011271714,0.8499695039784305,0.7721884270166712,0.9132726729604475,562.34130859375,501.1872253417969,630.9573364257812,nan,nan,nan,0.06342389495080218,0.06357980958505662,0.8866908275172752,0.8856775294374895,0.7481589985185609,0.7483771902314511,0.0002181917128902207,0.0002658138611291435,-0.0010132980797858233
