policy,sigma,noise_signal_ratio,alpha,lambda,n_trials,theory_gen_error_normalized,theory_acc_error_normalized,theory_r2_gen,theory_r2_acc,mc_gen_error_normalized,mc_gen_error_normalized_se,mc_acc_error_normalized,mc_acc_error_normalized_se,mc_r2_gen,mc_r2_gen_se,mc_r2_acc,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,mc_r2_gen_median,mc_r2_gen_q25,mc_r2_gen_q75,theory_acc_error_ratio_normalized,theory_acc_error_second_order_normalized,theory_r2_acc_ratio,theory_r2_acc_second_order,theory_acc_ratio_leading_mean,theory_acc_ratio_corrected_mean,theory_acc_ratio_mean_correction,theory_acc_ratio_variance,theory_r2_acc_second_order_correction
fixed,40.0,0.2360472912910594,100.0,0.1,100.0,0.044964546048221934,0.6898372280383325,0.9550354574423978,-23.183485375756806,0.044007322356368304,0.00040001434240607194,0.680648797862957,0.001572903204941082,0.9559926776436316,0.00040001434240607216,-21.46503233560069,0.29331146110705186,-21.46591014547041,-23.402774454545202,-19.383908803701136,nan,nan,nan,0.9561163567165281,0.9533795963146857,0.9590320014336589,0.6898396461318342,0.6898372280383325,-23.029575619821625,-23.183485375756806,0.16943417324137092,0.16946637370740872,3.2200466037799596e-05,5.107112007927862e-05,-0.15390975593518302
cv,45.09424376029051,0.29999999999999993,707.9457843841387,0.7079457843841387,100.0,0.026825039910727207,0.07560750395001817,0.9731749621717137,0.8552588520406836,0.026851867151146624,0.00032801559071631356,0.0810938175346901,0.003878919872429687,0.9731481328488535,0.0003280155907163135,0.8259441896800083,0.011561020015543325,0.8251593303325966,0.7640207531500863,0.9172864550826046,707.94580078125,630.9573364257812,794.3282470703125,nan,nan,nan,0.07542735880843587,0.07560750395001817,0.8566419290783355,0.8552588520406836,0.7253595933716724,0.7255889135345901,0.00022932016291768464,0.00030610629318111355,-0.0013830770376517811
fixed,45.09424376029051,0.29999999999999993,100.0,0.1,100.0,0.05665434258586937,0.7432497076053263,0.943345661812235,-38.411761630971284,0.055789661453883616,0.0005240227197655592,0.7345087676956411,0.0014264735622179121,0.9442103385461165,0.000524022719765559,-35.37533596327623,0.51595889556473,-35.05687856076838,-37.82550232828187,-31.943350882610435,nan,nan,nan,0.9441818400119752,0.9407454577842875,0.9482293445653656,0.7432513775830252,0.7432497076053263,-38.096213185502904,-38.411761630971284,0.13787975323389062,0.13790634636154636,2.6593127655731557e-05,4.4182969984377214e-05,-0.31554844546838207
cv,60.0,0.5311064054048836,1000.0,1.0,100.0,0.037223405870887794,0.09046115259781651,0.9627765970187834,0.8133261253533957,0.03765937482801425,0.0005550893444573135,0.10213129424997125,0.005985933411331567,0.9623406251719858,0.0005550893444573131,0.7322854000413844,0.029752625815298063,0.8081018589036779,0.6798335960912621,0.8917361691769851,1000.0,891.2509155273438,1122.0184326171875,nan,nan,nan,0.0901851537070807,0.09046115259781651,0.8157863872826726,0.8133261253533957,0.6996915806941751,0.6999649074406851,0.0002733267465099527,0.00044016351570668583,-0.002460261929277007
fixed,60.0,0.5311064054048836,100.0,0.1,100.0,0.09889785208326257,0.8419619923206758,0.901102155594226,-124.70908663911338,0.09821558530010596,0.0009231804286588084,0.8380326201779188,0.0013465492087188552,0.9017844146998942,0.0009231804286588084,-119.07802602343195,2.2758618403756476,-118.29063195559175,-131.14999555481305,-105.34154791744335,nan,nan,nan,0.9018150997942366,0.8960868239717377,0.9075038459075387,0.8419624952448126,0.8419619923206758,-122.95992991147413,-124.70908663911338,0.08241489229453368,0.08243114832119594,1.6256026662261518e-05,2.9329651853764858e-05,-1.7491567276392426
cv,82.33044840382567,1.0000000000000002,1584.893192461114,1.584893192461114,100.0,0.05328726541973398,0.08680410404315216,0.9467127387169825,0.8231088415055775,0.054300914346485846,0.000858253080748036,0.11092941138109351,0.007540597319449016,0.9456990856535141,0.0008582530807480359,0.6539883683704824,0.06438786715769815,0.8172300196336624,0.6302111530428259,0.887006744263382,1584.8931884765625,1258.9254150390625,1778.2794189453125,nan,nan,nan,0.08633547451907965,0.08680410404315216,0.8268711432160013,0.8231088415055775,0.7061710228435348,0.7065408652069697,0.00036984236343482293,0.0006859702944069287,-0.0037623017104237697
fixed,82.33044840382567,1.0000000000000002,100.0,0.1,100.0,0.18460603910578932,0.911302370933618,0.8153939752252678,-453.2278521168723,0.1822191322315776,0.0016857861587497153,0.9089369080686015,0.0009939273744805966,0.8177808677684222,0.001685786158749715,-434.4790274955129,10.730343790515445,-413.752499313833,-503.26618045219595,-347.73370584382667,nan,nan,nan,0.8181153527699683,0.8085046359434442,0.8279473324163642,0.9113023873805789,0.911302370933618,-441.550961544319,-453.2278521168723,0.045378443237463435,0.04538750747629447,9.064238831034251e-06,1.728938860784162e-05,-11.676890572553331
cv,100.0,1.4752955705691213,1995.262314968883,1.9952623149688828,100.0,0.06621495349524445,0.09960150367709533,0.9337850516450548,0.7836397850142629,0.06869678441213362,0.0013054353805655437,0.12038061514849924,0.007978893401819342,0.9313032155878664,0.0013054353805655437,0.6214195710143331,0.050023576505224376,0.7546535139997705,0.5709367633441631,0.8930411981792286,1995.2623291015625,1778.2794189453125,2238.72119140625,nan,nan,nan,0.098983375881116,0.09960150367709533,0.7892854195648596,0.7836397850142629,0.68538377632902,0.6857857384733712,0.00040196214435117664,0.000871055371822696,-0.0056456345505966924
fixed,100.0,1.4752955705691213,100.0,0.1,100.0,0.27148443139539263,0.9386187987946853,0.7285155896800766,-1002.1729931128554,0.27278061735356757,0.002526255134521056,0.9365327622887388,0.0007490756627506291,0.7272193826464324,0.0025262551345210564,-941.6552549197055,24.730779503873457,-881.3638889499359,-1072.7980990348888,-792.1900105656264,nan,nan,nan,0.7266934905608458,0.7152844421005558,0.742942263068828,0.9386187291488007,0.9386187987946853,-964.672570896362,-1002.1729931128554,0.031176664048924902,0.03118291864179031,6.254592865405114e-06,1.2188836928893567e-05,-37.500422216493305
cv,142.60051964535404,3.0000000000000004,3162.2776601683795,3.1622776601683795,100.0,0.09803560011847226,0.11337412438909551,0.9019644074920793,0.7352108535373806,0.09900266287068601,0.00200264678938086,0.1204454516035202,0.00861317802862045,0.9009973371293141,0.0020026467893808604,0.6033672128544705,0.05564785014010282,0.8000193118966479,0.5407199998226163,0.885544873433103,3162.277587890625,2818.3828125,3548.1337890625,nan,nan,nan,0.11231706347790801,0.11337412438909551,0.7459133447559028,0.7352108535373806,0.6648626330015117,0.6653459373342266,0.00048330433271488846,0.0013810075121774117,-0.010702491218522202
fixed,142.60051964535404,3.0000000000000004,100.0,0.1,100.0,0.5501823148769889,0.9691270912040346,0.44981772783393337,-4318.445401562569,0.5378409791294662,0.004086140282706009,0.9684452481833941,0.0005565773338458348,0.46215902087053384,0.004086140282706009,-4280.84171006516,200.03571899252955,-3788.455504222591,-4883.764435172557,-3139.4768657235613,nan,nan,nan,0.4578434470799665,0.4289090236078987,0.49203136890428467,0.9691270079107468,0.9691270912040346,-4003.037344483543,-4318.445401562569,0.015557552379549668,0.015560687501140352,3.1351215906837708e-06,6.255986826015718e-06,-315.4080570790255
cv,180.0,4.779957648643952,3981.0717055349774,3.981071705534977,100.0,0.12640091653129024,0.15062503312628697,0.8735990932812747,0.5833600347589095,0.13216837545465468,0.0028369032936895527,0.15826116750681826,0.011445094826167753,0.8678316245453453,0.0028369032936895527,0.2967966543526391,0.10854385208949,0.6747242213172134,0.1743208815212241,0.858685380308963,3981.07177734375,3162.277587890625,5011.87255859375,nan,nan,nan,0.1491749254378743,0.15062503312628697,0.6040075871498556,0.5833600347589095,0.6137683158292786,0.6141703767291485,0.00040206089986990736,0.0017606848928319965,-0.020647552390946018
fixed,180.0,4.779957648643952,100.0,0.1,100.0,0.8755374589878478,0.9804637662080293,0.12446260898055339,-11449.829770693797,0.8683405611770784,0.007909851270669234,0.9803484305757899,0.0003786932827087445,0.13165943882292158,0.007909851270669234,-11432.504786891664,543.3388354039116,-10147.889316907218,-13209.51474962755,-8024.436979133256,nan,nan,nan,0.13473749103513016,0.07378033828642688,0.19553524630952798,0.9804637016953959,0.9804637662080293,-10173.892901362664,-11449.829770693797,0.009816367747113862,0.009818349018218899,1.9812711050376185e-06,3.988157067036673e-06,-1275.936869331133
cv,260.3517377390633,10.0,7079.457843841388,7.079457843841388,100.0,0.18782092724105895,0.13530110716833785,0.8121790873395716,0.6406882802153644,0.19498124346814327,0.004137054142026658,0.15403225636271464,0.011948313714872106,0.8050187565318566,0.004137054142026658,0.26080861398927363,0.133333744227832,0.6115488000167817,0.36119391828391295,0.872311824431014,7079.4580078125,5623.4130859375,7943.2822265625,nan,nan,nan,0.13258925225998533,0.13530110716833785,0.6720792018727366,0.6406882802153644,0.6358719429005548,0.6364315334217511,0.0005595905211962499,0.0031193799163388215,-0.031390921657372284
fixed,260.3517377390633,10.0,100.0,0.1,100.0,1.8296992800761875,0.990593688284008,-0.8296991380357375,-56254.7297391919,1.8122139417736567,0.015303844573939676,0.9902607007130964,0.000270461209964888,-0.8122139417736568,0.015303844573939674,-69339.84879246619,14139.156636996926,-40488.58524944831,-58629.91028456736,-30066.237239707225,nan,nan,nan,-0.8165086006562184,-0.9212661479312292,-0.6960924261149215,0.9905936520445926,0.990593688284008,-44570.42254043458,-56254.7297391919,0.004714324857268492,0.004715277656535074,9.527992665815992e-07,1.9328543351684547e-06,-11684.307198757322
