feature,feature_dim,n,sigma,noise_signal_ratio,retained_signal_fraction,residual_signal_fraction,de_alpha_cv,de_lambda,de_kappa,de_effective_noise_variance,de_df2,de_variance_scale,de_gen_error,de_gen_error_normalized,de_r2_gen,de_slope_gen,de_acc_error,de_acc_error_normalized,de_r2_acc,de_slope_acc,de_acc_numerator,de_acc_denominator,de_mean_feature_norm_sq,de_mean_pixel_gradient_norm_sq,n_trials,mc_elapsed_seconds,case_path,mc_alpha_cv,mc_alpha_cv_std,mc_alpha_cv_se,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,mc_gen_error_normalized,mc_gen_error_normalized_std,mc_gen_error_normalized_se,mc_gen_error_normalized_median,mc_gen_error_normalized_q25,mc_gen_error_normalized_q75,mc_r2_gen,mc_r2_gen_std,mc_r2_gen_se,mc_r2_gen_median,mc_r2_gen_q25,mc_r2_gen_q75,mc_slope_gen,mc_slope_gen_std,mc_slope_gen_se,mc_slope_gen_median,mc_slope_gen_q25,mc_slope_gen_q75,mc_acc_error_normalized,mc_acc_error_normalized_std,mc_acc_error_normalized_se,mc_acc_error_normalized_median,mc_acc_error_normalized_q25,mc_acc_error_normalized_q75,mc_r2_acc,mc_r2_acc_std,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_slope_acc,mc_slope_acc_std,mc_slope_acc_se,mc_slope_acc_median,mc_slope_acc_q25,mc_slope_acc_q75
pca_full,10000,1000,0.0,0.0,1.0,0.0,0.0001,1.0000000000000001e-07,0.03180286218804824,0.0,467.2203109502513,0.0018055350368963244,1.8055350368963243,0.00026636976356563354,0.9997336302364344,1.0026688486488013,5.575597651961855e-10,8.225653880653333e-14,0.9999999999999177,1.0000002868040077,622.4269883222023,622.4268098076988,592.1796354318212,622.4268098076988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,0.01,1.4752954560412044e-08,1.0,0.0,0.0001,1.0000000000000001e-07,0.03180286218804824,0.0001,467.2203109502513,0.0018057227317391559,1.8056227317391558,0.0002663827011459483,0.999733617298854,1.002668835603977,1.5389867504439123e-07,2.2704601598375227e-11,0.9999999999772952,0.9999952350654151,622.4269883222023,622.4299541602176,592.1796354318212,622.4299541602176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,0.03,1.3277659104370838e-07,1.0,0.0,0.0001,1.0000000000000001e-07,0.03180286218804824,0.0009,467.2203109502513,0.0018072242904818077,1.8063242904818075,0.00026648620178846633,0.9997335137982115,1.002668731245393,1.3834258476270686e-05,2.040961866774166e-09,0.9999999979588537,0.9999548229940481,622.4269883222023,622.4551089803655,592.1796354318212,622.4551089803655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,0.1,1.4752954560412047e-06,1.0,0.0,0.0001,1.0000000000000001e-07,0.03180286218804824,0.010000000000000002,467.2203109502513,0.001824304521179473,1.814304521179473,0.00026766352159710894,0.9997323364784029,1.002667544168029,0.0017261356754300367,2.5465601184725483e-07,0.999999745086777,0.9994953654670484,622.4269883222023,622.7412450595526,592.1796354318212,622.7412450595526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,0.3,1.3277659104370838e-05,1.0,0.0,0.0001,1.0000000000000001e-07,0.03180286218804824,0.09,467.2203109502513,0.001974460395444661,1.8844603954446606,0.0002780135858489119,0.9997219864141511,1.0026571084440428,0.13883435085085058,2.048216869526902e-05,0.9999793311718653,0.9954742769975098,622.4269883222023,625.2567270743846,592.1796354318212,625.2567270743846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,0.5,3.6882386401030106e-05,1.0,0.0,0.0001,1.0000000000000001e-07,0.03180286218804824,0.25,467.2203109502513,0.002274772143975037,2.024772143975037,0.0002987137143525179,0.9997012862856475,1.0026362376477447,1.054304583950795,0.00015554107619860201,0.9998405054231827,0.9875283891899,622.4269883222023,630.2876911040485,592.1796354318212,630.2876911040485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,0.7,7.228947734601901e-05,1.0,0.0,0.0001,1.0000000000000001e-07,0.03180286218804824,0.48999999999999994,467.2203109502513,0.0027252397667706005,2.2352397667706008,0.00032976390710792687,0.9996702360928921,1.0026049330823807,3.9550322785291705,0.0005834841149010376,0.9993872720030111,0.9758445841496977,622.4269883222023,637.8341371485442,592.1796354318212,637.8341371485442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,1.0,0.00014752954560412043,1.0,0.0,0.0001,1.0000000000000001e-07,0.03180286218804824,1.0,467.2203109502513,0.003682483465211174,2.6824834652111735,0.00039574556671317083,0.9996042544332868,1.0025384173710925,15.67455622131629,0.0023124601568770315,0.9974479998402611,0.9519119541166723,622.4269883222023,653.8703349930972,592.1796354318212,653.8703349930972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,1.5,0.00033194147760927097,1.0,0.0,1.9952623149688788,0.001995262314968879,0.03543697572286248,2.25,435.65988816773586,0.005992864308838235,3.7428643088382354,0.0005521830707407851,0.9994478169292592,1.0027002675510563,43.58830404607256,0.006430562689571329,0.9923993021555515,0.9198092106936755,619.063209329912,673.0343664019678,587.1187871224878,673.0343664019678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pca_full,10000,1000,2.0,0.0005901181824164817,1.0,0.0,6.309573444801943,0.006309573444801943,0.04274120160726349,4.0,385.50980889107944,0.00895005129019984,4.95005129019984,0.0007302788175602725,0.9992697211824397,1.0031557817502283,58.35774830349546,0.008609492089694316,0.9895393340032832,0.9072126512411616,612.7860196693107,675.4601788576862,577.6976582907508,675.4601788576862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
