sigma,noise_signal_ratio,signal_power,grid_alpha_cv,grid_lambda,grid_kappa_final,mc_alpha_median,mc_alpha_q25,mc_alpha_q75,mc_lambda_median,mc_lambda_q25,mc_lambda_q75,mc_kappa_median,mc_kappa_q25,mc_kappa_q75,oracle_kappa,oracle_alpha,oracle_lambda,oracle_interior,oracle_gen_error,grid_df_11,grid_df_22,grid_df_12,grid_B_11,grid_B_12,grid_df_23,grid_B_23,grid_h,grid_limbo_count,grid_b2_acc_average,grid_b2_gen_average,grid_z_direct,grid_z_simplified,grid_stationarity_residual,grid_z_reconstructed,grid_slope_acc_leading,grid_r2_acc_leading,oracle_df_11,oracle_df_22,oracle_df_12,oracle_B_11,oracle_B_12,oracle_df_23,oracle_B_23,oracle_h,oracle_limbo_count,oracle_b2_acc_average,oracle_b2_gen_average,oracle_z_direct,oracle_z_simplified,oracle_stationarity_residual,oracle_z_reconstructed,oracle_slope_acc_leading,oracle_r2_acc_leading,mc_z_mean,mc_z_se,mc_z_median,mc_z_q25,mc_z_q75,mc_z_min,mc_z_max,mc_r2_mean,mc_r2_se,mc_r2_median,mc_r2_q25,mc_r2_q75,mc_r2_min,mc_r2_max
0.0,0.0,1736.3449650425127,0.0001,1.0000000000000001e-07,0.002412383612027056,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-08,9.999999747378752e-08,9.999999747378752e-08,0.0024123836120223197,0.0024123836120223197,0.0024123836120223197,0.0024121961131992114,0.0,0.0,0.0,0.09847901700310127,999.9585472229664,466.6511568891756,221070.72344338638,639.951936132939,9025.960731723319,64918.64000227256,6810.509064813863,533.3488431108244,533.3073903337907,0.040828385555244096,0.10490837553860421,-2.6444461335569284e-06,0.05340140454476586,-0.08245208986271965,-2.644446133272249e-06,1.0000026444531267,0.9999999999930069,1000.0000000002357,466.6755026822692,221094.9990341527,639.9536285222835,9026.305137478354,64926.401804506204,6810.761044123427,533.3244973177308,533.3244973179665,0.040825460444196,0.10489971498236836,0.0,0.05339819647792545,-0.08243045711000302,1.504352198367087e-14,1.0,1.0,-9.576586809972865e-06,2.0738336561970987e-07,-9.155933585580645e-06,-1.0299003144198515e-05,-8.387843063922817e-06,-1.7976702194055783e-05,-6.276903903756903e-06,0.9999999999038838,4.741017404322561e-12,0.9999999999155639,0.9999999998924356,0.999999999930866,0.9999999996768382,0.9999999999617853
0.005061246747758921,1.4752954716618231e-08,1736.3449650425127,0.0001,1.0000000000000001e-07,0.002412383612027056,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-08,9.999999747378752e-08,9.999999747378752e-08,0.0024123836120223197,0.0024123836120223197,0.0024123836120223197,0.0024121961131992114,0.0,0.0,0.0,0.09850143199017117,999.9585472229664,466.6511568891756,221070.72344338638,639.951936132939,9025.960731723319,64918.64000227256,6810.509064813863,533.3488431108244,533.3073903337907,0.040828385555244096,0.10490837553860421,1.3947125985241281e-05,0.05340140454476586,-0.08242647364407794,1.394712598553477e-05,0.9999860530685344,0.9999999998054777,1000.0000000002357,466.6755026822692,221094.9990341527,639.9536285222835,9026.305137478354,64926.401804506204,6810.761044123427,533.3244973177308,533.3244973179665,0.040825460444196,0.10489971498236836,1.659410761516486e-05,0.05339819647792545,-0.08240484089136131,1.6594107630212018e-05,0.9999834061677447,0.9999999997246356,8.436723224263476e-05,7.2039988702000915e-06,7.36978024786783e-05,3.996874282496954e-05,0.00012697101571035319,-5.3350726242684665e-05,0.00037917842323165196,0.9999999877452324,1.8873135999614258e-09,0.9999999945685363,0.9999999838772597,0.9999999981607322,0.9999998561514104,1.0
0.01518374024325961,1.3277659244926408e-07,1736.3449650425127,0.0001,1.0000000000000001e-07,0.002412383612027056,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-05,9.999999747378752e-08,9.999999747378752e-08,9.999999747378752e-08,0.0024123836120223197,0.0024123836120223197,0.0024123836120223197,0.0024121961131992114,0.0,0.0,0.0,0.09868075188672987,999.9585472229664,466.6511568891756,221070.72344338638,639.951936132939,9025.960731723319,64918.64000227256,6810.509064813863,533.3488431108244,533.3073903337907,0.040828385555244096,0.10490837553860421,0.00014667970293528958,0.05340140454476586,-0.08222154389494486,0.00014667970293558152,0.9998533418088447,0.9999999784850647,1000.0000000002357,466.6755026822692,221094.9990341527,639.9536285222835,9026.305137478354,64926.401804506204,6810.761044123427,533.3244973177308,533.3244973179665,0.040825460444196,0.10489971498236836,0.00014934696853614632,0.05339819647792545,-0.08219991114222823,0.00014934696855119223,0.9998506753326503,0.999999977695483,0.0008246070923766679,2.9516292676111513e-05,0.0008040351860619799,0.0006174838990371523,0.0009353238002600683,0.00033876659666254305,0.002510742779971986,0.9999992337633252,7.090705462947113e-08,0.9999993535995879,0.9999991249861446,0.9999996187098834,0.9999936961706928,0.999999885237193
0.050612467477589206,1.475295471661823e-06,1736.3449650425127,0.0001,1.0000000000000001e-07,0.002412383612027056,0.0015848932089284062,9.999999747378752e-05,0.003548133885487914,1.5848932089284063e-06,9.999999747378752e-08,3.5481338854879142e-06,0.0024151667634768176,0.0024123836120223197,0.0024188436025055697,0.0024121961131992114,0.0,0.0,0.0,0.10072051571009062,999.9585472229664,466.6511568891756,221070.72344338638,639.951936132939,9025.960731723319,64918.64000227256,6810.509064813863,533.3488431108244,533.3073903337907,0.040828385555244096,0.10490837553860421,0.0016565127657462639,0.05340140454476586,-0.07989046799854962,0.0016565127657465484,0.9983462267307859,0.999997255965457,1000.0000000002357,466.6755026822692,221094.9990341527,639.9536285222835,9026.305137478354,64926.401804506204,6810.761044123427,533.3244973177308,533.3244973179665,0.040825460444196,0.10489971498236836,0.0016594107615164858,0.05339819647792545,-0.07986883524583299,0.0016594107615315254,0.9983433383207024,0.9999972463559246,0.007283592304733031,0.00017709963403864297,0.007096182369612292,0.006047322529568189,0.00831332698944437,0.004412958126185362,0.01323240887606425,0.9999438442571379,2.869336494783025e-06,0.9999496428383893,0.9999308880089693,0.9999634278938506,0.9998249033553367,0.9999805258005765
0.15183740243259608,1.3277659244926405e-05,1736.3449650425127,0.0001,1.0000000000000001e-07,0.002412383612027056,0.05011872202157974,0.03981071710586548,0.06309573352336884,5.011872202157974e-05,3.981071710586548e-05,6.309573352336884e-05,0.0025051389398416434,0.002486186265522576,0.002528884865490529,0.0024121961131992114,0.0,0.0,0.0,0.11865250536595982,999.9585472229664,466.6511568891756,221070.72344338638,639.951936132939,9025.960731723319,64918.64000227256,6810.509064813863,533.3488431108244,533.3073903337907,0.040828385555244096,0.10490837553860421,0.01492977046075109,0.05340140454476586,-0.059397493085241504,0.014929770460751383,0.985289848721283,0.9997771019539893,1000.0000000002357,466.6755026822692,221094.9990341527,639.9536285222835,9026.305137478354,64926.401804506204,6810.761044123427,533.3244973177308,533.3244973179665,0.040825460444196,0.10489971498236836,0.014934696853614628,0.05339819647792545,-0.05937586033252487,0.014934696853629678,0.9852850662215871,0.9997769548298906,0.025313870815127613,0.0003220779672123091,0.02533615903068931,0.023365638683736034,0.027420327189917826,0.017520902902312452,0.03638477701352527,0.9993489393073325,1.6591529580466676e-05,0.9993580810085195,0.9992481163597143,0.9994540389064842,0.9986761482539566,0.9996930145923812
0.2530623373877745,3.688238679149558e-05,1736.3449650425127,0.0001,1.0000000000000001e-07,0.002412383612027056,0.17782793939113617,0.1412537544965744,0.19952623546123505,0.00017782793939113617,0.00014125375449657441,0.00019952623546123504,0.0027338311195374914,0.002669410399556301,0.00277168309552963,0.0024121961131992114,0.0,0.0,0.0,0.15451648467775903,999.9585472229664,466.6511568891756,221070.72344338638,639.951936132939,9025.960731723319,64918.64000227256,6810.509064813863,533.3488431108244,533.3073903337907,0.040828385555244096,0.10490837553860421,0.04147628585080573,0.05340140454476586,-0.018411543258555818,0.04147628585080603,0.9601754870328874,0.9982797177120223,1000.0000000002357,466.6755026822692,221094.9990341527,639.9536285222835,9026.305137478354,64926.401804506204,6810.761044123427,533.3244973177308,533.3244973179665,0.040825460444196,0.10489971498236836,0.04148526903785591,0.05339819647792545,-0.018389910505839185,0.04148526903787096,0.9601672051721089,0.9982789724528567,0.04051747813559364,0.000548596880963796,0.04043225469344047,0.03654852910965545,0.04384389300678038,0.02767739523580315,0.055205881697123704,0.998328539749391,4.549028796081208e-05,0.998365240346291,0.9980777171313261,0.9986642069574881,0.9969523000142283,0.9992339617929611
0.35428727234305096,7.228947811139933e-05,1736.3449650425127,0.1778279410038923,0.0001778279410038923,0.002733831122360799,0.3548133969306946,0.3162277638912201,0.3981071710586548,0.0003548133969306946,0.0003162277638912201,0.0003981071710586548,0.003035588693421385,0.0029710670989150775,0.0031072419851998407,0.0027458869219049967,0.1847223298178267,0.0001847223298178267,1.0,0.2052910232089807,934.9528434476488,428.77048117895157,185154.94908536394,637.1394907284621,8489.778691602134,53514.50419874601,6416.744585242374,571.2295188210485,506.1823622686971,0.04585229146474503,0.11990664365330578,0.059707814869879416,0.05883328136547605,0.0017190412315525594,0.05970781486987938,0.9436563418405941,0.9964349768434642,932.7276267845461,427.4845564368755,183999.95510272196,637.0372496233823,8471.556405336798,53150.56901101604,6403.31030387932,572.5154435631246,505.24307034767077,0.04604107865465167,0.1204749153777105,0.059034507363498266,0.05903450736350017,-3.774758283725532e-15,0.059034507363498266,0.9442562948109531,0.996514926940349,0.05440338065394407,0.0007470943243270075,0.05387575438846737,0.04943112159296653,0.05836668556950092,0.04009318230448966,0.08218973732716162,0.9969850166194427,8.560470062464524e-05,0.9970973905714462,0.9965933417337547,0.9975565561301634,0.9932448628372909,0.9983925447967777
0.5061246747758921,0.00014752954716618227,1736.3449650425127,0.6309573444801936,0.0006309573444801936,0.0034811027032930803,0.7079457640647888,0.6309573650360107,0.7295413762331009,0.0007079457640647888,0.0006309573650360108,0.0007295413762331009,0.0036010797906458375,0.0034811027355440925,0.0036344530003437885,0.003489594065418084,0.6363721225915545,0.0006363721225915545,1.0,0.2892524327219632,818.7478513965518,362.6303381307726,131026.73265982578,631.1685835836464,7548.179250141512,36681.94318027677,5717.988862216079,637.3696618692275,456.1175132657792,0.057607933105820824,0.1558802060761748,0.07159432093529149,0.07101700866623281,0.0017725056868040379,0.07159432093527364,0.9331889694293979,0.9948742532098145,817.6372063163423,362.00857327824235,130567.80373206864,631.1045271221957,7539.266943232528,36541.41713435238,5711.329952857005,637.9914267217576,455.6286330380999,0.05774215945841797,0.15629744002149867,0.0711524095166821,0.07115240951670175,-6.061817714453355e-14,0.0711524095166821,0.9335739630658284,0.9949373346199704,0.06838625044985346,0.0010778806293674683,0.06790583448038534,0.06145260214095066,0.07609510689249815,0.0432847371959888,0.09628742218335717,0.9952083025288119,0.00014980777540245062,0.9953887975751866,0.9942095422815239,0.9962235309094025,0.9907287136969314,0.9981264227414027
0.7591870121635522,0.00033194148112366016,1736.3449650425127,1.4125375446227555,0.0014125375446227555,0.0046411580947204436,1.258925437927246,1.1220184564590454,1.4125375747680664,0.001258925437927246,0.0011220184564590455,0.0014125375747680664,0.004421631980867486,0.004223006081561389,0.004641158137481343,0.004690651327947333,1.4474855216587061,0.0014474855216587061,1.0,0.44183265148898143,695.6497676204067,295.0262693526325,86319.7266913842,623.0218592782365,6567.376385053957,23216.28976003093,4979.886423038568,704.9737306473676,400.62349826777415,0.07608198770756146,0.2144996670231055,0.09215323854492259,0.08900710959602967,0.016008206614413045,0.0921532385446857,0.9156224279775075,0.9915077806256826,691.4105482463696,292.74766990954015,84990.9427208028,622.69765206701,6533.783918716166,22824.07679654661,4954.412069475273,707.2523300904598,398.6628783368294,0.07687623774429465,0.21706954956552277,0.08975442420367294,0.0897544242036246,2.5057733665789783e-13,0.08975442420367297,0.917637935474077,0.9919441433358671,0.09152216554986964,0.001354320925628995,0.09155244869995904,0.08143390268187645,0.10127072711195906,0.050262970941879814,0.12743910144359827,0.9914421095531876,0.0002473236829158717,0.991618068121347,0.9897442664968514,0.9933684109002673,0.9837593280508832,0.9974736337520957
1.0122493495517841,0.0005901181886647291,1736.3449650425127,2.2387211385683425,0.0022387211385683425,0.005775524744091417,1.9952622652053833,1.778279423713684,2.2387211322784424,0.0019952622652053835,0.0017782794237136842,0.0022387211322784425,0.0054481036862678205,0.005151844511442872,0.005775524735694502,0.005850554661821953,2.2950151201385482,0.002295015120138548,1.0,0.6062643886381456,612.3778811810189,250.9273198225222,62583.155189192876,615.9660095612904,5908.195581086156,16300.242629399383,4477.515346165218,749.0726801774778,361.4505613584966,0.09440552434956824,0.2746901041883572,0.11031335939407595,0.10579149104903161,0.03333812451402163,0.11031335939371965,0.9006466431654244,0.9878309627391935,607.7269160281899,248.50690953091822,61399.30780262208,615.5241038473653,5871.374142017351,15960.897497341315,4449.2939333719505,751.4930904690818,359.22000649727164,0.09562606407374859,0.2787621394168524,0.1068782550732337,0.10687825507309122,1.0733636202076013e-12,0.10687825507323369,0.9034417248840413,0.9885770385925008,0.1088755762890016,0.0015722630220098934,0.10715241510084972,0.0976360832426561,0.11858249064823934,0.07507765737423644,0.14724338580664664,0.9879013823918268,0.00035313838316723066,0.9885183529794701,0.9859381846911499,0.9904671908338124,0.9783193560493761,0.9943633453631968
