geometry,level,r2,z,center_beta1,center_beta2,semi_axis_beta1,semi_axis_beta2,radius,epsilon,beta_star_1,beta_star_2
prediction,0.04,0.9680574965062887,,1.1,0.65,0.2,0.6324555320336759,,0.1,1.1,0.65
prediction,0.14,0.8882012377720103,,1.1,0.65,0.37416573867739417,1.1832159566199232,,0.1,1.1,0.65
prediction,0.36,0.7125174685565981,,1.1,0.65,0.6,1.8973665961010275,,0.1,1.1,0.65
control,0.24999999999999994,0.8888888888888888,-0.3333333333333333,0.36666666666666675,0.2166666666666667,,,0.42589774463935465,0.1,1.1,0.65
control,0.0,1.0,0.0,0.55,0.325,,,0.6388466169590319,0.1,1.1,0.65
control,0.25,0.0,1.0,1.1,0.65,,,1.2776932339180638,0.1,1.1,0.65
