s_left,s_right,s_center,mode_count,mean_teacher_power,total_teacher_power
1.966289801202948e-06,2.547069905115751e-06,2.2379181346465874e-06,177,0.001801843804922925,0.3189263534713577
2.547069905115751e-06,3.29939416741996e-06,2.8989286967688287e-06,276,0.001719345205562483,0.4745392767352453
3.29939416741996e-06,4.2739313318964905e-06,3.7551809687966705e-06,233,0.002040707169303961,0.47548477044782295
4.2739313318964905e-06,5.536316094069617e-06,4.864343205174459e-06,538,0.001776121081412614,0.9555531417999863
5.536316094069617e-06,7.171569572189042e-06,6.301117047179027e-06,365,0.0017525934614498603,0.639696613429199
7.171569572189042e-06,9.289825446173484e-06,8.162268649139482e-06,406,0.0019138662338431716,0.7770296909403277
9.289825446173484e-06,1.2033747417726017e-05,1.0573145840950819e-05,501,0.0018525352096566265,0.9281201400379698
1.2033747417726017e-05,1.5588137554648658e-05,1.3696120255218675e-05,468,0.002038287336090715,0.9539184732904546
1.5588137554648658e-05,2.01923826375745e-05,1.7741522992984862e-05,494,0.0018440736173506262,0.9109723669712093
2.01923826375745e-05,2.6156576765684646e-05,2.298181034082814e-05,565,0.0020227994531431107,1.1428816910258575
2.6156576765684646e-05,3.3882406072577126e-05,2.9769913594826963e-05,511,0.0021595073246644465,1.103508242903532
3.3882406072577126e-05,4.389020212970373e-05,3.8563008844825774e-05,516,0.0020859724690465015,1.0763617940279948
4.389020212970373e-05,5.6853986073478695e-05,4.9953307604645566e-05,513,0.002649792947758061,1.3593437821998853
5.6853986073478695e-05,7.364686366426466e-05,6.470794202509834e-05,429,0.0028445255011252013,1.2203014399827115
7.364686366426466e-05,9.539982861664126e-05,8.382063094324686e-05,378,0.0029589938027037616,1.1184996574220218
9.539982861664126e-05,0.00012357793458217067,0.0001085786064560491,410,0.0034098435090946315,1.398035838728799
0.00012357793458217067,0.00016007896593779982,0.0001406493084968531,340,0.003737935350889901,1.2708980193025663
0.00016007896593779982,0.00020736125281877295,0.000182192686260442,322,0.0038743403866464943,1.2475376045001711
0.00020736125281877295,0.0002686092386883519,0.00023600666993352852,297,0.004656482756098932,1.3829753785613828
0.0002686092386883519,0.00034794795135518233,0.0003057156101946501,269,0.0047649551745145595,1.2817729419444166
0.00034794795135518233,0.00045072082197714205,0.0003960143768098204,246,0.005642993344993233,1.3881763628683355
0.00045072082197714205,0.0005838495630525422,0.000512984556268546,229,0.0064004734022944645,1.4657084091254324
0.0005838495630525422,0.0007563003430401363,0.0006645040442468889,205,0.010328101489441037,2.1172608053354125
0.0007563003430401363,0.0009796876542856178,0.0008607776187891965,182,0.00904939296136238,1.646989518967953
0.0009796876542856178,0.0012690565445224447,0.0011150242281040379,165,0.017024694508294635,2.8090745938686146
0.0012690565445224447,0.001643895894931553,0.0014443672815376524,145,0.01654628425169451,2.3992112164957042
0.001643895894931553,0.0021294509886395506,0.0018709879044725261,129,0.018860039354550193,2.432945076736975
0.0021294509886395506,0.0027584237706285895,0.0024236188284158643,114,0.026768491698729344,3.051608053655145
0.0027584237706285895,0.003573175310895499,0.003139479529189089,101,0.054798994590009,5.5346984535909085
0.003573175310895499,0.004628578805889448,0.004066782944015865,86,0.03720026333272004,3.1992226466139235
0.004628578805889448,0.005995715266755218,0.005267982593920656,73,0.061141304608532954,4.463315236422906
0.005995715266755218,0.007766660797534719,0.006823978803856895,60,0.11283440800977071,6.770064480586242
0.007766660797534719,0.010060687884634548,0.00883956730783943,51,0.11685031572293181,5.959366101869522
0.010060687884634548,0.013032298351971361,0.011450497200498372,42,0.10462534693070118,4.394264571089449
0.013032298351971361,0.01688162899817114,0.01483261358532129,34,0.32422004939888005,11.023481679561922
0.01688162899817114,0.021867930731403418,0.01921370067335436,28,0.5861480845265297,16.41214636674283
0.021867930731403418,0.028327029016291277,0.024888822960411613,24,0.5261564367866961,12.627754482880706
0.028327029016291277,0.036693941587142995,0.03224019770505598,16,0.3925417372636978,6.280667796219165
0.036693941587142995,0.04753217672161472,0.0417629371109443,15,0.19880119602746796,2.9820179404120193
0.04753217672161472,0.06157168530203471,0.05409839393941341,11,2.458898355029611,27.04788190532572
0.06157168530203471,0.07975802272082459,0.07007735636622678,7,0.3573894197402616,2.5017259381818313
0.07975802272082459,0.10331603166505099,0.09077600123913021,7,13.171780543520399,92.20246380464279
0.10331603166505099,0.1338323347906519,0.11758837416615087,6,2.5716773684174012,15.430064210504407
0.1338323347906519,0.17336219313556867,0.1523202779401386,3,7.6389021785541535,22.91670653566246
0.17336219313556867,0.2245679271439682,0.1973108926480921,3,58.09449631288862,174.28348893866587
0.2245679271439682,0.29089822290320194,0.25559031853189607,2,0.5596314987107864,1.1192629974215729
0.29089822290320194,0.3768203997981904,0.3310836520503053,2,0.27454266342144085,0.5490853268428817
0.3768203997981904,0.48812128271858574,0.428875339584853,1,0.4242209781853177,0.4242209781853177
0.48812128271858574,0.6322969424437772,0.5555516129080145,2,93.58059750139753,187.16119500279507
1.0609813684128164,1.3743618624881875,1.207548065112567,1,0.023479071085606762,0.023479071085606762
1.3743618624881875,1.7803050885687752,1.5642197471335604,1,0.023041079594477765,0.023041079594477765
23.682514493539728,30.677583694458,26.954077993334877,1,51.32320393790087,51.32320393790087
