feature,family,t,feature_dim,cutoff,taper_power,whitening_power,taper_strength,low_high_backprop_gain_ratio,retained_signal_fraction,n,sigma,noise_signal_ratio,de_alpha_cv,de_lambda,de_kappa,de_effective_noise_variance,de_df2,de_variance_scale,de_gen_error,de_gen_error_normalized,de_r2_gen,de_slope_gen,de_acc_error,de_acc_error_normalized,de_r2_acc,de_slope_acc,de_acc_numerator,de_acc_denominator,de_mean_feature_norm_sq,de_mean_pixel_gradient_norm_sq,dataset,n_trials,mc_elapsed_seconds,case_path,mc_alpha_cv,mc_alpha_cv_std,mc_alpha_cv_se,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,mc_gen_error_normalized,mc_gen_error_normalized_std,mc_gen_error_normalized_se,mc_gen_error_normalized_median,mc_gen_error_normalized_q25,mc_gen_error_normalized_q75,mc_r2_gen,mc_r2_gen_std,mc_r2_gen_se,mc_r2_gen_median,mc_r2_gen_q25,mc_r2_gen_q75,mc_slope_gen,mc_slope_gen_std,mc_slope_gen_se,mc_slope_gen_median,mc_slope_gen_q25,mc_slope_gen_q75,mc_acc_error_normalized,mc_acc_error_normalized_std,mc_acc_error_normalized_se,mc_acc_error_normalized_median,mc_acc_error_normalized_q25,mc_acc_error_normalized_q75,mc_r2_acc,mc_r2_acc_std,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_slope_acc,mc_slope_acc_std,mc_slope_acc_se,mc_slope_acc_median,mc_slope_acc_q25,mc_slope_acc_q75
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,15601761.081042025,1.0,1000,0.0,0.0,7.943282347242822e-06,7.943282347242822e-09,9.000000008825875,0.0,99.99999982348247,1.562710468538261,1562.7104685382612,0.8999999999999999,0.10000000000000009,1.0000000008825878,1736.3214317362779,0.9999864466412443,-21774956376.46428,6.776702339749992e-06,69.20001501268243,10211458.544781735,17.363449619775594,10211458.544781735,vanhateren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,15601761.081042025,1.0,1000,0.005061246917419403,1.47529557057e-08,7.943282347242822e-06,7.943282347242822e-09,9.000000008825875,2.5616220359087406e-05,99.99999982348247,1.5627104970007282,1562.7104713845079,0.9000000016392171,0.09999999836078288,0.9999999844904149,1736.3214317367065,0.9999864466414912,-21774957169.666576,6.776702216322436e-06,69.20001501268243,10211458.73076827,17.363449619775594,10211458.73076827,vanhateren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,15601761.081042025,1.0,1000,0.015183740752241055,1.32776601351e-07,0.001584893192461114,1.584893192461114e-06,9.000001760992403,0.00023054598323126577,99.99996478016124,1.562710724700461,1562.7104941544774,0.9000000147529531,0.0999999852470469,1.0000000285696815,1736.3214317360118,0.999986446641091,-21774955884.563213,6.776702416293074e-06,69.20000288768956,10211456.640225716,17.363443535046162,10211456.640225716,vanhateren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,15601761.081042025,1.0,1000,0.05061246917419403,1.4752955705700001e-06,0.014125375446227554,1.4125375446227553e-05,9.000015694858869,0.0025616220359087408,99.99968610356161,1.5627133147844503,1562.7107531624142,0.9000001639214318,0.09999983607856822,0.9999999302689987,1736.3214317422255,0.9999864466446697,-21774967383.663002,6.7767006269572245e-06,69.1999064654809,10211445.107993804,17.36339514717509,10211445.107993804,vanhateren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,15601761.081042025,1.0,1000,0.15183740752241054,1.3277660135099999e-05,0.12589254117941687,0.00012589254117941688,9.000139880383905,0.023054598323126573,99.99720245102034,1.5627360847167435,1562.7130301184209,0.9000014752714529,0.09999852472854709,0.9999992351180873,1736.3214317928737,0.9999864466738391,-21775061112.474167,6.776686042188226e-06,69.19904711482985,10211340.275177501,17.362963899416602,10211340.275177501,vanhateren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,15601761.081042025,1.0,1000,0.25306234587079857,3.688238926419999e-05,0.354813389233576,0.000354813389233576,9.000394235372305,0.06404055089763168,99.99211575879399,1.5627816243824082,1562.7175838315104,0.9000040978569306,0.09999590214306942,0.9999984433548269,1736.3214318800808,0.9999864467240637,-21775222498.68429,6.776660929740062e-06,69.19728707193437,10211118.394348916,17.362080674173,10211118.394348916,vanhateren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,15601761.081042025,1.0,1000,0.3542872842192847,7.22894829579e-05,0.7079457843841388,0.0007079457843841388,9.000786599552754,0.1255194797594762,99.9842698649668,1.562849933382855,1562.724413903095,0.9000080314483091,0.0999919685516909,0.9999983391574088,1736.3214319853862,0.9999864467847114,-21775417380.215206,6.776630605635623e-06,69.19457223180045,10210763.469128218,17.360718356348706,10210763.469128218,vanhateren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,15601761.081042025,1.0,1000,0.5061246917419403,0.00014752955705700003,1.4125375446227555,0.0014125375446227555,9.001569458796027,0.2561622035908741,99.96861821213615,1.562995088035313,1562.738925831722,0.9000163891934112,0.0999836108065888,0.9999930282719309,1736.321432328897,0.9999864469825469,-21776053109.598995,6.776531687217622e-06,69.18915612079114,10210113.27244299,17.35800068948998,10210113.27244299,vanhateren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,15601761.081042025,1.0,1000,0.7591870376126245,0.000331941503378,3.1622776601683795,0.0031622776601683794,9.003513504728394,0.5763649580790325,99.9297669222369,1.5633508478737035,1562.7744829156238,0.9000368673153384,0.09996313268466162,0.9999825480905405,1736.321433110942,0.9999864474329442,-21777500531.274593,6.776306487008074e-06,69.17571015528543,10208468.328271912,17.351254765329784,10208468.328271912,vanhateren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,15601761.081042025,1.0,1000,1.0122493834838806,0.0005901182282280001,5.62341325190349,0.00562341325190349,9.006247803494613,1.0246488143634964,99.87516093777609,1.5638488845263447,1562.8242357119816,0.900065521066384,0.09993447893361596,0.9999691612739297,1736.3214341750881,0.9999864480458098,-21779470301.59075,6.7760000521280856e-06,69.15680725955025,10206140.308076106,17.341773282711806,10206140.308076106,vanhateren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
