feature,family,t,feature_dim,cutoff,taper_power,whitening_power,taper_strength,low_high_backprop_gain_ratio,retained_signal_fraction,n,sigma,noise_signal_ratio,de_alpha_cv,de_lambda,de_kappa,de_effective_noise_variance,de_df2,de_variance_scale,de_gen_error,de_gen_error_normalized,de_r2_gen,de_slope_gen,de_acc_error,de_acc_error_normalized,de_r2_acc,de_slope_acc,de_acc_numerator,de_acc_denominator,de_mean_feature_norm_sq,de_mean_pixel_gradient_norm_sq,n_trials,mc_elapsed_seconds,case_path,mc_alpha_cv,mc_alpha_cv_std,mc_alpha_cv_se,mc_alpha_cv_median,mc_alpha_cv_q25,mc_alpha_cv_q75,mc_gen_error_normalized,mc_gen_error_normalized_std,mc_gen_error_normalized_se,mc_gen_error_normalized_median,mc_gen_error_normalized_q25,mc_gen_error_normalized_q75,mc_r2_gen,mc_r2_gen_std,mc_r2_gen_se,mc_r2_gen_median,mc_r2_gen_q25,mc_r2_gen_q75,mc_slope_gen,mc_slope_gen_std,mc_slope_gen_se,mc_slope_gen_median,mc_slope_gen_q25,mc_slope_gen_q75,mc_acc_error_normalized,mc_acc_error_normalized_std,mc_acc_error_normalized_se,mc_acc_error_normalized_median,mc_acc_error_normalized_q25,mc_acc_error_normalized_q75,mc_r2_acc,mc_r2_acc_std,mc_r2_acc_se,mc_r2_acc_median,mc_r2_acc_q25,mc_r2_acc_q75,mc_slope_acc,mc_slope_acc_std,mc_slope_acc_se,mc_slope_acc_median,mc_slope_acc_q25,mc_slope_acc_q75
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,40919881.46171217,1.0,1000,3.0,0.0013277659104370839,12.589254117941687,0.012589254117941687,9.013985889776336,9.0,99.72086792743703,6.1104713026364506,6101.471302636453,0.9001472887945368,0.09985271120546324,0.9999236468976627,6778.072841610878,0.9999660063944822,-3461333019.9666414,1.699694720705485e-05,69.10335034510996,4065633.0518240076,67.5938284220214,4065633.0518240076,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,40919881.46171217,1.0,1000,5.0,0.003688238640103011,35.481338923357605,0.03548133892335761,9.039406523484004,25.0,99.21650379525478,6.12823814501446,6103.238145014459,0.9004079502477181,0.09959204975228186,0.9998450979685589,6778.072926408456,0.9999660189046303,-3463882135.2235694,1.6990692026647583e-05,68.9283747673219,4056831.5086411517,67.25195511785249,4056831.5086411517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,40919881.46171217,1.0,1000,8.233044840382567,0.009999999223695108,100.0,0.1,9.110975772792461,67.78302734375,97.81689220034279,6.17569567294409,6107.912645600342,0.9010975771950795,0.09890242280492045,1.0000000008510275,6778.073067026313,0.9999660396499189,-3468115484.722042,1.6980319206148262e-05,68.44047407909915,4030576.4130934654,66.303255934119,4030576.4130934654,50.0,0.6755091400118545,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_linear_feature_cases/ffhq_feature_whiten_full_nsr0p01_trials50_seed20260814.npz,658.7402718604263,961.0019506458674,135.90619920703853,179.00777435302734,1.778279423713684,1000.0,0.9011966785688982,0.004499365581729942,0.0006363063827757194,0.9010359794180561,0.8980469933654429,0.9037598553094341,0.09880332143110176,0.004499365581729942,0.0006363063827757194,0.09896402058194387,0.09624014469056583,0.10195300663455703,1.060438779908286,0.10237368014311526,0.014477824688843881,1.0116155870981767,0.9905656524943097,1.0952875807140843,0.99996757158669,5.0340788010527865e-05,7.119262514503741e-06,0.999967825841215,0.9999266424832773,1.000001641318282,-314911996686.66943,1791830208673.387,253403058257.5717,-2678657875.5086756,-14372314238.080805,-678568182.0659602,1.621464856005594e-05,2.5170749022307734e-05,3.559681464243692e-06,1.608720942927963e-05,-8.206586018722141e-07,3.6679431172844965e-05
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,40919881.46171217,1.0,1000,10.0,0.014752954560412044,141.25375446227554,0.14125375446227553,9.156680061106123,100.0,96.93853576489659,6.211385987379155,6111.385987379155,0.9016099977294356,0.09839000227056438,0.9993162421183596,6778.0733551453795,0.9999660821559938,-3476813685.4464808,1.695906580801278e-05,68.13249714758061,4017467.5845287135,65.70787930508553,4017467.5845287135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,40919881.46171217,1.0,1000,14.260051964535403,0.029999997671085327,316.2277660168379,0.3162277660168379,9.350048741155176,203.34908203125002,93.3501908082636,6.325614352790476,6122.265270759225,0.9032150134629958,0.09678498653700418,1.001732323826259,6778.073208757716,0.9999660605594884,-3472390215.6513066,1.6969864243954172e-05,66.85958613321152,3939901.0606128736,63.275590273123136,3939901.0606128736,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,40919881.46171217,1.0,1000,20.0,0.059011818241648174,562.341325190349,0.5623413251903491,9.620791952536274,400.0,88.65152211452863,6.5419240376856,6141.9240376856,0.9061152624147811,0.09388473758521887,0.9971384772219635,6778.074996565563,0.9999663243139677,-3526997480.910477,1.6837984775011708e-05,65.15521426130097,3869537.5445400155,60.09069014041117,3869537.5445400155,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,40919881.46171217,1.0,1000,26.035173773906333,0.09999999223695111,1000.0,1.0,10.099019513592783,677.8302734375002,81.17658368865823,6.845421632493459,6167.5913590559585,0.9099019506734252,0.09009804932657484,1.000000007612296,6778.07529436243,0.9999663682478042,-3536218508.6169143,1.6816017487160276e-05,62.3478474332549,3707646.4436873985,55.023950189941466,3707646.4436873985,50.0,0.6751593520166352,/n/home12/binxuwang/Github/AccentuationPredRMT/tables/ffhq_linear_feature_cases/ffhq_feature_whiten_full_nsr0p1_trials50_seed20260814.npz,961.0886779611511,1145.6358432398497,162.01737470505324,473.93540954589844,16.332397937774658,1503.4012451171875,0.9112925662343634,0.003707648881547571,0.0005243407332802012,0.911489362580177,0.9090989769384935,0.9130606999144784,0.08870743376563688,0.003707648881547571,0.0005243407332802012,0.08851063741982301,0.0869393000855217,0.09090102306150652,0.9930347976563232,0.11072429606274638,0.01565878011761498,0.9484182065681597,0.9093914374792439,1.038958676221658,0.9999782633377001,5.358060813608967e-05,7.577442270625621e-06,0.999977071931043,0.9999411788910586,1.0000080491163517,-181927599466.63333,771790352171.8989,109147638335.02068,-2075074613.3455343,-13219280178.142075,-1023885670.9359821,1.0868741904560459e-05,2.679056050441742e-05,3.78875740089241e-06,1.1464101922050644e-05,-4.024550062282506e-06,2.9410987121372843e-05
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,40919881.46171217,1.0,1000,30.0,0.1327765910437084,1258.9254117941662,1.2589254117941662,10.380206754408992,900.0,77.21464788368097,7.086585593751591,6186.585593751591,0.9127041614871698,0.08729583851283018,0.9934873832899449,6778.077473413161,0.9999666897221683,-3604805036.005073,1.665527761500161e-05,60.807328919933965,3650934.5761468466,52.33842995143362,3650934.5761468466,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,40919881.46171217,1.0,1000,40.0,0.2360472729665927,2238.7211385683377,2.2387211385683377,11.434507544743521,1600.0,64.67595044926293,7.838889483955919,6238.889483955918,0.920420530642342,0.07957946935765803,0.9896399660244427,6778.08023211642,0.9999670967124066,-3694536567.0597405,1.6451779127185934e-05,55.65157870564269,3382708.841117408,43.83932058112199,3382708.841117408,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
coupled_t000,coupled,0.0,10000,100,2.0,1.0,0.0,40919881.46171217,1.0,1000,45.09424376029051,0.2999999767108532,3162.2776601683795,3.1622776601683795,12.41695189005732,2033.4908203124996,55.55105035916431,8.300119822148236,6266.629001835737,0.924512929110429,0.07548707088957096,1.0129725298326147,6778.075983464778,0.9999664699107604,-3557695130.7324543,1.6765185155472334e-05,51.57654145014941,3076407.505903046,37.65418657780559,3076407.505903046,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
