dataframe_row,pc,rgb_gradient_power
8.600000000000000000e+01,1.000000000000000000e+00,1.475395637341825328e+01
8.600000000000000000e+01,1.080000000000000000e+02,3.292888509844451583e+00
8.600000000000000000e+01,2.150000000000000000e+02,1.019121684273635431e+01
8.600000000000000000e+01,3.220000000000000000e+02,1.800428204325714931e+00
8.600000000000000000e+01,4.290000000000000000e+02,1.198775064126236467e+00
8.600000000000000000e+01,5.360000000000000000e+02,6.557715771799059734e-01
8.600000000000000000e+01,6.430000000000000000e+02,2.910397621172687188e+00
8.600000000000000000e+01,7.500000000000000000e+02,7.275910398045062344e+00
