pc,training_variance
1.240000000000000000e+02,4.144736738746373561e+01
1.250000000000000000e+02,4.117827290712531152e+01
1.260000000000000000e+02,4.098981775202586419e+01
1.270000000000000000e+02,4.052968782403748094e+01
1.280000000000000000e+02,4.032608916233184004e+01
1.290000000000000000e+02,4.020581223880628841e+01
1.300000000000000000e+02,4.001228980703674409e+01
1.310000000000000000e+02,3.988121668898876493e+01
1.320000000000000000e+02,3.963431268468323054e+01
1.330000000000000000e+02,3.940479306362084344e+01
1.340000000000000000e+02,3.931541589298747397e+01
1.350000000000000000e+02,3.886554682917751080e+01
1.360000000000000000e+02,3.878486206580858919e+01
1.370000000000000000e+02,3.848403686957068714e+01
1.380000000000000000e+02,3.826691066362575810e+01
1.390000000000000000e+02,3.818336362154790464e+01
1.400000000000000000e+02,3.792772538948137395e+01
1.410000000000000000e+02,3.784659715823956105e+01
1.420000000000000000e+02,3.774602111265486570e+01
1.430000000000000000e+02,3.749063989736182378e+01
1.440000000000000000e+02,3.734791702617184939e+01
1.450000000000000000e+02,3.715874206876265617e+01
1.460000000000000000e+02,3.708413159288929251e+01
1.470000000000000000e+02,3.679822225986571738e+01
1.480000000000000000e+02,3.665216756926246688e+01
1.490000000000000000e+02,3.638351035483029960e+01
1.500000000000000000e+02,3.626196063475805431e+01
1.510000000000000000e+02,3.593468539233841597e+01
1.520000000000000000e+02,3.574066114063626287e+01
1.530000000000000000e+02,3.550356754656252889e+01
1.540000000000000000e+02,3.529690286462735571e+01
1.550000000000000000e+02,3.522470034123809057e+01
1.560000000000000000e+02,3.506594354758395582e+01
1.570000000000000000e+02,3.497082465732272283e+01
1.580000000000000000e+02,3.480195798312652755e+01
1.590000000000000000e+02,3.468485059297984208e+01
1.600000000000000000e+02,3.461238292813834505e+01
1.610000000000000000e+02,3.436856044991654358e+01
1.620000000000000000e+02,3.428306665380046070e+01
1.630000000000000000e+02,3.405666267169299744e+01
1.640000000000000000e+02,3.397661515545333089e+01
1.650000000000000000e+02,3.374498976949787732e+01
1.660000000000000000e+02,3.353083667850311400e+01
1.670000000000000000e+02,3.335838773659442325e+01
1.680000000000000000e+02,3.320876643129451367e+01
1.690000000000000000e+02,3.316044783619580727e+01
1.700000000000000000e+02,3.298064773753482370e+01
1.710000000000000000e+02,3.294025509777776506e+01
1.720000000000000000e+02,3.270064847680310294e+01
1.730000000000000000e+02,3.248501967336385121e+01
1.740000000000000000e+02,3.243898716123144510e+01
1.750000000000000000e+02,3.224023252280819207e+01
1.760000000000000000e+02,3.213045540862027849e+01
1.770000000000000000e+02,3.207076292842160825e+01
1.780000000000000000e+02,3.177864145618703873e+01
1.790000000000000000e+02,3.162283307589747849e+01
1.800000000000000000e+02,3.153013109894150290e+01
1.810000000000000000e+02,3.139136242308189040e+01
1.820000000000000000e+02,3.112988740798869713e+01
1.830000000000000000e+02,3.101181023685013471e+01
1.840000000000000000e+02,3.093243442126518161e+01
1.850000000000000000e+02,3.083871230698201416e+01
1.860000000000000000e+02,3.076124051277366434e+01
1.870000000000000000e+02,3.055124602664686861e+01
1.880000000000000000e+02,3.039959940320565934e+01
1.890000000000000000e+02,3.029849452336574700e+01
1.900000000000000000e+02,3.018567532095179118e+01
1.910000000000000000e+02,3.012094692220003722e+01
1.920000000000000000e+02,3.001703434382974578e+01
1.930000000000000000e+02,2.994238965025856913e+01
1.940000000000000000e+02,2.982174340608641572e+01
1.950000000000000000e+02,2.975495490489257122e+01
1.960000000000000000e+02,2.968891232889907528e+01
1.970000000000000000e+02,2.963290574752390683e+01
1.980000000000000000e+02,2.948906064372288327e+01
1.990000000000000000e+02,2.925047398403340893e+01
2.000000000000000000e+02,2.916773471956578945e+01
2.010000000000000000e+02,2.911661896989478748e+01
2.020000000000000000e+02,2.902571261817223558e+01
2.030000000000000000e+02,2.884043235988182374e+01
2.040000000000000000e+02,2.869542019029295687e+01
2.050000000000000000e+02,2.852744467963623975e+01
2.060000000000000000e+02,2.831284538275669860e+01
2.070000000000000000e+02,2.829591775174668200e+01
2.080000000000000000e+02,2.813913434054666496e+01
2.090000000000000000e+02,2.811395577947209290e+01
2.100000000000000000e+02,2.802783994828462610e+01
2.110000000000000000e+02,2.800056989134453289e+01
2.120000000000000000e+02,2.786719480751831668e+01
2.130000000000000000e+02,2.777567553767282149e+01
2.140000000000000000e+02,2.760108320956952710e+01
2.150000000000000000e+02,2.746521493714223183e+01
2.160000000000000000e+02,2.728886137041222781e+01
2.170000000000000000e+02,2.717015941880957897e+01
2.180000000000000000e+02,2.709387010277355401e+01
2.190000000000000000e+02,2.699960515764347235e+01
2.200000000000000000e+02,2.690729781102356810e+01
2.210000000000000000e+02,2.686572649879813923e+01
2.220000000000000000e+02,2.678573469886012504e+01
2.230000000000000000e+02,2.656514712685098445e+01
2.240000000000000000e+02,2.645723833843049988e+01
2.250000000000000000e+02,2.637403401116881696e+01
2.260000000000000000e+02,2.627859323885947518e+01
2.270000000000000000e+02,2.619031564465509376e+01
2.280000000000000000e+02,2.614489855669400598e+01
2.290000000000000000e+02,2.610465842597887942e+01
2.300000000000000000e+02,2.602038454108268795e+01
2.310000000000000000e+02,2.590924376801904572e+01
2.320000000000000000e+02,2.582034976052818820e+01
2.330000000000000000e+02,2.572635806063205521e+01
2.340000000000000000e+02,2.562507316581232431e+01
2.350000000000000000e+02,2.549065801045812307e+01
2.360000000000000000e+02,2.543898055127397484e+01
2.370000000000000000e+02,2.530503699472527046e+01
2.380000000000000000e+02,2.523690386513295536e+01
2.390000000000000000e+02,2.514579114749135158e+01
2.400000000000000000e+02,2.507384404144022838e+01
2.410000000000000000e+02,2.501779009542945786e+01
2.420000000000000000e+02,2.488311863270793722e+01
2.430000000000000000e+02,2.487671213866605768e+01
2.440000000000000000e+02,2.471830174102853306e+01
2.450000000000000000e+02,2.460844715777568936e+01
2.460000000000000000e+02,2.453561242767505846e+01
2.470000000000000000e+02,2.450659666428352068e+01
2.480000000000000000e+02,2.448651513662612444e+01
2.490000000000000000e+02,2.438280060144795769e+01
2.500000000000000000e+02,2.433341097484868953e+01
2.510000000000000000e+02,2.420261863060341057e+01
2.520000000000000000e+02,2.414836447111271056e+01
2.530000000000000000e+02,2.406485880628719798e+01
2.540000000000000000e+02,2.402693109250571624e+01
2.550000000000000000e+02,2.400983028718314216e+01
2.560000000000000000e+02,2.383869013796761038e+01
2.570000000000000000e+02,2.382078370156781233e+01
2.580000000000000000e+02,2.372129478874649067e+01
2.590000000000000000e+02,2.361549937921471098e+01
2.600000000000000000e+02,2.355550847737511688e+01
