sigma,ratio,n_stationary,kappa_floor,interior_minima,status,kappa,lam,z_acc,E_acc,R2_acc,slope_acc,E_gen,boundary_E_gen,better_than_boundaries,stationarity_residual,extrapolated
0.0,0.0,1000,0.0024121961132002774,0,boundary_formula_extrapolation,0.0024121961132002774,0.0,0.05339819647794368,0.00256961487149376,0.9971486326129029,0.9493086311933306,,,,,True
0.0416694728193495,9.99999999999997e-07,1000,0.0024121961132002774,0,boundary_formula_extrapolation,0.0024121961132002774,0.0,0.05339819647794368,0.00256961487149376,0.9971486326129029,0.9493086311933306,,,,,True
0.0582976890378464,1.957341781487658e-06,1000,0.0024121961132002774,0,boundary_formula_extrapolation,0.0024121961132002774,0.0,0.05339819647794368,0.00256961487149376,0.9971486326129029,0.9493086311933306,,,,,True
0.0815614001618772,3.831186849557277e-06,1000,0.0024121961132002774,0,boundary_formula_extrapolation,0.0024121961132002774,0.0,0.05339819647794368,0.00256961487149376,0.9971486326129029,0.9493086311933306,,,,,True
0.1141085025179519,7.4989420933245504e-06,1000,0.0024121961132002774,0,boundary_formula_extrapolation,0.0024121961132002774,0.0,0.05339819647794368,0.00256961487149376,0.9971486326129029,0.9493086311933306,,,,,True
0.1596435362934769,1.4677992676220702e-05,1000,0.0024121961132002774,0,boundary_formula_extrapolation,0.0024121961132002774,0.0,0.05339819647794368,0.00256961487149376,0.9971486326129029,0.9493086311933306,,,,,True
0.2233493396013774,2.872984833353668e-05,1000,0.0024121961132002774,0,boundary_formula_extrapolation,0.0024121961132002774,0.0,0.05339819647794368,0.00256961487149376,0.9971486326129029,0.9493086311933306,,,,,True
0.312476963731664,5.623413251903492e-05,1000,0.0024121961132002774,1,interior_minimum,0.0025384091202297248,6.83198691734577e-05,0.05554684351012196,0.0027692600914595647,0.9969145481760621,0.9473762402382768,0.00010567845394441222,0.00010592288696516826,True,1.753736045273513e-13,False
0.4371709942694524,0.00011006941712522103,1000,0.0024121961132002774,1,interior_minimum,0.0031539915332983158,0.0004265975312071871,0.06575185001551696,0.0038063065575503125,0.995676694219537,0.9383047282399185,0.00014414179411819742,0.00015303043336293215,True,-3.0214719615173635e-13,False
0.6116242168643903,0.00021544346900318845,1000,0.0024121961132002774,1,interior_minimum,0.003995950248847518,0.0009681372096470661,0.07912094557010195,0.005375794928962237,0.993739875972093,0.9266801873368308,0.0002022588093116988,0.00024523600215064383,True,-3.1358249330537546e-13,False
0.8556930527381014,0.00042169650342858224,1000,0.0024121961132002774,1,interior_minimum,0.005137301435605021,0.0017677141167171417,0.0964337857751561,0.00773559304034572,0.9907005249610713,0.9120477797872861,0.00028986611916693175,0.0004257138144246664,True,1.1102230246251565e-16,False
1.197157634238341,0.000825404185268019,1000,0.0024121961132002774,1,interior_minimum,0.006677304347825922,0.0029264524281135923,0.11868356505960652,0.011255548174758405,0.9859142113847421,0.8939078316992324,0.0004218149779849005,0.0007789705770200977,True,-6.039613253960852e-14,False
1.67488376425301,0.0016155980984398745,1000,0.0024121961132002774,1,interior_minimum,0.00875130929031423,0.004581583355347579,0.1471093777371908,0.016446407870175324,0.9783588309817766,0.871756450960778,0.0006204026571711303,0.001470414798041202,True,5.502265310042276e-13,False
2.343246656521626,0.003162277660168379,1000,0.0024121961132002774,1,interior_minimum,0.011545117885188812,0.006920711428348469,0.1832175184682364,0.02397755032313545,0.9664313409263414,0.8451531391240512,0.0009188822142924414,0.0028238074614139975,True,1.9522161665008753e-12,False
3.278319970907745,0.006189658188912608,1000,0.0024121961132002774,1,interior_minimum,0.015316814406969258,0.0102034777789331,0.2287709863407984,0.03466250879010248,0.9476638358086582,0.8138212987742625,0.0013664413057090396,0.005472859468192435,True,4.707345624410664e-13,False
4.586534585141047,0.012115276586285901,1000,0.0024121961132002774,1,interior_minimum,0.020431361861914105,0.014795881764911433,0.28570700242177716,0.049380757861088344,0.9183715087671627,0.7777821837451183,0.0020350848868359605,0.010657959642393619,True,-3.33244543071487e-12,False
6.41679265214314,0.02371373705661656,1000,0.0024121961132002774,1,interior_minimum,0.02741721524472405,0.021226538949394202,0.35592949980136857,0.0689054779888256,0.8733141911711476,0.737501470501594,0.0030287946189043896,0.0208069728545565,True,-7.105427357601002e-15,False
8.977415775734741,0.04641588833612782,1000,0.0024121961132002774,1,interior_minimum,0.0370606620180461,0.03028067667125605,0.4409338215090936,0.09363942846219632,0.8055773650493868,0.6939943979888663,0.0044950595971093,0.04067206045559325,True,-1.7195134205394424e-12,False
12.55985636118279,0.0908517575651688,1000,0.0024121961132002774,1,interior_minimum,0.05056481315458288,0.04315889433187934,0.5412616559276019,0.12332802473600972,0.7070358198225103,0.6488190996993006,0.0066382644823477005,0.07955482641001498,True,4.320099833421409e-12,False
17.571870987632057,0.1778279410038923,1000,0.0024121961132002774,1,interior_minimum,0.0698213244485273,0.06174880255139626,0.655846846368672,0.15687890113503053,0.5698649141082677,0.603920587337551,0.009733445972040379,0.15566168879241024,True,5.684341886080802e-14,False
24.58393162522664,0.3480700588428414,1000,0.0024121961132002774,1,interior_minimum,0.09788531855846247,0.08909991453558057,0.7813639674997429,0.19239838979646612,0.38947035029306076,0.561367591488652,0.01413778077052755,0.3046288303914046,True,4.547473508864641e-13,False
34.39415726300309,0.6812920690579622,1000,0.0024121961132002774,1,interior_minimum,0.13983910158871998,0.13028702846763462,0.9115993037323914,0.22741245274072527,0.16898670943461924,0.5231221825868545,0.0202963568573432,0.5962084407119046,True,1.1368683772161603e-12,False
48.11915652329192,1.333521432163324,1000,0.0024121961132002774,1,interior_minimum,0.20449697369846886,0.19411332804849643,1.0362210442211817,0.2589732892487325,-0.07375405248683609,0.4911058172382666,0.02873818585654379,1.166929394622108,True,-4.547473508864641e-13,False
67.32112104993318,2.610157215682538,1000,0.0024121961132002774,1,interior_minimum,0.30831461510888764,0.29701393087843486,1.136665364167996,0.2830037779237146,-0.2920081500991629,0.46801900605029634,0.04005314252212927,2.2840253632810454,True,-7.275957614183426e-12,False
94.18563555298384,5.108969774506934,1000,0.0024121961132002774,1,interior_minimum,0.48613195329683784,0.4737835512581707,1.1760803898839978,0.2920950159328597,-0.38316508346969624,0.4595418462703521,0.054817190944917764,4.470563976668616,True,1.8189894035458565e-12,False
131.77044300762262,10.000000000000002,1000,0.0024121961132002774,1,interior_minimum,0.8238937826842923,0.8102678788734922,1.0925483918189236,0.27260281979237,-0.19366198846611615,0.4778862003429041,0.07340711564958512,8.750367361488186,True,1.4551915228366852e-11,False
