sigma,ratio,trials,boundary_fraction,E_gen_mc,E_gen_mc_se,E_gen_mc_median,E_gen_mc_q10,E_gen_mc_q90,E_acc_mc,E_acc_mc_se,E_acc_mc_median,E_acc_mc_q10,E_acc_mc_q90,R2_gen_mc,R2_gen_mc_se,R2_gen_mc_median,R2_gen_mc_q10,R2_gen_mc_q90,R2_acc_mc,R2_acc_mc_se,R2_acc_mc_median,R2_acc_mc_q10,R2_acc_mc_q90,slope_gen_mc,slope_gen_mc_se,slope_gen_mc_median,slope_gen_mc_q10,slope_gen_mc_q90,slope_acc_mc,slope_acc_mc_se,slope_acc_mc_median,slope_acc_mc_q10,slope_acc_mc_q90,lam_mc,lam_mc_se,lam_mc_median,lam_mc_q10,lam_mc_q90
0.0,0.0,100,1.0,6.0126716958679064e-05,3.989388389384298e-07,5.978244727109477e-05,5.586698731015578e-05,6.570559677553171e-05,9.332335894071046e-13,6.161056103539145e-14,7.772285538309589e-13,5.421584170772264e-13,1.2861065726633902e-12,0.9999398732830413,3.9893883893793104e-07,0.999940217552729,0.9999342944032245,0.9999441330126898,0.9999999999990666,6.161036424051363e-14,0.9999999999992228,0.9999999999987139,0.9999999999994579,1.0006012237523885,7.780401861070759e-06,1.0006042076599238,1.0005093498408426,1.0006887051210407,1.000000937649391,2.336517505093264e-08,1.0000008815962445,1.0000007363104675,1.0000011340662376,9.999999999999995e-09,3.3461103312930695e-25,9.999999999999999e-09,9.999999999999999e-09,9.999999999999999e-09
0.0416694728193495,1e-06,100,0.53,6.306504583681509e-05,4.054368247159161e-07,6.313507532930308e-05,5.757269109393657e-05,6.864896764180617e-05,3.035070344639861e-05,1.1723421462199283e-06,2.855803242915229e-05,1.595494128907241e-05,4.743622796223139e-05,0.9999369349541631,4.054368247153117e-07,0.9999368649246707,0.9999313510323582,0.999942427308906,0.9999692932554096,1.192456561883445e-06,0.9999711342713842,0.9999519035186396,0.9999839168304866,1.0005972055844368,1.1655197188740808e-05,1.0005943281164993,1.000450993590185,1.0007417717013796,0.994595998019561,0.00010765949135524036,0.9946560588169033,0.9931126582462426,0.996005644357084,1.269853546428917e-06,1.8800153043381415e-07,9.999999999999999e-09,9.999999999999999e-09,3.981071705534973e-06
0.0582976890378464,1.9573417814876616e-06,100,0.21,6.55957362261066e-05,4.1905612646184013e-07,6.557839929546166e-05,5.974218106448204e-05,7.106642099088331e-05,8.381079698221113e-05,3.266883248301317e-06,7.951514434516912e-05,4.49956778741e-05,0.00012230235684222848,0.9999344042637739,4.1905612646205406e-07,0.9999344216007046,0.9999289335790091,0.9999402578189355,0.9999145454751951,3.363653164266604e-06,0.9999190474822277,0.9998749468350188,0.9999543943420509,1.0005972577521463,1.3687109517698017e-05,1.0005978010918501,1.0004424447256335,1.0007720174941293,0.9910145360801397,0.00017616094360422364,0.9910830438117912,0.9889411799724372,0.9932928596843826,3.878494223190135e-06,3.992753161275895e-07,2.5118864315095793e-06,9.999999999999999e-09,1e-05
0.0815614001618772,3.831186849557285e-06,100,0.02,6.988147714716774e-05,4.4241463872726365e-07,6.992623125217321e-05,6.3515125978311e-05,7.589004107401568e-05,0.00017493543411621986,6.486033699829502e-06,0.0001626256867224851,0.00010229847214635965,0.00024256320950534683,0.999930118522853,4.424146387271761e-07,0.9999300737687478,0.999924109958926,0.9999364848740216,0.9998201049424885,6.7760410659853155e-06,0.9998331458213499,0.9997496996098739,0.9998956003303031,1.0006041535777301,1.645076882176788e-05,1.0005974734208924,1.0004180795945172,1.0008104540512428,0.9869807517696924,0.00023429692018159617,0.9872475406378538,0.9844264195553705,0.9898857684864628,1.152627608745307e-05,6.582989261049691e-07,1e-05,3.981071705534973e-06,2.1544346900318844e-05
0.1141085025179519,7.498942093324558e-06,100,0.0,7.690592139619358e-05,4.799441702248905e-07,7.658511445227264e-05,6.998253731056394e-05,8.339363024644212e-05,0.00034766810332009595,1.1501504848369673e-05,0.0003259776373594149,0.00023423732208641222,0.00046271741705343543,0.9999230940786038,4.799441702248513e-07,0.9999234148855478,0.9999166063697535,0.9999300174626894,0.999638455561102,1.2248365953652956e-05,0.999661924520516,0.9995167141966037,0.9997584243812995,1.0006220350228858,2.0160377588530365e-05,1.0006139039352977,1.0004060030377013,1.000871975852188,0.9815788087019028,0.00029003333975889493,0.9819452687469339,0.9784892071973963,0.9846954253850189,2.7123249027714815e-05,1.0508914498728706e-06,2.5118864315095795e-05,1.5623395123028554e-05,4.047123418342759e-05
0.1596435362934769,1.4677992676220704e-05,100,0.0,8.840581856196634e-05,5.457810212318509e-07,8.792931745883535e-05,8.127561830949799e-05,9.529045210351302e-05,0.000686986264569401,1.7870697628523743e-05,0.0006622202464706571,0.0004996773446488799,0.0009047633210430003,0.9999115941814383,5.45781021232122e-07,0.9999120706825412,0.9999047095478965,0.9999187243816905,0.9992745459082737,1.9424890521349186e-05,0.9993023346530319,0.9990382489762135,0.9994772113893798,1.0006572400844385,2.506552211063047e-05,1.0006365123541874,1.0003810926999128,1.0009389795012078,0.9740032575818947,0.00033568335572981857,0.9742664003288775,0.9699207671280026,0.9776466063312889,5.925112298613669e-05,1.734070954861203e-06,5.411695265464637e-05,3.9810717055349735e-05,8.576958985908937e-05
0.2233493396013774,2.8729848333536687e-05,100,0.0,0.00010680352387847977,6.613180182929042e-07,0.00010611976882980453,9.808808156483011e-05,0.00011451549802921585,0.0012810452301810526,3.398372798607977e-05,0.0012251086614438996,0.0008811093774538756,0.0018083420216621214,0.9998931964761216,6.613180182927478e-07,0.9998938802311702,0.9998854845019708,0.9999019119184351,0.9986193362896613,3.802250869927146e-05,0.9986844049216328,0.9980274621135425,0.9990641565403775,1.0007207591333196,3.126105598791793e-05,1.0007189933020089,1.0003624699404567,1.0010632938908048,0.9645175217359103,0.0004718218121479947,0.96499875482476,0.9574754034922878,0.9703165972912661,0.00012937204700773881,3.3134942055248866e-06,0.00012626353960291776,8.576958985908937e-05,0.00018478497974222906
0.312476963731664,5.623413251903491e-05,100,0.0,0.00013509429801918557,8.638555409884902e-07,0.00013410918834436431,0.00012482476725911393,0.00014504379361986305,0.0022043441095508333,5.465896986566261e-05,0.0021581265169012404,0.0015104236295403555,0.0028220904452137333,0.9998649057019807,8.638555409885395e-07,0.9998658908116556,0.9998549562063801,0.9998751752327409,0.9975673927211317,6.323863195782162e-05,0.9976264670520396,0.9968523477892476,0.9983649567767974,1.0008257078951768,3.897488911118185e-05,1.000837691941927,1.000378704043661,1.001255993479681,0.953413906020715,0.0005867213929715276,0.9535444179440604,0.9468775417195868,0.9611358319900156,0.00026722317463111775,5.6145753845227736e-06,0.0002511886431509582,0.00021237762007709232,0.00034145488738336003
0.4371709942694524,0.0001100694171252,100,0.0,0.00017749507855358514,1.2009782842654474e-06,0.00017651262298741587,0.000163174416305385,0.00019123132336086986,0.0035384839088987317,8.916217145569168e-05,0.0034897934884597437,0.002424821678882827,0.004731787396664483,0.9998225049214465,1.2009782842655984e-06,0.9998234873770125,0.9998087686766391,0.9998368255836946,0.9959870675529932,0.00010735676702643867,0.9960582484443141,0.9945433237260117,0.9973174958158647,1.000982695055358,4.963806977693499e-05,1.0009890145692644,1.0003912463828306,1.001491143176069,0.9409932294603768,0.0007566869532920327,0.9409255329286239,0.9312120459048358,0.9507575708750995,0.0005137940042536368,8.67060954227275e-06,0.000502664204953871,0.0003981071705534969,0.000630957344480193
0.6116242168643903,0.0002154434690031,100,0.0,0.00024017589640931182,1.735439511543587e-06,0.00023822798151056736,0.00021919015780850565,0.00026021878804705724,0.0054675696622823785,0.00013523788407115658,0.005485982686592108,0.003733991831486977,0.0071659818469265975,0.9997598241035907,1.7354395115438093e-06,0.9997617720184895,0.999739781211953,0.9997808098421915,0.9935992386071564,0.00017004473566980787,0.993601240464379,0.9914472978272234,0.9957641491348904,1.0011996188686656,6.372411648807785e-05,1.00115174293336,1.0004328247793295,1.0019483605950654,0.9266530169669067,0.0009416820445272639,0.9259326091610993,0.9153478784547241,0.9388936217428632,0.0009166401599407585,1.3008393794791426e-05,0.0008576958985908945,0.0007356422544596406,0.001
