policy,ratio,sigma,S,n,d,boundary,acc_objective,alpha,lam,kappa,E_gen,E_acc,E_acc_corrected,R2_gen,R2_acc,slope_acc,selection_risk,acc_distribution,acc_distribution_se,E_gen_mc,E_gen_mc_se,E_acc_mc,E_acc_mc_se,trials,E_gen_mc_std,E_gen_mc_median,E_gen_mc_q10,E_gen_mc_q90,E_acc_mc_std,E_acc_mc_median,E_acc_mc_q10,E_acc_mc_q90,slope_acc_distribution,slope_acc_distribution_se,R2_acc_distribution,R2_acc_distribution_se,gaussian_min_abs_N,slope_gen,R2_gen_mc,R2_gen_mc_se,R2_gen_mc_q10,R2_gen_mc_q90,R2_acc_mc,R2_acc_mc_se,R2_acc_mc_q10,R2_acc_mc_q90,slope_gen_mc,slope_gen_mc_se,slope_gen_mc_q10,slope_gen_mc_q90,slope_acc_mc,slope_acc_mc_se,slope_acc_mc_q10,slope_acc_mc_q90
fixed,0.0,0.0,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072456539055468,0.1252433052270465,0.1252433052270466,0.9927543460944532,0.9316744603821348,1.3538973088722863,,0.125503228170463,7.550636311661211e-05,0.0072577897365925,4.102368091740883e-05,0.1090989652056604,0.0007485299545882,100,0.000410236809174,0.0072264620824502,0.0067620360666992,0.0077652963181794,0.0074852995458823,0.108852817781244,0.1007398546226734,0.1194905003460315,1.3541330279106039,0.00010657010060241863,0.9315991502581362,3.039099525624199e-05,393.39599863676165,1.0190105415557347,0.9927422102634074,4.102368091740889e-05,0.9922347036818205,0.9932379639333007,0.9383916709466691,0.00031648469652751396,0.9340140699787696,0.9419544396190267,1.0176476257919043,0.00018420918317205078,1.0154439777693605,1.0200158162977992,1.330110995962693,0.0011267883661161605,1.3173954158571748,1.3456723664740562
DE_gen_CV,0.0,0.0,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,5.671668049584467e-05,6.9941207313275e-14,6.994120743072062e-14,0.999943283319504,0.99999999999993,1.000000264464,,1.7686621350192525e-06,2.7756473567458e-08,6.012671695869858e-05,3.9893883893815153e-07,9.332336107608876e-13,6.161056035963771e-14,100,3.989388389381514e-06,5.978244727107341e-05,5.586698731012895e-05,6.570559677559501e-05,6.161056035963771e-13,7.772285760341469e-13,5.421584126876097e-13,1.2861065910066088e-12,1.000004020591811,1.4694404524818326e-05,0.9999982312249434,2.7767546809365248e-08,636.259897509235,1.0008337730363555,0.9999398732830411,3.98938838938163e-07,0.9999342944032245,0.9999441330126898,0.9999999999990666,6.161029810855628e-14,0.9999999999987139,0.9999999999994579,1.0006012237523834,7.780401861250558e-06,1.0005093498408488,1.0006887051210274,1.0000009376494017,2.3365175358027854e-08,1.0000007363104646,1.0000011340662456
fixed,1e-06,0.0416694728193495,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072456739473232,0.125240023635357,0.1252400485036214,0.9927543260526768,0.9316757826809204,1.3538926724804528,,0.1254999724601327,7.551013875585803e-05,0.0072574361911329,4.108303061333981e-05,0.1090981059116305,0.0007493770962168,100,0.0004108303061334,0.0072256289625248,0.0067588921340624,0.0077671122890874,0.0074937709621685,0.1087978396287574,0.1006778820033055,0.1194526719209524,1.3541284146005477,0.00010657681312676835,0.931600464778825,3.039282308879749e-05,393.39518245070434,1.019010520201735,0.9927425638088673,4.108303061334038e-05,0.9922328877109124,0.9932411078659374,0.9383921289754433,0.0003168541318957645,0.934029601120118,0.9419815463835082,1.0176532882137763,0.00018399839855863938,1.015446202875876,1.020019407528837,1.3301092438745312,0.0011281209021443241,1.3172977808508837,1.3456176159550328
DE_gen_CV,1e-06,0.0416694728193495,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,5.759170300052749e-05,1.2616998951941883e-06,1.2816230743047864e-06,0.9999424082969994,0.9999987354609028,0.9988767458456812,,3.091206714878429e-06,4.4635352686912336e-08,6.332750641066881e-05,4.0538273586529314e-07,5.03774787059397e-05,4.445540718289128e-06,100,4.053827358652932e-06,6.332899314415806e-05,5.777363308917504e-05,6.864896764189837e-05,4.445540718287872e-05,3.942909972158364e-05,2.1430634714863736e-05,8.523585706696579e-05,0.9988804258778674,1.4978764522998585e-05,0.9999968934341147,4.4983548609505e-08,636.1993403680444,1.000832895774939,0.9999366724935892,4.0538273586560183e-07,0.9999313510323582,0.9999422263669109,0.9999487320001744,4.593363221357892e-06,0.9999131681744116,0.9999783695598141,1.000598777263391,1.7107768967976958e-05,1.0004177773287826,1.0007917194147709,0.9933067295726999,0.00023735941491371187,0.990767768705624,0.9953706798994666
fixed,1.9573417814876616e-06,0.0582976890378464,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072456931341531,0.1252368820918594,0.1252369307666095,0.9927543068658468,0.9316770485608076,1.3538882338985847,,0.1254968556924945,7.551375280531333e-05,0.0072573056702441,4.110739977075463e-05,0.1090962334632379,0.0007497263150791,100,0.0004110739977075,0.0072253054603251,0.0067576469244914,0.0077679290975115,0.0074972631507915,0.1087736704802023,0.1006581106269962,0.1194357833800387,1.3541239981148094,0.00010658323871678362,0.9316017232126846,3.0394572767715707e-05,393.39440113550825,1.019010499758658,0.9927426943297557,4.110739977075543e-05,0.9922320709024883,0.9932423530755086,0.9383929633066717,0.00031700823659453153,0.9340365353646194,0.9419901960012289,1.0176555380287808,0.00018393398130582016,1.0154470816933785,1.0200208284341818,1.330106218949694,0.0011286788288678684,1.317266623801002,1.3455931709198006
DE_gen_CV,1.9573417814876616e-06,0.0582976890378464,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,5.8429398604002337e-05,4.82453611259037e-06,4.863495068837072e-06,0.999941570601396,0.999995154199834,0.997803517331598,,6.713166220680778e-06,7.372993974218876e-08,6.643372380017994e-05,4.383909460172257e-07,0.0001880336771724,1.624888160642007e-05,100,4.383909460172258e-06,6.675970490737351e-05,6.098438024472094e-05,7.210443733448151e-05,0.0001624888160641,0.0001462805686525,7.915441782112467e-05,0.0003096983236537,0.9978071226175682,1.5248140864291078e-05,0.9999932402848857,7.446709821525308e-08,636.1422678964666,1.0008320559373711,0.9999335662761998,4.38390946017155e-07,0.9999278955626656,0.9999390156197553,0.9998054939431883,1.7304084498683457e-05,0.9996791061660243,0.999919418064095,1.0005959957069024,2.2843001094290563e-05,1.0003410205081822,1.000896593158091,0.987043732777581,0.0004513595269438033,0.9824020361119253,0.9911032094145898
fixed,3.831186849557285e-06,0.0815614001618772,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072457306893369,0.1252307331911687,0.1252308284606753,0.992754269310663,0.93167952628646,1.3538795461610755,,0.1254907552825276,7.552082524152684e-05,0.0072571331759551,4.114214808997645e-05,0.1090921496451651,0.0007502254985283,100,0.0004114214808997,0.0072248614370532,0.0067560312052899,0.0077690816605702,0.0075022549852831,0.1087472256942852,0.1006680561160016,0.1194124788373631,1.3541153536240849,0.0001065958141226038,0.9316041863646807,3.039799697346946e-05,393.3928719869584,1.0190104597445728,0.9927428668240448,4.1142148089976134e-05,0.9922309183394297,0.99324396879471,0.9383947542968184,0.00031723020241200377,0.9340461039838189,0.9419858454037335,1.0176586762736477,0.0001838627485858941,1.0154483024799594,1.0200228046947746,1.3300997605111358,0.001129484353860795,1.3172822947036302,1.3455594389696985
DE_gen_CV,3.831186849557285e-06,0.0815614001618772,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,6.006905520885218e-05,1.840836322593558e-05,1.848446902860137e-05,0.9999399309447912,0.9999814326522748,0.995709503149292,,2.041519580747624e-05,1.394265267632865e-07,7.253040018793822e-05,5.44721075029658e-07,0.0006935843517702,5.814411269961607e-05,100,5.44721075029658e-06,7.226777272315924e-05,6.584297617975024e-05,7.895819776055923e-05,0.0005814411269961,0.0005499444660451,0.0002980448558684,0.0010989998194782,0.9957129572923366,1.576774349263459e-05,0.9999793729652949,1.4153413939976657e-07,636.0329614677681,1.0008304120922877,0.9999274695998119,5.447210750293833e-07,0.9999210418022395,0.9999341570238202,0.9992597112418524,6.559411822310508e-05,0.9988243212039988,0.9996913914627961,1.000590375836734,3.118286927919424e-05,1.000280640484589,1.0010032829059732,0.975057484587914,0.0008495707572633605,0.9668517110444079,0.9827360459801063
fixed,7.498942093324558e-06,0.1141085025179519,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0072458041976673,0.1252186983562161,0.1252188848173506,0.9927541958023328,0.9316843759123692,1.353862541612158,,0.1254788153447898,7.55346626958107e-05,0.0072569116384515,4.119204097862306e-05,0.1090835706552814,0.0007509444981213,100,0.0004119204097862,0.0072242570056289,0.0067559628644517,0.0077707133498841,0.0075094449812139,0.1087278077102139,0.10069272747061,0.1193924083593771,1.3540984337128266,0.00010662042209455536,0.9316090074678891,3.0404697346428834e-05,393.3898795039417,1.0190103814233415,0.9927430883615483,4.119204097862335e-05,0.9922292866501158,0.9932440371355482,0.9383984807126926,0.0003175531476189519,0.9340543417286412,0.9419750521878931,1.0176630485157456,0.00018380010751638964,1.015449993347165,1.0200255467644543,1.330086367253631,0.0011306599868591556,1.3173211731998886,1.3455304017916823
DE_gen_CV,7.498942093324558e-06,0.1141085025179519,1736.3449650425118,1000,10000,True,E_acc,9.999999999999996e-06,9.999999999999997e-09,0.0024122148634681,6.327842358881698e-05,6.995422768225867e-05,7.010257030080303e-05,0.9999367215764112,0.9999288607507404,0.9916361356011556,,7.22018910736043e-05,2.8302473018135225e-07,8.44871099379787e-05,8.274917822713435e-07,0.0024930542106791,0.0001985577277648,100,8.27491782271008e-06,8.38100797739883e-05,7.537542840053517e-05,9.54012021905904e-05,0.0019855772776489,0.0020085312636252,0.0011000620787807,0.0038419077711581,0.9916392783476026,1.6757786451598007e-05,0.9999264958958476,2.9062189053020596e-07,635.8273838677695,1.000827194541256,0.999915512890062,8.274917822715652e-07,0.9999045987978094,0.9999246245715995,0.9971767258154312,0.00024955543526414823,0.9956332699451437,0.998823167873289,1.0005791303695935,4.3082098238232956e-05,1.000203018296258,1.0011193162648957,0.9525360655466163,0.0015577409727624246,0.938026885932266,0.9668328476909285
