model,df2_fraction,kappa,kappa_over_s1,trace,trace_over_df2,tail250_fraction,seed_trace_min,seed_trace_max
CLIPAG ViT-B/32,0.1,6.56720165658108,0.060162425725237924,3.3024683898887126,0.044032911865182836,0.15479434631682415,1.8182359823336811,6.518568445900639
CLIPAG ViT-B/32,0.25,2.6077643642951527,0.023889845032946177,9.22471761906517,0.04919849396834758,0.223286782009026,5.19958247614985,18.203975663659666
CLIPAG ViT-B/32,0.5,0.9542920298401265,0.008742311621862455,20.04967947554962,0.05346581193479899,0.309758093711992,11.435094202391388,39.60147940412546
CLIPAG ViT-B/32,0.75,0.3290973632834929,0.003014875545213942,31.72837806431145,0.056406005447664796,0.3813051766076074,18.170615751493813,62.66793223492678
CLIPAG ViT-B/32,0.9,0.1107194628627135,0.001014305911276687,39.09375460215616,0.057916673484675794,0.41956518617970345,22.415752659559548,77.16622841071978
CLIPAG ViT-B/32,0.99,0.010097256310235503,9.250141301576665e-05,43.63601826731424,0.05876904817146699,0.4411403725333166,25.032539602836497,86.07842440316912
CLIPAG ViT-B/32,1.0,0.0,0.0,44.14633237731415,0.058861776503085536,0.44347845462012764,25.326480513552504,87.07808471674102
DINOv2 ViT-B/14-reg,0.1,2103.3353355810323,0.06397163699576681,2134.380474543755,28.458406327250067,0.19978794421180712,211.2437138349608,10022.47182984687
DINOv2 ViT-B/14-reg,0.25,896.5836662584397,0.027269034976952194,5714.252329663459,30.476012424871783,0.2466709245951302,562.2356480678068,27294.95413539142
DINOv2 ViT-B/14-reg,0.5,348.50478220618686,0.010599556352921858,11928.312782752737,31.80883408734063,0.30208677775670967,1165.9022054246104,57866.19200134573
DINOv2 ViT-B/14-reg,0.75,124.91776207026027,0.0037992960962046234,18337.848294410836,32.60061919006371,0.347584766316858,1782.0932898434908,89891.55762996688
DINOv2 ViT-B/14-reg,0.9,42.80276183750158,0.001301819399106188,22264.435381423296,32.984348713219696,0.37240848662738807,2156.520715972348,109696.39497604528
DINOv2 ViT-B/14-reg,0.99,3.9419898909062,0.00011989317256079474,24648.70326447535,33.196906753502155,0.3866695408461932,2382.7766342174236,121781.11935262149
DINOv2 ViT-B/14-reg,1.0,0.0,0.0,24914.933119395027,33.21991082586003,0.3882285914652388,2407.9898183520936,123133.1069140914
