method,sigma,ratio,alpha,lam,kappa,at_boundary,E_gen_DE,E_gen_MC_mean,E_gen_distribution,E_acc_DE,E_acc_MC_mean,E_acc_distribution,R2_gen_DE,R2_gen_MC_mean,R2_gen_distribution,R2_acc_DE,R2_acc_MC_mean,R2_acc_distribution,slope_gen_DE,slope_gen_MC_mean,slope_gen_distribution,slope_acc_DE,slope_acc_MC_mean,slope_acc_distribution,weight_error_DE,weight_error_MC_mean,weight_error_distribution
gen_DE,0.0,0.0,9.999999999999999e-06,9.999999999999999e-09,0.002412214863468124,True,5.671668049584451e-05,6.0126716958698756e-05,5.6733080649769226e-05,6.994120108865785e-14,9.332336113696382e-13,1.768662135019246e-06,0.9999432833195041,0.9999398732830413,0.9999432669193502,0.9999999999999301,0.999999999999067,0.9999982312249434,1.0008337730363603,1.0006012237523856,1.0008300624087427,1.0000002644639883,1.0000009376494021,1.000004020591812,52.046522216010246,51.39194432356475,52.04699738438049
gen_DE,0.004166947281934956,1e-08,9.999999999999999e-06,9.999999999999999e-09,0.002412214863468124,True,5.672543072089135e-05,6.01519593688383e-05,5.674183425662455e-05,1.2063140297846618e-10,8.825243053271533e-09,1.7693865334489204e-06,0.9999432745692791,0.9999398480406309,0.9999432581657434,0.9999999998793659,0.9999999911722786,0.9999982303810895,1.000833764263736,1.000601270117483,1.0008300530410483,0.9999890167671891,0.9999248846684288,0.9999927721446138,52.053720295645164,51.43455807354512,52.0541967492743
gen_DE,0.004675391748434425,1.2589254117941661e-08,9.999999999999999e-06,9.999999999999999e-09,0.002412214863468124,True,5.6727696376514884e-05,6.015952442792552e-05,5.674410078782931e-05,1.9308508987334957e-10,1.2930211690903766e-08,1.7696153510360525e-06,0.9999432723036235,0.999939840475572,0.9999432558992122,0.9999999998069096,0.9999999870654688,0.9999982301213248,1.0008337619922878,1.000601271348118,1.000830050615531,0.9999861044938965,0.9999065036332847,0.9999898596769936,52.05558406137876,51.4455906823449,52.05606084782447
gen_DE,0.005245875822834551,1.584893192461114e-08,9.999999999999999e-06,9.999999999999999e-09,0.002412214863468124,True,5.6730548667953736e-05,6.016917384927749e-05,5.674695418152748e-05,3.0841741050276663e-10,1.912727857213217e-08,1.769927542714211e-06,0.999943269451332,0.9999398308261509,0.9999432530458184,0.9999999996915717,0.9999999808650941,0.9999982297701622,1.0008337591326875,1.0006012715827086,1.0008300475619962,0.9999824381831662,0.9998835240852861,0.9999861931215941,52.05793040342242,51.459479770676246,52.05840760887712
gen_DE,0.005885969482196862,1.9952623149688786e-08,9.999999999999999e-06,9.999999999999999e-09,0.002412214863468124,True,5.673413949012795e-05,6.01814626498689e-05,5.675054639131308e-05,4.91836643191186e-10,2.854561126605845e-08,1.7703588072524027e-06,0.9999432658605099,0.9999398185373503,0.9999432494536087,0.9999999995081416,0.9999999714407458,0.9999982292898177,1.000833755532675,1.0006012704029332,1.0008300437178388,0.9999778226096397,0.9998547754477994,0.9999815772400215,52.06088427304593,51.4769649361997,52.06136200602987
gen_DE,0.006604166380483055,2.511886431509582e-08,9.999999999999999e-06,9.999999999999999e-09,0.002412214863468124,True,5.67386600674123e-05,6.0197091424315e-05,5.675506871541599e-05,7.833277277926151e-10,4.294423489338999e-08,1.7709623393717678e-06,0.9999432613399326,0.999939802908576,0.9999432449312846,0.9999999992166284,0.9999999570310573,0.9999982286244675,1.0008337510005274,1.000601267262586,1.0008300388783566,0.9999720120074355,0.9998187867751686,0.9999757662499433,52.06460297457811,51.49897727507177,52.065081371726606
gen_DE,0.007409996554182586,3.162277660168379e-08,9.999999999999999e-06,9.999999999999999e-09,0.002412214863468124,True,5.6744351137031544e-05,6.021694426675351e-05,5.676076198402173e-05,1.2463026091958743e-09,6.506983196857606e-08,1.7718181859540743e-06,0.999943255648863,0.9999397830557335,0.999943239238016,0.9999999987536093,0.9999999348848909,0.9999982276907451,1.0008337452948928,1.0006012614520678,1.0008300327858493,0.9999646969886667,0.9997737094676666,0.9999684507428007,52.069284542435845,51.5266889655119,52.06976377578866
gen_DE,0.008314152880106817,3.981071705534969e-08,9.999999999999999e-06,9.999999999999999e-09,0.002412214863468124,True,5.67515157691955e-05,6.024213653950026e-05,5.676792938434316e-05,1.981311214351796e-09,9.921981093857026e-08,1.7730478466975358e-06,0.9999432484842308,0.9999397578634599,0.9999432320706156,0.9999999980185124,0.9999999006963052,0.9999982263629558,1.0008337381119174,1.000601252053403,1.0008300251158997,0.9999554880778403,0.9997172201249432,0.9999592412170013,52.075178287178986,51.561575689782664,52.07565857336263
gen_DE,0.009328632963367675,5.011872336272725e-08,9.999999999999999e-06,9.999999999999999e-09,0.002412214863468124,True,5.676053550669287e-05,6.027407504145799e-05,5.677695260642355e-05,3.1477724651700964e-09,1.5212899257419693e-07,1.7748371268045184e-06,0.9999432394644933,0.9999397259249585,0.9999432230473935,0.9999999968518742,0.9999998477140335,0.9999982244499853,1.000833729069084,1.00060123788328,1.0008300154601044,0.9999438949871654,0.9996463984656522,0.9999476473519064,52.08259807220675,51.605495218771736,52.08307968400331
gen_DE,0.010466898338308139,6.30957344480193e-08,9.999999999999999e-06,9.999999999999999e-09,0.002412214863468124,True,5.6771890683436025e-05,6.0314533790697264e-05,5.6788312169488676e-05,4.99841464661167e-09,2.343666129528963e-07,1.7774719920670278e-06,0.9999432281093166,0.9999396854662095,0.9999432116878305,0.9999999950008785,0.9999997653369944,0.9999982216591321,1.0008337176848539,1.0006012174209673,1.0008300033043365,0.9999293005329114,0.9995575739663656,0.9999330519224074,52.09193902812826,51.66078634407871,52.09242230905359
