model,metric,tau,noise_255,trace,mc_se,seed_sd,seed_min,seed_max,exact_trace,relative_to_exact,relative_mc_se,outside_rgb_fraction,n_seeds,directions,centers,h
resnet50,drift,0.0019607843137254,0.499999999999977,17837.843112425297,129.23537951151567,27023.882577648055,315.684076314634,89164.92191605039,21364.035101848312,0.8349472853506992,0.006049202732321614,0.001477321962110013,10,64,8,3e-06
resnet50,drift,0.0078431372549019,1.9999999999999845,44714.92886004628,86.2048209566294,39877.90967716843,1574.1688006827137,115466.91997940053,21364.035101848312,2.093000158765783,0.004035043967381021,0.004931901425731388,10,64,8,3e-06
resnet50,drift,0.0313725490196078,7.999999999999989,17367.747572671517,25.0463724900769,7039.723251579776,3240.7432323350718,26354.30961673221,21364.035101848312,0.8129432239684414,0.0011723615117965245,0.01823576972598115,10,64,8,3e-06
resnet50,drift,0.0627450980392156,15.999999999999979,8434.32641653714,11.998353585410651,2578.6502800462767,3311.3512439831247,11583.435230019368,21364.035101848312,0.39479088928324424,0.0005616145792782662,0.03792809077671593,10,64,8,3e-06
resnet50,even,0.0019607843137254,0.499999999999977,19685.221318125794,131.76771567699876,29632.883985928296,451.6496084228757,97549.21873133442,21364.035101848312,0.921418693813264,0.0061677354043290665,0.001477321962110013,10,64,8,3e-06
resnet50,even,0.0078431372549019,1.9999999999999845,46568.30579996954,86.86063671800687,41163.06050172947,1931.274947503136,119675.27413354845,21364.035101848312,2.179752353802334,0.004065741153481447,0.004931901425731388,10,64,8,3e-06
resnet50,even,0.0313725490196078,7.999999999999989,18135.904426520872,25.354378278007577,7165.292570173018,3651.55020230143,27210.33922838,21364.035101848312,0.8488988311459871,0.001186778534913287,0.01823576972598115,10,64,8,3e-06
resnet50,even,0.0627450980392156,15.999999999999979,8787.342220716546,12.021452410032751,2611.294267515023,3591.4890294025863,12029.525542979987,21364.035101848312,0.41131472490214677,0.0005626957806764095,0.03792809077671593,10,64,8,3e-06
resnet50,local_forward,0.0,0.0,21354.898708314395,259.04878169629126,27445.60000428535,4410.612201634339,92838.06179718045,21364.035101848312,0.9995723470079335,0.012125461340113582,0.0,10,64,8,3e-06
resnet50,neighborhood,0.0019607843137254,0.499999999999977,19575.13635265436,96.26729217993032,22303.023174139184,4483.372155331248,75298.89313087413,21364.035101848312,0.9162658767098176,0.004506044467770124,0.001477321962110013,10,64,8,3e-06
