model,metric,h,doubled_h,original_trace,doubled_h_trace,relative_change,paired_difference_mc_se
resnet50,smooth,3e-06,6e-06,205.5083419364407,205.93393534609015,0.0020709300928576503,0.27406199602430503
resnet50,neighborhood,3e-06,6e-06,4161.946088135477,4158.790877102481,-0.0007581095396672363,0.8792596067882694
resnet50_robust,smooth,3e-05,6e-05,20.17726950977326,20.17933574135078,0.00010240392420384882,0.004473636442878869
resnet50_robust,neighborhood,3e-05,6e-05,45.30250333132427,45.29171527620694,-0.00023813375253089227,0.00667866429055047
clipag_vitb32,smooth,0.0003,0.0006,19.69131285319712,19.690928253866616,-1.953142146346689e-05,0.0009064966167038685
clipag_vitb32,neighborhood,0.0003,0.0006,29.91758493309922,29.91562549036224,-6.549468285505696e-05,0.0013010361001923678
dinov2_vitb14_reg,smooth,3e-05,6e-05,109.17695853062034,109.09852657075582,-0.0007183929733901908,0.04110388151858039
dinov2_vitb14_reg,neighborhood,3e-05,6e-05,1121.8576756459493,1121.838849149284,-1.678153751063583e-05,0.1472195496843085
