model,df2_fraction,kappa,kappa_over_s1,trace,trace_over_df2,tail250_fraction,seed_trace_min,seed_trace_max
Standard RN50,0.1,39.41254972624834,0.053590753063092286,3722.0012280939754,49.626683041253,0.12260798952860083,791.8320879494964,15993.647877669846
Standard RN50,0.25,15.640910498078838,0.021267544931918802,10095.787018901972,53.84419743414385,0.18358524261894466,2137.0920758415446,43665.17580146587
Standard RN50,0.5,5.694521615089256,0.007743059096819795,21364.035101848312,56.9707602715955,0.26582176048733197,4491.970373945548,93032.41685578847
Standard RN50,0.75,1.9534030727756875,0.0026561169585049425,33211.76529789777,59.043138307373816,0.3374704650536245,6946.338258965917,145310.72789696863
Standard RN50,0.9,0.6551784252728137,0.000890871193184366,40583.706499918386,60.12400962950872,0.3769138425579632,8463.540360523573,177960.63388088244
Standard RN50,0.99,0.05964327660540025,8.109924708334699e-05,45104.053364847765,60.74619981797679,0.39946653099520346,9390.116915661212,198010.88212632967
Standard RN50,1.0,0.0,0.0,45610.916237710175,60.81455498361357,0.4019232607613407,9493.834785559768,200260.16275761861
Robust RN50,0.1,60.52918474885642,0.03767044768337313,6.115772315094044,0.08154363086792059,0.09383876044196357,3.9870217346109187,8.435121164286269
Robust RN50,0.25,22.19919653848988,0.013815710145210575,17.30247428811233,0.09227986286993242,0.1628211810488221,11.608265887389294,23.832189434860553
Robust RN50,0.5,7.61571277229981,0.004739652627915771,37.78665988885627,0.10076442637028339,0.2629265697151226,25.8288253961025,52.095329099110955
Robust RN50,0.75,2.5196473131414487,0.0015681070657744133,60.085238988338645,0.10681820264593538,0.3528017399512411,41.42432887508076,83.0239339680322
Robust RN50,0.9,0.8306475766269878,0.0005169550227460943,74.3489689318207,0.11014662063973438,0.4024594811195754,51.39826778418361,102.9146264549148
Robust RN50,0.99,0.0749068516723046,4.66184147160689e-05,83.24898560148341,0.11211984592792379,0.43077527230902507,57.60869221593096,115.37234959923458
Robust RN50,1.0,0.0,0.0,84.25443437692147,0.11233924583589529,0.4338540750483929,58.30943402979979,116.78206812955264
