sigma,method,alpha,lam,kappa,boundary
1.3177044300762262,gen_DE,3.3113112148259076,0.0033113112148259074,0.007169918573995353,False
1.3177044300762262,acc_leading,8.128305161640995,0.008128305161640995,0.01294814089776781,False
1.3177044300762262,acc_distribution,8.128305161640995,0.008128305161640995,0.01294814089776781,False
4.166947281934956,gen_DE,13.182567385564074,0.013182567385564073,0.018650299819295165,False
4.166947281934956,acc_leading,28.183829312644548,0.028183829312644546,0.03484154962668229,False
4.166947281934956,acc_distribution,28.183829312644548,0.028183829312644546,0.03484154962668229,False
13.177044300762262,gen_DE,45.708818961487516,0.04570881896148751,0.05321939568751158,False
13.177044300762262,acc_leading,97.72372209558091,0.09772372209558092,0.10669306418644785,False
13.177044300762262,acc_distribution,97.72372209558091,0.09772372209558092,0.10669306418644785,False
41.66947281934956,gen_DE,158.48931924611108,0.1584893192461111,0.16844673149980974,False
41.66947281934956,acc_leading,389.04514499428046,0.38904514499428045,0.4009454959704331,False
41.66947281934956,acc_distribution,389.04514499428046,0.38904514499428045,0.4009454959704331,False
