sigma,alpha,lam,kappa,trials,E_gen_mean,E_gen_se,E_gen_q10,E_gen_q90,E_acc_mean,E_acc_se,E_acc_q10,E_acc_q90,R2_gen_mean,R2_gen_se,R2_gen_q10,R2_gen_q90,R2_acc_mean,R2_acc_se,R2_acc_q10,R2_acc_q90,slope_gen_mean,slope_gen_se,slope_gen_q10,slope_gen_q90,slope_acc_mean,slope_acc_se,slope_acc_q10,slope_acc_q90
1.3177044300762262,1e-05,1e-08,0.002412214863468124,100,0.003333711068701072,9.259138278027466e-05,0.00246829107833531,0.00456190362647038,0.7397445181278978,0.005966835742835614,0.6679204790088074,0.8129501999481435,0.9966662889312988,9.259138278027443e-05,0.9954380963735295,0.9975317089216647,-48.47304102300456,4.326839731709104,-83.03228720821292,-19.002243700134112,0.9974002102554824,0.000476159588857038,0.9931204947932645,1.003502727225109,0.14061564448743374,0.003485971348696127,0.09836263991233567,0.18273600647562505
1.3177044300762262,1.778279410038923e-05,1.7782794100389228e-08,0.002412229456356288,100,0.003328493969032784,9.181630637619677e-05,0.00246750372323025,0.004536051105062251,0.7394572708728195,0.00595163175268483,0.6677726605119593,0.8126131272268479,0.996671506030967,9.18163063761979e-05,0.9954639488949376,0.9975324962767697,-48.19402550550945,4.265489051618787,-82.67857568458535,-18.97803212841946,0.9974053867728752,0.00047399016464036496,0.9931468311035041,1.003499531034853,0.14077961341087278,0.003478067126126347,0.09854957307223268,0.182826445122299
1.3177044300762262,3.1622776601683795e-05,3.16227766016838e-08,0.0024122554064607647,100,0.0033194208192082906,9.047781388673193e-05,0.00246610649709584,0.004491384305663671,0.7389520833606424,0.005925149456704398,0.6670965802296944,0.8119228576310935,0.9966805791807916,9.047781388673189e-05,0.9955086156943364,0.9975338935029041,-47.71250512205668,4.160330120456479,-81.95688926574093,-18.867709735048855,0.9974143919002006,0.00047021354064928774,0.9931926693724873,1.003470322461361,0.14106813644584704,0.003464301541731886,0.09893243316471909,0.18324020176762149
1.3177044300762262,5.623413251903491e-05,5.6234132519034905e-08,0.002412301552592243,100,0.0033038997835148015,8.821695430508421e-05,0.00246363099707118,0.0044158613857431216,0.7380709137898235,0.005879748057623405,0.666144963014389,0.8106098534009709,0.9966961002164851,8.821695430508492e-05,0.9955841386142568,0.9975363690029287,-46.89965027148349,3.9849871244883586,-80.61298216353502,-18.713754733402485,0.997429804187177,0.00046374372996829455,0.9932711856173115,1.0034158009889413,0.1415718405997774,0.003440708375751292,0.09966125662272134,0.183822959882387
1.3177044300762262,0.0001,1.0000000000000001e-07,0.0024123836120270767,100,0.003278073042036194,8.454044670262984e-05,0.00245925756288895,0.004292778799245422,0.7365552947732517,0.0058040288430096,0.6653257069338936,0.8066682762416579,0.9967219269579638,8.454044670262968e-05,0.9957072212007545,0.997540742437111,-45.5769899725126,3.706038156125048,-76.76354955629706,-18.582586010880643,0.9974554716517688,0.00045296100976500444,0.993408744753849,1.0034023747295966,0.1424395510925973,0.003401383026770676,0.10185297301146824,0.18432505457638074
1.3177044300762262,0.00017782794100389227,1.7782794100389227e-07,0.002412529532581236,100,0.0032369618141033845,7.892953484914395e-05,0.00245156965980704,0.004242436115468142,0.7340071299023614,0.005683554351371162,0.66391459291696,0.8021754346865655,0.9967630381858966,7.892953484914543e-05,0.9957575638845317,0.9975484303401928,-43.546485647093526,3.2953625635719135,-72.66403372678465,-18.359598890393855,0.9974963864477143,0.0004357977431616122,0.9936502608680415,1.0033788754195103,0.14390219148547356,0.00333889257481111,0.10435766805058813,0.18519074104992098
1.3177044300762262,0.00031622776601683794,3.162277660168379e-07,0.0024127890072960893,100,0.0031756841063412377,7.119122348355088e-05,0.0024381728249221603,0.00414456543135898,0.7298685770762564,0.005506160814362388,0.6616743250632464,0.7936034453134939,0.9968243158936587,7.11912234835494e-05,0.995855434568641,0.9975618271750778,-40.68176344652038,2.7597456664651725,-65.65208618934876,-18.01142313333314,0.99755750333415,0.00041041900982233547,0.9938721542958509,1.0031194843976423,0.14628768089656677,0.0032471483795680914,0.10915708336869272,0.18656683896552365
1.3177044300762262,0.0005623413251903491,5.623413251903491e-07,0.0024132503853726483,100,0.0030917810212647404,6.199279141673716e-05,0.0024151752268937003,0.00401149502534533,0.7234503040069223,0.005274059447059832,0.6579986932570873,0.7863424473009394,0.9969082189787352,6.199279141673846e-05,0.9959885049746545,0.9975848247731064,-37.0426167221149,2.1716470016002125,-60.32237054735283,-17.45528725639314,0.9976414333391653,0.0003768312566772803,0.994140817893069,1.0026106311903584,0.15001078225533573,0.003127967237318513,0.11324053114779725,0.18882926390008445
1.3177044300762262,0.001,1e-06,0.002414070716627568,100,0.002986259079299482,5.289352060410125e-05,0.00237900282057301,0.0038374192452795405,0.7139670649434199,0.005013147842944802,0.6516697938278269,0.77981562829398,0.9970137409207004,5.289352060410126e-05,0.9961625807547204,0.9976209971794269,-32.85035213012852,1.6436027673325988,-56.03647828180413,-16.54329356940574,0.9977473325146589,0.00033865231747767484,0.9943978193368466,1.0022697199272754,0.15556037961633506,0.002996281314272806,0.11692829964229842,0.19273967783849097
1.3177044300762262,0.0017782794100389228,1.7782794100389227e-06,0.0024155290909257444,100,0.0028599616749727308,4.5132093338883044e-05,0.00232315097361578,0.00352926767429589,0.7003796133899907,0.004753495289139146,0.6410122906614365,0.765568598098662,0.9971400383250274,4.513209333888259e-05,0.996470732325704,0.997676849026384,-28.258074262212105,1.2314431079194956,-47.971198893161976,-15.127570546672851,0.9978744861046108,0.00030246363151280634,0.9948658327102432,1.001864181207753,0.1636004258824536,0.0028698463795468103,0.12503223372823768,0.19936774742995272
