sigma,ratio,alpha,lam,kappa,E_gen,E_acc,R2_gen,R2_acc,slope_acc,slope_gen,E_acc_dist,E_acc_dist_se,R2_acc_dist,R2_acc_dist_se,slope_acc_dist,slope_acc_dist_se
1.3177044300762262,0.001,1e-05,1e-08,0.002412214863468124,0.0009317391851786576,0.28022557336017917,0.9990682608148214,-0.2651333608427917,0.47063663390806953,0.9999572791235647,0.2802650126316285,7.2488689988846e-05,-0.26675532557754256,0.0006961522784153208,0.47063566953204095,6.84857761196195e-05
1.3177044300762262,0.001,1.071519305237607e-05,1.071519305237607e-08,0.0024122162044709736,0.0009317386020492657,0.28022528064475843,0.9990682613979507,-0.2651305529014434,0.4706369103868703,0.9999572801849581,0.28026471994355845,7.248866451012694e-05,-0.26675251408487943,0.0006961508066441065,0.4706359459969043,6.84857878208303e-05
1.3177044300762262,0.001,1.1481536214968817e-05,1.1481536214968817e-08,0.002412217641380929,0.0009317379772160952,0.2802249669950051,0.9990682620227839,-0.2651275441480905,0.4706372066389582,0.9999572813222658,0.2802644063231191,7.248863720916506e-05,-0.26674950152630783,0.0006961492296180728,0.470636242234051,6.848580035885815e-05
1.3177044300762262,0.001,1.230268770812381e-05,1.2302687708123811e-08,0.0024122191810571282,0.0009317373076967493,0.2802246309138001,0.9990682626923032,-0.265124320222474,0.47063752407844384,0.999957282540897,0.280264070273319,7.24886079556323e-05,-0.266746273523287,0.0006961475398102766,0.47063655965753226,6.848581379354483e-05
1.3177044300762262,0.001,1.3182567385564074e-05,1.3182567385564074e-08,0.0024122208308492593,0.0009317365902954752,0.28022427079692847,0.9990682634097046,-0.2651208657371975,0.4706378642205995,0.9999572838466826,0.28026371019010166,7.24885766098777e-05,-0.26674281466904376,0.0006961457291555064,0.47063689978253564,6.84858281890112e-05
1.3177044300762262,0.001,1.4125375446227555e-05,1.4125375446227556e-08,0.0024122225986326416,0.0009317358215880357,0.28022388492547695,0.999068264178412,-0.2651171642048369,0.47063822868904015,0.9999572852458664,0.2802633243547083,7.248854302226278e-05,-0.26673910845524246,0.0006961437890119002,0.47063726423260005,6.848584361396266e-05
1.3177044300762262,0.001,1.5135612484362071e-05,1.5135612484362072e-08,0.002412224492845819,0.00093173499790535,0.28022347145760695,0.9990682650020947,-0.2651131979590511,0.47063861922349587,0.9999572867451172,0.2802629109254715,7.248850703244644e-05,-0.2667351371931897,0.000696141710119694,0.47063765474736885,6.8485860142017e-05
1.3177044300762262,0.001,1.62181009735893e-05,1.6218100973589297e-08,0.002412226522530838,0.0009317341153159709,0.28022302841976154,0.999068265884684,-0.2651089480702835,0.47063903768811816,0.9999572883515838,0.2802624679290254,7.248846846861969e-05,-0.2667308819294531,0.0006961394825570538,0.47063807319089307,6.84858778520557e-05
1.3177044300762262,0.001,1.7378008287493764e-05,1.7378008287493763e-08,0.0024122286973764042,0.0009317331696072247,0.2802225536972487,0.9990682668303927,-0.2651043942554743,0.4706394860803758,0.999957290072942,0.2802619932508758,7.248842714668329e-05,-0.26672632235532195,0.0006961370956926701,0.4706385215605407,6.848589682860014e-05
1.3177044300762262,0.001,1.8620871366628657e-05,1.8620871366628656e-08,0.0024122310277641386,0.0009317321562653455,0.2802220450241765,0.9990682678437347,-0.265099514781574,0.4706399665405628,0.9999572919173948,0.2802614846253402,7.248838286937257e-05,-0.26672143671023857,0.0006961345381352173,0.47063900199650005,6.848591716221448e-05
1.3177044300762262,0.001,1.9952623149688786e-05,1.9952623149688786e-08,0.002412233524818116,0.0009317310704537371,0.2802214999726184,0.9990682689295463,-0.26509428636166943,0.4706404813620346,0.9999572938937655,0.2802609396247121,7.248833542531258e-05,-0.26671620167777255,0.0006961317976788877,0.4706395167920172,6.848593894993766e-05
1.3177044300762262,0.001,2.1379620895022323e-05,2.1379620895022322e-08,0.0024122362004579748,0.0009317299069899555,0.2802209159410152,0.99906827009301,-0.2650886840438067,0.47064103300216475,0.9999572960114853,0.2802603556476818,7.248828458800929e-05,-0.2667105922744745,0.0006961288612452122,0.47064006840433587,6.848596229574638e-05
1.3177044300762262,0.001,2.2908676527677746e-05,2.2908676527677746e-08,0.0024122390674558014,0.0009317286603210314,0.2802202901417822,0.999068271339679,-0.26508268109219535,0.47064162409405275,0.9999572982806598,0.2802597299069348,7.248823011476928e-05,-0.2667045817308349,0.0006961257148207416,0.47064065946641354,6.848598731105033e-05
1.3177044300762262,0.001,2.4547089156850286e-05,2.4547089156850285e-08,0.0024122421394971003,0.0009317273244968991,0.280219619588029,0.9990682726755031,-0.26507624885992187,0.47064225745907046,0.9999573007121091,0.28025905941583784,7.248817174553929e-05,-0.26669814136349734,0.0006961223433901516,0.4706412927995006,6.848601411522394e-05
1.3177044300762262,0.001,2.6302679918953814e-05,2.6302679918953814e-08,0.00241224543124611,0.0009317258931421166,0.2802189010792649,0.9990682741068578,-0.26506935665192977,0.4706429361203679,0.9999573033174409,0.2802583409742059,7.248810920166633e-05,-0.26669124043865167,0.0006961187308647342,0.47064197142658837,6.848604283617533e-05
1.3177044300762262,0.001,2.818382931264455e-05,2.8183829312644547e-08,0.0024122489584157926,0.0009317243594253371,0.28021813118613004,0.9990682756405747,-0.2650619715786975,0.4706436633172981,0.999957306109108,0.2802575711530202,7.248804218456505e-05,-0.2666838460253762,0.0006961148600056147,0.47064269858684693,6.848607361095564e-05
1.3177044300762262,0.001,3.0199517204020192e-05,3.0199517204020194e-08,0.0024122527378428386,0.0009317227160268446,0.28021730623410984,0.9990682772839732,-0.2650540584001575,0.47064444252080456,0.9999573091004114,0.28025674627808383,7.24879703742941e-05,-0.2666759228387893,0.0006961107123416543,0.47064347775106896,6.848610658641285e-05
1.3177044300762262,0.001,3.235936569296281e-05,3.235936569296281e-08,0.0024122567875680223,0.0009317209551035278,0.280216422285903,0.9990682790448965,-0.2650455793567412,0.47064527745007984,0.9999573123056452,0.2802558624124779,7.24878934280259e-05,-0.2666674330717065,0.0006961062680813127,0.47064431263824597,6.848614191989141e-05
1.3177044300762262,0.001,3.467368504525317e-05,3.467368504525317e-08,0.002412261126922305,0.0009317190682515923,0.2802154751227243,0.9990682809317484,-0.2650364939902201,0.4706461720902319,0.999957315740107,0.2802549153378017,7.248781097841197e-05,-0.2666583362146373,0.0006961015060184256,0.47064520723329417,6.848617977998179e-05
1.3177044300762262,0.001,3.715352290971728e-05,3.715352290971728e-08,0.002412265776619103,0.0009317170464663856,0.2802144602241107,0.9990682829535336,-0.265026758950226,0.470647130711365,0.9999573194201871,0.2802539005340329,7.248772263182674e-05,-0.26664858886256754,0.0006960964034310525,0.47064616580608476,6.84862203473243e-05
1.3177044300762262,0.001,3.9810717055349695e-05,3.9810717055349696e-08,0.0024122707588531455,0.0009317148800994915,0.28021337274644464,0.9990682851199005,-0.2650163277885065,0.4706481578888719,0.999957323363437,0.28025281315797657,7.248762796648803e-05,-0.2666381445082117,0.0006960909359732439,0.4706471929318084,6.848626381546918e-05
1.3177044300762262,0.001,4.265795188015926e-05,4.265795188015926e-08,0.0024122760974063977,0.0009317125588127722,0.2802122074997515,0.9990682874411873,-0.2650051507366429,0.4706492585253597,0.999957327588689,0.28025164802017205,7.248752653044414e-05,-0.2666269533204892,0.0006960850775590826,0.4706482935127973,6.848631039179925e-05
1.3177044300762262,0.001,4.5708818961487516e-05,4.570881896148752e-08,0.002412281817761568,0.0009317100715290201,0.2802109589230536,0.999068289928471,-0.2649931744700036,0.47065043787393795,0.9999573321161068,0.2802503995601352,7.248741783941331e-05,-0.26661496190707584,0.0006960788002383692,0.4706494728019209,6.848636029851667e-05
1.3177044300762262,0.001,4.897788193684456e-05,4.897788193684456e-08,0.0024122879472237243,0.0009317074063791622,0.28020962105775704,0.9990682925936208,-0.2649803418528365,0.47065170156336855,0.9999573369672986,0.28024906181984466,7.248730137447185e-05,-0.26660211306011583,0.0006960720740635095,0.4706507364276422,6.8486413773702e-05
1.3177044300762262,0.001,5.248074602497723e-05,5.248074602497723e-08,0.002412294515050604,0.0009317045506456955,0.28020818751928916,0.9990682954493543,-0.2649665916666839,0.4706530556248679,0.9999573421653939,0.2802476284153328,7.248717657957506e-05,-0.2665883454838068,0.0006960648669469041,0.4706520904208655,6.848647107244717e-05
1.3177044300762262,0.001,5.623413251903491e-05,5.6234132519034905e-08,0.002412301552592243,0.0009317014907021049,0.280206651466683,0.9990682985092979,-0.2649518583191415,0.4706545065208517,0.9999573477352403,0.2802460925062513,7.248704285890238e-05,-0.26657359350259713,0.0006960571445081929,0.4706535412436996,6.848653246807017e-05
1.3177044300762262,0.001,6.0255958607435806e-05,6.025595860743581e-08,0.002412309093440591,0.0009316982119478086,0.2802050055698928,0.9990683017880522,-0.2649360715309492,0.4706560611758241,0.999957353703388,0.2802444467632453,7.24868995740087e-05,-0.2665577867483991,0.0006960488699105021,0.4706550958202942,6.848659825341551e-05
1.3177044300762262,0.001,6.456542290346549e-05,6.456542290346549e-08,0.0024123171735898072,0.0009316946987387526,0.28020324197489194,0.9990683053012612,-0.264919156001892,0.470657727009365,0.9999573600983515,0.2802426833330353,7.248674604077795e-05,-0.266540849825899,0.0006960400036852446,0.470656761569842,6.848666874224782e-05
