trial,sigma,alpha,lam,kappa
0,1.3177044300762262,3.311311214825908,0.0033113112148259,0.0071699185739953
0,4.166947281934956,12.30268770812381,0.0123026877081238,0.0176724164225175
0,13.177044300762262,39.81071705534969,0.0398107170553496,0.0470708953309422
0,41.66947281934956,112.2018454301963,0.1122018454301963,0.1214492539872679
1,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
1,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
1,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
1,41.66947281934956,181.97008586099827,0.1819700858609982,0.1922171815590011
2,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
2,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
2,13.177044300762262,39.81071705534969,0.0398107170553496,0.0470708953309422
2,41.66947281934956,158.48931924611108,0.1584893192461111,0.1684467314998097
3,1.3177044300762262,3.311311214825908,0.0033113112148259,0.0071699185739953
3,4.166947281934956,15.135612484362072,0.015135612484362,0.0208046512743799
3,13.177044300762262,56.23413251903491,0.0562341325190349,0.0641295267014351
3,41.66947281934956,239.88329190194895,0.239883291901949,0.250719404999258
4,1.3177044300762262,2.511886431509577,0.0025118864315095,0.0061374390498427
4,4.166947281934956,10.0,0.01,0.0150865277740793
4,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
4,41.66947281934956,158.48931924611108,0.1584893192461111,0.1684467314998097
5,1.3177044300762262,3.090295432513592,0.0030902954325135,0.0068879449162997
5,4.166947281934956,10.715193052376048,0.010715193052376,0.0158943037819145
5,13.177044300762262,34.673685045253166,0.0346736850452531,0.0416887068570924
5,41.66947281934956,104.71285480508983,0.1047128548050898,0.1138207888318772
6,1.3177044300762262,3.311311214825908,0.0033113112148259,0.0071699185739953
6,4.166947281934956,13.182567385564074,0.013182567385564,0.0186502998192951
6,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
6,41.66947281934956,158.48931924611108,0.1584893192461111,0.1684467314998097
7,1.3177044300762262,2.511886431509577,0.0025118864315095,0.0061374390498427
7,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
7,13.177044300762262,39.81071705534969,0.0398107170553496,0.0470708953309422
7,41.66947281934956,147.91083881682073,0.1479108388168207,0.1577246113141497
8,1.3177044300762262,3.090295432513592,0.0030902954325135,0.0068879449162997
