pc,variance,mean_power,power_se,power_over_variance
1.000000000000000000e+00,1.606808213632476054e+03,2.926614826225497268e+01,nan,1.821384034133957663e-02
1.080000000000000000e+02,4.619893971368286856e+01,5.589328651525361735e+00,nan,1.209839162146389008e-01
2.150000000000000000e+02,2.746521493714223183e+01,2.034219684064987987e+00,nan,7.406531092950002781e-02
3.220000000000000000e+02,1.963077016282512233e+01,2.570436218867729661e+00,nan,1.309391428633490950e-01
4.290000000000000000e+02,1.494121057935210395e+01,3.373473587063535284e+00,nan,2.257831498423215066e-01
5.360000000000000000e+02,1.156994772924443282e+01,1.866954003501043680e+00,nan,1.613623541947465378e-01
6.430000000000000000e+02,8.632005686998663663e+00,9.815324703931360695e-01,nan,1.137085059931666337e-01
7.500000000000000000e+02,4.259535901438486150e+00,1.016830954188680636e+00,nan,2.387187190616909815e-01
