geometry_id,subject,unit,model,layer,score_hash,split_hash,seed_hash,n_total,n_pcs,n_train,config_path,cache_path,xtransform_path,readout_path
resnet50_robust__.layer4.Bottleneck2__800a8492b7,red_20250428-20250430,9,resnet50_robust,.layer4.Bottleneck2,f60b4bc475cb0b7c,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/red_20250428-20250430/red_20250428-20250430_resnet50_robust_Ch9_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/red_20250428-20250430/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_red_20250428-20250430_unit9_resnet50_robust.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_resnet50_robust_Ch09_Xtfmer_.layer4.Bottleneck2_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_resnet50_robust_Ch09_readout_.layer4.Bottleneck2_pca750_RidgeCV.pth
siglip2_vitb16__.trunk.blocks.Block11__efd32088a3,red_20250428-20250430,0,siglip2_vitb16,.trunk.blocks.Block11,3c14f8cf8fc7a734,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch0_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/red_20250428-20250430/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_red_20250428-20250430_unit0_siglip2_vitb16.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch00_Xtfmer_.trunk.blocks.Block11_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch00_readout_.trunk.blocks.Block11_pca750_RidgeCV.pth
siglip2_vitb16__.trunk.blocks.Block8__3e0fcbc0e7,red_20250428-20250430,15,siglip2_vitb16,.trunk.blocks.Block8,d9e081cd668572a3,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch15_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/red_20250428-20250430/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_red_20250428-20250430_unit15_siglip2_vitb16.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch15_Xtfmer_.trunk.blocks.Block8_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch15_readout_.trunk.blocks.Block8_pca750_RidgeCV.pth
siglip2_vitb16__.trunk.blocks.Block9__6648294970,red_20250428-20250430,19,siglip2_vitb16,.trunk.blocks.Block9,58a5b648b0725875,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch19_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/red_20250428-20250430/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_red_20250428-20250430_unit19_siglip2_vitb16.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch19_Xtfmer_.trunk.blocks.Block9_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch19_readout_.trunk.blocks.Block9_pca750_RidgeCV.pth
siglip2_vitb16__.trunk.blocks.Block7__9574be1a2b,red_20250428-20250430,2,siglip2_vitb16,.trunk.blocks.Block7,dec2d04bebbec3d9,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch2_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/red_20250428-20250430/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_red_20250428-20250430_unit2_siglip2_vitb16.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch02_Xtfmer_.trunk.blocks.Block7_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch02_readout_.trunk.blocks.Block7_pca750_RidgeCV.pth
siglip2_vitb16__.trunk.blocks.Block9__6648294970,red_20250428-20250430,9,siglip2_vitb16,.trunk.blocks.Block9,58a5b648b0725875,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch9_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/red_20250428-20250430/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_red_20250428-20250430_unit9_siglip2_vitb16.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch09_Xtfmer_.trunk.blocks.Block9_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/red_20250428-20250430/red_20250428-20250430_siglip2_vitb16_Ch09_readout_.trunk.blocks.Block9_pca750_RidgeCV.pth
AlexNet_training_seed_01__.classifier.ReLU4__cae3b3f8a4,three0_250426-250501,120,AlexNet_training_seed_01,.classifier.ReLU4,9ebe0631978a6f33,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch120_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/three0_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_three0_250426-250501_unit120_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch120_Xtfmer_.classifier.ReLU4_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch120_readout_.classifier.ReLU4_pca750_RidgeCV.pth
AlexNet_training_seed_01__.classifier.ReLU4__cae3b3f8a4,three0_250426-250501,168,AlexNet_training_seed_01,.classifier.ReLU4,9ebe0631978a6f33,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch168_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/three0_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_three0_250426-250501_unit168_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch168_Xtfmer_.classifier.ReLU4_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch168_readout_.classifier.ReLU4_pca750_RidgeCV.pth
AlexNet_training_seed_01__.features.MaxPool2d5__58a88f90ea,three0_250426-250501,204,AlexNet_training_seed_01,.features.MaxPool2d5,c56da27f74a5f1e0,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch204_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/three0_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_three0_250426-250501_unit204_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch204_Xtfmer_.features.MaxPool2d5_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch204_readout_.features.MaxPool2d5_pca750_RidgeCV.pth
AlexNet_training_seed_01__.classifier.ReLU4__cae3b3f8a4,three0_250426-250501,56,AlexNet_training_seed_01,.classifier.ReLU4,9ebe0631978a6f33,7b6cbcd0c0a40cca,7be36c1d802686b3,969,750,774,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/accentuation_configs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch56_accentuation_config.yaml,/n/holylabs/LABS/alvarez_lab/Lab/VVS_Accentuation/Encoding_models/three0_250426-250501/posthoc_model_predict_PCA_popul_unit/posthoc_prediction_NSDencimg_PCA_pop_unit_three0_250426-250501_unit56_AlexNet_training_seed_01.pkl,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch56_Xtfmer_.classifier.ReLU4_pca750_RidgeCV_JITscript.pt,/n/holylabs/LABS/alvarez_lab/Everyone/Accentuate_VVS/Encoding_model_outputs/three0_250426-250501/three0_250426-250501_AlexNet_training_seed_01_Ch56_readout_.classifier.ReLU4_pca750_RidgeCV.pth
