model,noise_255,metric,mean,subject_sd,subject_sem,subject_min,subject_max,n_subjects
AlexNet_training_seed_01,0.5,raw_energy,259.1931475024454,146.05900361567984,65.31957216210954,3.178485312763078,360.787620023881,5
AlexNet_training_seed_01,0.5,trace_df2_050,22259.90263363377,8628.282573434166,3858.6852726551238,9831.323271570298,32409.935957616493,5
AlexNet_training_seed_01,0.5,unregularized_trace,78263.56797875647,33491.453564002484,14977.83336687743,27045.354762284947,111477.30820980761,5
AlexNet_training_seed_01,2.0,raw_energy,221.94134421779418,126.01682958940887,56.35643945418503,2.608609573474678,318.8053472611903,5
AlexNet_training_seed_01,2.0,trace_df2_050,17204.554866348535,6571.008290401149,2938.6442436103293,7770.868222504109,24943.340801122984,5
AlexNet_training_seed_01,2.0,unregularized_trace,60257.675114044876,25473.395921032454,11392.048979438885,21297.659788019595,85462.81751970676,5
AlexNet_training_seed_01,8.0,raw_energy,145.67675798232136,86.32732921406755,38.60675528773171,1.4751294051039077,233.07806533386588,5
AlexNet_training_seed_01,8.0,trace_df2_050,8036.195864243741,2904.2519036477815,1298.8209360679218,3880.681451777163,11462.06861887246,5
AlexNet_training_seed_01,8.0,unregularized_trace,27723.36759768874,11300.175250664603,5053.592003629355,10492.77671207001,39006.5512969021,5
AlexNet_training_seed_01,16.0,raw_energy,98.18131550828363,62.52024314794546,27.9599027297243,0.8558675966190704,175.21589407720614,5
AlexNet_training_seed_01,16.0,trace_df2_050,3859.165627976877,1309.8911711230924,585.8011403516089,1978.765681755178,5401.794808819893,5
AlexNet_training_seed_01,16.0,unregularized_trace,13069.871522888912,5141.039294430302,2299.1426674687423,5267.043299693152,18308.958758214983,5
clipag_vitb32,0.5,raw_energy,106.29400322040915,25.036189037366363,11.19652411701724,87.69938437528909,137.00102964363992,5
clipag_vitb32,0.5,trace_df2_050,61.379968575566025,32.06920475711412,14.34178436425336,28.281479913587155,104.88456945456008,5
clipag_vitb32,0.5,unregularized_trace,142.86212809761895,77.72041252572005,34.75762512936723,63.155628075259386,249.17487382011907,5
clipag_vitb32,2.0,raw_energy,106.12477744354308,24.984888623720835,11.17358187458019,87.56700415983796,136.76872188735754,5
clipag_vitb32,2.0,trace_df2_050,61.292281167938356,32.026715879992864,14.322782760747206,28.236015026755034,104.73401334929994,5
clipag_vitb32,2.0,unregularized_trace,142.66285115514881,77.62068517427024,34.71302570195567,63.05450228210338,248.82661690653077,5
clipag_vitb32,8.0,raw_energy,103.54185630089789,23.93794699619665,10.705375345056522,85.68701801422984,132.92236486945302,5
clipag_vitb32,8.0,trace_df2_050,60.089432698175905,31.523450852557172,14.097715798338307,27.540138957113076,102.79526225505626,5
clipag_vitb32,8.0,unregularized_trace,139.941612668711,76.4174021017394,34.17490115268492,61.5328219407836,244.32965006294532,5
clipag_vitb32,16.0,raw_energy,99.52367075193673,23.24065786379303,10.393538165051252,82.29177402503788,128.2056032235548,5
clipag_vitb32,16.0,trace_df2_050,57.65985162724771,30.203455559252806,13.507395957176639,26.515952126238794,98.53461092657965,5
clipag_vitb32,16.0,unregularized_trace,134.41219630937582,73.30857815132022,32.784592816041574,59.27543927772476,234.43418461095223,5
dinov2_vitb14_reg,0.5,raw_energy,7152453.465150446,10433744.00946494,4666112.172998963,62241.20620769501,23520888.66980957,5
dinov2_vitb14_reg,0.5,trace_df2_050,6358.964264670287,211.39396643834243,94.53825579788855,6147.142099252632,6684.631275782421,5
dinov2_vitb14_reg,0.5,unregularized_trace,13539.507583163078,354.76416632749283,158.65535837786317,13174.385868224022,14048.333947279734,5
dinov2_vitb14_reg,2.0,raw_energy,2365065.7022157297,3446321.6655271854,1541241.903289816,22234.086787843706,7760633.477922058,5
dinov2_vitb14_reg,2.0,trace_df2_050,2079.3058865883386,128.1537817328827,57.3121135056793,1934.4538966350513,2237.7717941597684,5
dinov2_vitb14_reg,2.0,unregularized_trace,4405.227507927683,337.0373614183309,150.72769021771057,4041.652332020408,4832.045572799342,5
dinov2_vitb14_reg,8.0,raw_energy,456919.4143681388,666359.8151243923,298005.1688184667,4048.10627717495,1498167.600050316,5
dinov2_vitb14_reg,8.0,trace_df2_050,363.6389626689147,35.70426914464853,15.967434578876476,326.59576567008787,410.8981377788511,5
dinov2_vitb14_reg,8.0,unregularized_trace,768.1790074303892,92.15977254576957,41.21510324065193,672.9079645050687,888.1313785723116,5
dinov2_vitb14_reg,16.0,raw_energy,166782.36832667392,243113.22461768516,108723.53929486386,1511.4649574947357,546461.3513478375,5
dinov2_vitb14_reg,16.0,trace_df2_050,132.45328002222723,15.854315749739767,7.090265550632733,116.45183906314391,153.7842390493747,5
dinov2_vitb14_reg,16.0,unregularized_trace,279.0621792747732,40.053360534780815,17.912407376615445,237.50895568827858,332.07267418963056,5
radio_v2.5-b,0.5,raw_energy,58043.82892315388,39696.120457561774,17752.644757225637,12539.97982861042,107446.53113035201,5
radio_v2.5-b,0.5,trace_df2_050,3957.893973284869,207.54589288794082,92.81734498966516,3622.201175665244,4133.1859295964205,5
radio_v2.5-b,0.5,unregularized_trace,8632.096613562728,523.3412606176657,234.04532683430685,7839.681976356433,9102.52037066357,5
radio_v2.5-b,2.0,raw_energy,29570.934181978228,20120.32619932344,8998.08342223144,6590.757483608722,54549.12635336876,5
radio_v2.5-b,2.0,trace_df2_050,2018.214533670848,78.14710388141611,34.94844730471682,1890.539686903975,2096.573389760767,5
radio_v2.5-b,2.0,unregularized_trace,4365.050409173522,190.44187586210407,85.16819603804821,4069.504843884883,4567.277222611544,5
radio_v2.5-b,8.0,raw_energy,6788.00414485848,4571.905547263754,2044.6183180780263,1608.4255540949107,12583.556104118825,5
radio_v2.5-b,8.0,trace_df2_050,457.6894387776986,9.809708054705252,4.387034809949634,441.38494577922296,467.3235780924447,5
radio_v2.5-b,8.0,unregularized_trace,978.8727452511284,22.936143221808678,10.257355077127048,942.981516959328,1004.7696873848442,5
radio_v2.5-b,16.0,raw_energy,2781.6387255505024,1909.7064667836676,854.046695359845,638.7157305137813,5232.047313759923,5
radio_v2.5-b,16.0,trace_df2_050,179.07450284141163,7.486877816650206,3.348233547453013,168.88405041349674,188.53646253566697,5
radio_v2.5-b,16.0,unregularized_trace,379.16676269243254,19.561550449076513,8.748191309885325,354.32244783385204,402.3649076100555,5
regnety_640,0.5,raw_energy,59794.0723208704,24412.554001286368,10917.626050252162,32812.01655843973,81023.80243947983,5
regnety_640,0.5,trace_df2_050,6472.559884827522,1411.001022792166,631.0188406570027,4904.739578641088,7950.889269342684,5
regnety_640,0.5,unregularized_trace,13499.937890992744,2885.3918977166873,1290.3864850043265,10302.503454317037,16552.618360292712,5
regnety_640,2.0,raw_energy,13610.272655783654,5547.462956110195,2480.9008545048655,7474.772062622905,18494.82439922333,5
regnety_640,2.0,trace_df2_050,1484.061952049085,305.1395886510698,136.46257257002307,1145.7009070538888,1813.6799148003684,5
regnety_640,2.0,unregularized_trace,3093.8423128397035,626.3192421064731,280.0984801932445,2401.479434722023,3777.616133162089,5
regnety_640,8.0,raw_energy,1875.7857221632971,720.1420174789954,322.05730090737507,1074.5388518584614,2494.5429195405914,5
regnety_640,8.0,trace_df2_050,205.92071887107494,34.56740049694184,15.459011463324394,167.1062450951426,244.08626069894672,5
regnety_640,8.0,unregularized_trace,428.6907602139926,70.72527758294264,31.629305680600353,349.64021988911355,508.02765031750477,5
regnety_640,16.0,raw_energy,644.5665024324911,232.839424338744,104.12895613267013,385.03132468123454,840.5437257192284,5
regnety_640,16.0,trace_df2_050,71.59204464333631,9.064941738827846,4.053965188018841,61.34210085399215,82.14561850871081,5
regnety_640,16.0,unregularized_trace,148.5938577276167,18.55518212492069,8.298129713242332,127.74427942611581,170.5814008451758,5
resnet50,0.5,raw_energy,150577.39262767887,157920.06954282027,70624.00210184806,23177.438429989816,413006.54496833327,5
resnet50,0.5,trace_df2_050,5306.448161209819,1590.5481846208227,711.314772460209,3111.0390502011724,6811.727660416401,5
resnet50,0.5,unregularized_trace,11372.523659178016,3411.3516468374564,1525.6028354968817,6543.140693348192,14506.487006525029,5
resnet50,2.0,raw_energy,64180.49388833499,70777.01710248682,31652.444297165144,9789.668044506312,183948.48994464398,5
resnet50,2.0,trace_df2_050,2203.3890833075834,611.4280876180171,273.43895345331674,1328.0806845555867,2719.7035327623244,5
resnet50,2.0,unregularized_trace,4719.040155419769,1305.8633287811715,583.9998344957714,2801.13138586058,5778.473570460916,5
resnet50,8.0,raw_energy,14483.340942480543,17476.845611951605,7815.88296411854,2127.6396201148627,44684.50304782528,5
resnet50,8.0,trace_df2_050,463.387793022865,122.97736092392309,54.99714774388367,290.62473450927496,583.4161001356712,5
resnet50,8.0,unregularized_trace,989.7506268315956,260.66151388050497,116.57137283096282,612.4972587540497,1245.5227865704817,5
resnet50,16.0,raw_energy,5601.636540415822,7477.770735294484,3344.1607368554105,735.4258197519183,18703.676827703854,5
resnet50,16.0,trace_df2_050,161.1975094901425,48.31050447668269,21.605114407434076,100.4220762658207,223.8603966823699,5
resnet50,16.0,unregularized_trace,343.2812206924235,100.9249094408774,45.13499162656243,211.34633467197128,472.9645470540217,5
resnet50_clip,0.5,raw_energy,919508.359940979,253662.02764651825,113441.10742560917,685217.2259414673,1298178.6491361998,5
resnet50_clip,0.5,trace_df2_050,20765.202431937418,1853.8681999709986,829.0750632920652,19081.36330069919,23595.326535200533,5
resnet50_clip,0.5,unregularized_trace,45584.697035245204,4117.33169305287,1841.3267103161031,41415.943603280146,52022.95761664818,5
resnet50_clip,2.0,raw_energy,145799.80372257775,38212.10905066794,17088.974680185696,100006.82525469392,203552.49153456092,5
resnet50_clip,2.0,trace_df2_050,3074.0422428957636,184.81983298585055,82.65394202930396,2866.4874581634217,3273.071557888486,5
resnet50_clip,2.0,unregularized_trace,6698.659806360833,367.38502390234055,164.2995774722037,6369.251377085456,7134.265414889616,5
resnet50_clip,8.0,raw_energy,17821.19327626936,5077.067293551649,2270.533518944473,11415.319976056162,24975.063498874457,5
resnet50_clip,8.0,trace_df2_050,348.78075973060675,37.80124993212579,16.905232896538518,306.87670229444603,398.0657412668806,5
resnet50_clip,8.0,unregularized_trace,750.6256251095821,74.49496348862473,33.315160468385955,676.6552021711386,850.8277117226238,5
resnet50_clip,16.0,raw_energy,5291.910180442497,1473.240045864581,658.8529779456221,3268.9972553641724,7245.28853159681,5
resnet50_clip,16.0,trace_df2_050,99.99202233625796,9.061413316814615,4.0523872297238634,88.96201248861084,112.0400863901801,5
resnet50_clip,16.0,unregularized_trace,213.90847199555688,16.19780521975161,7.243878711533104,192.11706241266728,235.8126287625806,5
resnet50_dino,0.5,raw_energy,555422.5891558991,307135.1184150551,137355.00061070215,200623.43255935668,813062.0818589783,5
resnet50_dino,0.5,trace_df2_050,7037.837808451348,972.4781385034398,434.90544486522936,5930.579109406874,8462.408393050837,5
resnet50_dino,0.5,unregularized_trace,15503.621989993571,2228.9167466585727,996.8018723432492,12968.973553202602,18761.127881766708,5
resnet50_dino,2.0,raw_energy,141133.6186267967,74275.84901058918,33217.16949483758,54954.98172006607,205985.0738615036,5
resnet50_dino,2.0,trace_df2_050,1848.1516061008763,213.53475479574587,95.49564545640739,1625.656304959738,2186.1277249297063,5
resnet50_dino,2.0,unregularized_trace,4071.4851724349364,497.4564565368408,222.46929053250912,3548.680051030092,4853.662843856897,5
resnet50_dino,8.0,raw_energy,21130.674082345322,11035.275063571251,4935.125038510726,8305.161648643501,31044.69114139676,5
resnet50_dino,8.0,trace_df2_050,279.558878875345,32.16160833497951,14.383108500547603,246.78079747090692,330.49200895918256,5
resnet50_dino,8.0,unregularized_trace,614.0189057121743,73.52104970079913,32.879612981625485,538.8565899067876,730.3346307754421,5
resnet50_dino,16.0,raw_energy,7003.390495511629,3605.043273422699,1612.2243642403032,2821.3278497308493,10284.163481480851,5
resnet50_dino,16.0,trace_df2_050,92.6573089932174,9.68069367253163,4.329337824226563,83.39605052941772,108.2979523148636,5
resnet50_dino,16.0,unregularized_trace,202.73109477070233,22.143011066531706,9.902655594259002,181.39640329464518,238.49385103277734,5
resnet50_robust,0.5,raw_energy,1925.2545114882887,1006.5744627944791,450.15378464475765,765.8942664402723,2891.141381277442,5
