model,subject,value,metric
resnet50_clip,three0_250426-250501,205480.4096910729,unregularized_trace
resnet50_clip,venus_250426-250429,173532.1288137109,unregularized_trace
resnet50_dino,leap_250426-250501,43545.344445259216,unregularized_trace
resnet50_dino,paul_20250428-20250430,28923.00469536017,unregularized_trace
resnet50_dino,red_20250428-20250430,31292.66701410919,unregularized_trace
resnet50_dino,three0_250426-250501,38377.70722539361,unregularized_trace
resnet50_dino,venus_250426-250429,36717.696430336655,unregularized_trace
resnet50_robust,leap_250426-250501,106.58861454309341,unregularized_trace
resnet50_robust,paul_20250428-20250430,98.48752219145295,unregularized_trace
resnet50_robust,red_20250428-20250430,92.65848561403702,unregularized_trace
resnet50_robust,three0_250426-250501,91.37097827929244,unregularized_trace
resnet50_robust,venus_250426-250429,86.90373567640881,unregularized_trace
siglip2_vitb16,leap_250426-250501,9852.712970045219,unregularized_trace
siglip2_vitb16,paul_20250428-20250430,18001.006963515796,unregularized_trace
siglip2_vitb16,red_20250428-20250430,17890.473969787214,unregularized_trace
siglip2_vitb16,three0_250426-250501,16858.88454512149,unregularized_trace
siglip2_vitb16,venus_250426-250429,12713.328476989653,unregularized_trace
AlexNet_training_seed_01,leap_250426-250501,2734.3103674916197,trace_df2_010
AlexNet_training_seed_01,paul_20250428-20250430,2695.650817239447,trace_df2_010
AlexNet_training_seed_01,red_20250428-20250430,1023.9519372848657,trace_df2_010
AlexNet_training_seed_01,three0_250426-250501,3204.7790655666627,trace_df2_010
AlexNet_training_seed_01,venus_250426-250429,1467.6781314988682,trace_df2_010
clipag_vitb32,leap_250426-250501,14.470079326402105,trace_df2_010
clipag_vitb32,paul_20250428-20250430,4.870873013814265,trace_df2_010
clipag_vitb32,red_20250428-20250430,4.487198334481159,trace_df2_010
clipag_vitb32,three0_250426-250501,10.176893390017193,trace_df2_010
clipag_vitb32,venus_250426-250429,10.176893390017193,trace_df2_010
dinov2_vitb14_reg,leap_250426-250501,1255.714709715523,trace_df2_010
dinov2_vitb14_reg,paul_20250428-20250430,1499.9894319442608,trace_df2_010
dinov2_vitb14_reg,red_20250428-20250430,1643.625600940827,trace_df2_010
dinov2_vitb14_reg,three0_250426-250501,1332.8942387819727,trace_df2_010
dinov2_vitb14_reg,venus_250426-250429,1385.3847157121315,trace_df2_010
radio_v2.5-b,leap_250426-250501,665.0766153225611,trace_df2_010
radio_v2.5-b,paul_20250428-20250430,775.8446607666261,trace_df2_010
radio_v2.5-b,red_20250428-20250430,757.3120580112875,trace_df2_010
radio_v2.5-b,three0_250426-250501,755.928193399166,trace_df2_010
radio_v2.5-b,venus_250426-250429,730.4135804792618,trace_df2_010
regnety_640,leap_250426-250501,2736.9476607455554,trace_df2_010
regnety_640,paul_20250428-20250430,1742.7050723730708,trace_df2_010
regnety_640,red_20250428-20250430,1709.057867007116,trace_df2_010
regnety_640,three0_250426-250501,2550.273208824207,trace_df2_010
regnety_640,venus_250426-250429,2493.580517383971,trace_df2_010
resnet50,leap_250426-250501,1349.0442325225633,trace_df2_010
resnet50,paul_20250428-20250430,2140.8656644898165,trace_df2_010
resnet50,red_20250428-20250430,2686.581709516365,trace_df2_010
resnet50,three0_250426-250501,2427.918271478916,trace_df2_010
resnet50,venus_250426-250429,1117.7709495900651,trace_df2_010
resnet50_clip,leap_250426-250501,9799.619701587431,trace_df2_010
resnet50_clip,paul_20250428-20250430,14923.092532024912,trace_df2_010
resnet50_clip,red_20250428-20250430,13494.868750630207,trace_df2_010
resnet50_clip,three0_250426-250501,14892.258022679947,trace_df2_010
resnet50_clip,venus_250426-250429,12896.865485943837,trace_df2_010
resnet50_dino,leap_250426-250501,3181.3997823074214,trace_df2_010
resnet50_dino,paul_20250428-20250430,2378.0611124161082,trace_df2_010
resnet50_dino,red_20250428-20250430,2540.629563659959,trace_df2_010
resnet50_dino,three0_250426-250501,2786.4261370863387,trace_df2_010
resnet50_dino,venus_250426-250429,2700.209516096049,trace_df2_010
resnet50_robust,leap_250426-250501,7.4559391213460104,trace_df2_010
resnet50_robust,paul_20250428-20250430,7.0014001301862665,trace_df2_010
resnet50_robust,red_20250428-20250430,6.659945815867108,trace_df2_010
resnet50_robust,three0_250426-250501,6.558586222485844,trace_df2_010
resnet50_robust,venus_250426-250429,6.473410164497116,trace_df2_010
siglip2_vitb16,leap_250426-250501,437.4915502966958,trace_df2_010
siglip2_vitb16,paul_20250428-20250430,2332.811277683977,trace_df2_010
siglip2_vitb16,red_20250428-20250430,2327.7367256714806,trace_df2_010
siglip2_vitb16,three0_250426-250501,1535.172900176744,trace_df2_010
siglip2_vitb16,venus_250426-250429,831.3505546298652,trace_df2_010
AlexNet_training_seed_01,leap_250426-250501,9967.746023776588,trace_df2_025
AlexNet_training_seed_01,paul_20250428-20250430,10588.118561001493,trace_df2_025
AlexNet_training_seed_01,red_20250428-20250430,4008.7942339624733,trace_df2_025
AlexNet_training_seed_01,three0_250426-250501,12606.471319418331,trace_df2_025
AlexNet_training_seed_01,venus_250426-250429,6121.628731201964,trace_df2_025
clipag_vitb32,leap_250426-250501,44.84612318655639,trace_df2_025
clipag_vitb32,paul_20250428-20250430,14.003958764514648,trace_df2_025
clipag_vitb32,red_20250428-20250430,12.828230462045248,trace_df2_025
clipag_vitb32,three0_250426-250501,31.01638017532811,trace_df2_025
clipag_vitb32,venus_250426-250429,31.01638017532811,trace_df2_025
dinov2_vitb14_reg,leap_250426-250501,3469.1946997658833,trace_df2_025
dinov2_vitb14_reg,paul_20250428-20250430,4032.6317556611366,trace_df2_025
dinov2_vitb14_reg,red_20250428-20250430,4417.462893691747,trace_df2_025
dinov2_vitb14_reg,three0_250426-250501,3630.8595351211593,trace_df2_025
dinov2_vitb14_reg,venus_250426-250429,3756.83120243911,trace_df2_025
radio_v2.5-b,leap_250426-250501,1841.6698481873389,trace_df2_025
radio_v2.5-b,paul_20250428-20250430,2154.200290923233,trace_df2_025
radio_v2.5-b,red_20250428-20250430,2102.217626818705,trace_df2_025
radio_v2.5-b,three0_250426-250501,2118.784336888388,trace_df2_025
radio_v2.5-b,venus_250426-250429,2008.8412467894639,trace_df2_025
regnety_640,leap_250426-250501,7238.012728923483,trace_df2_025
regnety_640,paul_20250428-20250430,4663.365384153487,trace_df2_025
regnety_640,red_20250428-20250430,4573.998745619123,trace_df2_025
regnety_640,three0_250426-250501,6739.667720882767,trace_df2_025
regnety_640,venus_250426-250429,6576.503803308309,trace_df2_025
