model,metric,noise_255,mean_ratio,subject_sd_ratio,subject_sem_ratio,subject_min_ratio,subject_max_ratio,n_subjects
AlexNet_training_seed_01,neighborhood,0.5,0.9956290601569799,0.002040134677042299,0.0009123759642242319,0.9939103143369106,0.9990850348227476,5
AlexNet_training_seed_01,neighborhood,2.0,0.9982902848468186,0.0015158653848371972,0.0006779156090469704,0.9970786277975572,1.0009287917584166,5
AlexNet_training_seed_01,neighborhood,8.0,1.0181052873375482,0.0017570812543521055,0.0007857906253443813,1.0165892690776412,1.0210365573209763,5
AlexNet_training_seed_01,neighborhood,16.0,1.050717962706609,0.004588050019681895,0.002051838345635593,1.0462429713540764,1.057653960028396,5
AlexNet_training_seed_01,smooth,0.5,0.8955568262143613,0.005707006637900827,0.0025522509580777554,0.8913438088824032,0.905551662494212,5
AlexNet_training_seed_01,smooth,2.0,0.6942688204104407,0.012159625851138025,0.005437949996821672,0.6859961841640088,0.7157655631425569,5
AlexNet_training_seed_01,smooth,8.0,0.32760451193869455,0.017070930584254494,0.00763435224511465,0.3152318447582826,0.3574450196780039,5
AlexNet_training_seed_01,smooth,16.0,0.15894342911087825,0.013544835716312013,0.0060574346811481435,0.14856111921946583,0.18226178748302813,5
AlexNet_training_seed_01,step,0.5,0.9502583322390421,0.004351669417660154,0.0019461257266990054,0.9466801351413238,0.9577047596274572,5
AlexNet_training_seed_01,step,2.0,0.868084545657066,0.010936499605857073,0.004890951310919214,0.8587003900215461,0.8863020372144538,5
AlexNet_training_seed_01,step,8.0,0.6968709171434131,0.029139582970685182,0.013031617671689467,0.6709359321445884,0.7445936191501991,5
AlexNet_training_seed_01,step,16.0,0.5854649585091223,0.04481235060739277,0.020040692437936845,0.5421268569961266,0.655935493064172,5
AlexNet_training_seed_01,variance,0.5,0.9278563653557482,0.004424712420018241,0.0019787915504096776,0.924550604643349,0.9355944142123329,5
AlexNet_training_seed_01,variance,2.0,0.7840846788235388,0.009338001018726548,0.00417608101036697,0.7775416089747352,0.8005453237128509,5
AlexNet_training_seed_01,variance,8.0,0.48816748734169935,0.016820079963012803,0.007522168436855755,0.4762218925187962,0.5177038088359381,5
AlexNet_training_seed_01,variance,16.0,0.32070019958521295,0.01837175921945205,0.008216100496190653,0.3066275123341771,0.3524339053272491,5
clipag_vitb32,neighborhood,0.5,0.9933530388387964,0.00312919975644413,0.001399420674116972,0.9910052670868409,0.9972243819693957,5
clipag_vitb32,neighborhood,2.0,0.9961688558873234,0.0038729061358414637,0.0017320162780435095,0.9932451835028993,1.0009376380569508,5
clipag_vitb32,neighborhood,8.0,1.0290384640810735,0.01378124349730476,0.006163159454890076,1.017551351024785,1.0457745979857365,5
clipag_vitb32,neighborhood,16.0,1.0827303324608377,0.04199149356695979,0.01877916681849344,1.0504309188720575,1.137021421622477,5
clipag_vitb32,smooth,0.5,0.993059292894378,0.0030705080939631736,0.0013731729647129935,0.9907297207639563,0.9968604911133206,5
clipag_vitb32,smooth,2.0,0.9915985907636202,0.0029406148443411034,0.001315082937518334,0.9893075820365975,0.9952579530016532,5
clipag_vitb32,smooth,8.0,0.9708825729141599,0.0005479054053114375,0.00024503074630318974,0.970015164548876,0.9713367691541834,5
clipag_vitb32,smooth,16.0,0.9319653101716894,0.0019110732396077376,0.0008546579347487289,0.9295973964247944,0.9346294868466465,5
clipag_vitb32,step,0.5,1.0291537308655045,0.016206259992690555,0.007247659800938266,1.0137938000165307,1.047964823935755,5
clipag_vitb32,step,2.0,1.5735939382636213,0.22197305561218303,0.09926936830443649,1.354297324539851,1.8266718161307485,5
clipag_vitb32,step,8.0,10.324252795998737,4.446488588378864,1.9885301489584444,5.91909653824913,15.318518963645529,5
clipag_vitb32,step,16.0,24.45230994098486,11.98094769809387,5.358042697561504,12.604310341208697,38.15666951512099,5
clipag_vitb32,variance,0.5,0.993243611023496,0.003100101910510318,0.0013864077218156082,0.9909114418892805,0.9970799486692469,5
clipag_vitb32,variance,2.0,0.9939328310744457,0.0033956424333388634,0.0015185774616456994,0.9914390448804251,0.9981357419308854,5
clipag_vitb32,variance,8.0,0.9995411725899599,0.0064001965287008526,0.002862254901506658,0.9941776023690585,1.007500756885167,5
clipag_vitb32,variance,16.0,1.0045066960432225,0.019918546779046593,0.008907844922191533,0.9893663758432572,1.0312977411683177,5
dinov2_vitb14_reg,neighborhood,0.5,0.9715767097165191,0.0062894054435842315,0.002812707621982312,0.966618804078509,0.9793226900842933,5
dinov2_vitb14_reg,neighborhood,2.0,0.5968770524491473,0.007817658196628547,0.003496163030503969,0.5878153035829785,0.6078842378328163,5
dinov2_vitb14_reg,neighborhood,8.0,0.15772270708549593,0.005245291795212635,0.0023457658031834716,0.15386610310593676,0.16602182829142598,5
dinov2_vitb14_reg,neighborhood,16.0,0.07381996701845311,0.0032842115976981848,0.0014687440769892667,0.07159780257890026,0.07921130255340575,5
dinov2_vitb14_reg,smooth,0.5,0.7802466717082074,0.04706734579105803,0.02104915694185887,0.7210274257218544,0.834188229466147,5
dinov2_vitb14_reg,smooth,2.0,0.2564355981978023,0.03510515831102693,0.015699504068869587,0.21331988270033825,0.29965462833787193,5
dinov2_vitb14_reg,smooth,8.0,0.04496346450335662,0.007887316681710683,0.003527315252074632,0.03551727220915186,0.055022379441097946,5
dinov2_vitb14_reg,smooth,16.0,0.016400639947934,0.0032303074849245857,0.0014446374249035502,0.012608735271441858,0.020592876859396474,5
dinov2_vitb14_reg,step,0.5,1.3985917992602586,0.18306251145333935,0.08186804394830012,1.1693508476276906,1.6014038163487085,5
dinov2_vitb14_reg,step,2.0,1.6567030449107272,0.5489174296085189,0.2454833373278208,0.977674276028022,2.238534823528632,5
dinov2_vitb14_reg,step,8.0,0.7238342937153261,0.2892840855828337,0.1293717760344166,0.3719608882859955,1.0471073160462603,5
dinov2_vitb14_reg,step,16.0,0.37651046965449225,0.1536107080882173,0.06869679707142613,0.19159044006372372,0.5552973387537073,5
dinov2_vitb14_reg,variance,0.5,0.8679327642743109,0.03233553759819502,0.01446089203171287,0.8287512909136252,0.9064121368037907,5
dinov2_vitb14_reg,variance,2.0,0.39288930741546924,0.040012967035643894,0.0178943428546316,0.34338823378934724,0.4414784297442672,5
dinov2_vitb14_reg,variance,8.0,0.08662343575203249,0.012053100323906055,0.005390310332775734,0.07218628927291636,0.10201220669657061,5
dinov2_vitb14_reg,variance,16.0,0.036435159454531935,0.005679592404096669,0.0025399909400103215,0.029891059223976127,0.04399049292143639,5
radio_v2.5-b,neighborhood,0.5,1.0222578915353626,0.020855873186123832,0.009327030034857603,1.002554228286143,1.0451495855882322,5
radio_v2.5-b,neighborhood,2.0,0.8675561028504353,0.0219172890911402,0.009801709658060813,0.8441028026239993,0.8989116203910879,5
radio_v2.5-b,neighborhood,8.0,0.31477162727971203,0.011752553821872493,0.00525590185098637,0.3065617086723568,0.33519774377224,5
radio_v2.5-b,neighborhood,16.0,0.17335707440110099,0.00703511233668068,0.0031461978828330774,0.16379240371928608,0.18116293049081783,5
radio_v2.5-b,smooth,0.5,0.8959822400017943,0.012520368667661541,0.005599279088849936,0.8856195880496698,0.9124898631949658,5
radio_v2.5-b,smooth,2.0,0.45729761425484955,0.015657647587071097,0.007002312874485306,0.43792577538990446,0.4762568992184247,5
radio_v2.5-b,smooth,8.0,0.10393498866774238,0.007906048158700715,0.0035356922232483686,0.09694218525593404,0.11604927167873935,5
radio_v2.5-b,smooth,16.0,0.04067965231819161,0.003640757933989611,0.0016281964460044926,0.03709231376945701,0.04630145853014485,5
radio_v2.5-b,step,0.5,1.3762473578861396,0.19289576491109894,0.08626560858260718,1.1826879725789223,1.6573031185478724,5
radio_v2.5-b,step,2.0,2.6837821311555747,0.7960990087445073,0.35602630007458363,1.8561486710895967,3.700213992478565,5
radio_v2.5-b,step,8.0,1.4640976503534027,0.4771346029493375,0.2133810813224181,0.9724846808740856,2.025286927724294,5
radio_v2.5-b,step,16.0,0.8246946722813432,0.23583158068886179,0.10546708913230432,0.5846770846811389,1.1011855949494833,5
radio_v2.5-b,variance,0.5,0.9607538128131485,0.014898990354689976,0.006663031045840098,0.9448621049977168,0.9810623393893029,5
radio_v2.5-b,variance,2.0,0.6330610493429257,0.019203190539259982,0.008587927886133233,0.6143827116134682,0.6622238227108084,5
radio_v2.5-b,variance,8.0,0.18321425041468714,0.01229129456810034,0.005496834037149256,0.17328305758266344,0.2029701090357602,5
radio_v2.5-b,variance,16.0,0.08434625802735736,0.005041622289996606,0.0022546820314621133,0.08022357953690668,0.09287573989610153,5
regnety_640,neighborhood,0.5,0.9662794033987883,0.00448146040311132,0.0020041700199661043,0.9606353301173672,0.9699176124437155,5
regnety_640,neighborhood,2.0,0.5205950967030522,0.009179639293635937,0.004105259493899621,0.513783708690077,0.5309212947451071,5
regnety_640,neighborhood,8.0,0.16011908383421936,0.01770220222632463,0.007916665505901997,0.1451828278640654,0.17965294405572754,5
regnety_640,neighborhood,16.0,0.08875354536848973,0.01675134728770926,0.007491430250004926,0.07457313900733648,0.10730368475196583,5
regnety_640,smooth,0.5,0.5199702327265718,0.007689304028703171,0.003438761301568657,0.5110114471746999,0.5280767962389857,5
regnety_640,smooth,2.0,0.11950092215821033,0.001207676943205753,0.0005400895479734433,0.11746151469850294,0.1204597682555772,5
regnety_640,smooth,8.0,0.01669388992786748,0.0007129561724999521,0.00031884369333759184,0.016154671346694495,0.017535632105264903,5
regnety_640,smooth,16.0,0.005847373821379537,0.000513730845585367,0.00022974741857346566,0.005428514667213401,0.006425571293830993,5
regnety_640,step,0.5,1.6607492283966454,0.03054991571512403,0.013662337649181287,1.6179788923328198,1.6965877988772449,5
regnety_640,step,2.0,1.2779433445855493,0.05358602837852876,0.023964400419724627,1.1994505854012907,1.3284077822716938,5
regnety_640,step,8.0,0.5166953192926342,0.07854840091044914,0.03512791279193413,0.4454840954180547,0.6037472986232387,5
regnety_640,step,16.0,0.2598921151724649,0.04427787985928497,0.019801669852986002,0.2202882331911715,0.30931685093872585,5
