policy,sigma,ratio,lam,acc_mc,acc_bias2,acc_variance,gen_mc,gen_de,acc_leading,acc_gaussian
fixed,0.0,0.0,0.1,0.10909896520566038,0.10897326965548118,0.0001256955501794578,0.0072577897365925,0.0072456539055468,0.1252433052270465,0.125503228170463
DE_gen_CV,0.0,0.0,9.999999999999997e-09,9.332336107608876e-13,8.791864004666079e-13,5.404721052518295e-14,6.012671695869858e-05,5.671668049584467e-05,6.9941207313275e-14,1.7686621350192525e-06
fixed,0.0416694728193495,1e-06,0.1,0.10909810591163054,0.10897211289141488,0.00012599302021563743,0.0072574361911329,0.0072456739473232,0.125240023635357,0.1254999724601327
DE_gen_CV,0.0416694728193495,1e-06,9.999999999999997e-09,5.037747870593467e-05,4.47998690129695e-05,5.577609692969787e-06,6.332750641066881e-05,5.759170300052749e-05,1.2616998951941883e-06,3.091206714878429e-06
fixed,0.0582976890378464,1.9573417814876616e-06,0.1,0.10909623346323795,0.10897011578926327,0.00012611767397472016,0.0072573056702441,0.0072456931341531,0.1252368820918594,0.1254968556924945
DE_gen_CV,0.0582976890378464,1.9573417814876616e-06,9.999999999999997e-09,0.00018803367717242517,0.0001678648603387302,2.0168816833730477e-05,6.643372380017994e-05,5.8429398604002337e-05,4.82453611259037e-06,6.713166220680778e-06
fixed,0.0815614001618772,3.831186849557285e-06,0.1,0.10909214964516513,0.1089658518895089,0.00012629775565601756,0.0072571331759551,0.0072457306893369,0.1252307331911687,0.1254907552825276
DE_gen_CV,0.0815614001618772,3.831186849557285e-06,9.999999999999997e-09,0.0006935843517702102,0.0006221290750821492,7.145527668810704e-05,7.253040018793822e-05,6.006905520885218e-05,1.840836322593558e-05,2.041519580747624e-05
fixed,0.1141085025179519,7.498942093324558e-06,0.1,0.10908357065528146,0.10895700984669893,0.00012656080858255037,0.0072569116384515,0.0072458041976673,0.1252186983562161,0.1254788153447898
DE_gen_CV,0.1141085025179519,7.498942093324558e-06,9.999999999999997e-09,0.002493054210679108,0.0022528250737951045,0.00024022913688405968,8.44871099379787e-05,6.327842358881698e-05,6.995422768225867e-05,7.22018910736043e-05
fixed,0.1596435362934769,1.4677992676220704e-05,0.1,0.10906596074574827,0.10893901021732771,0.00012695052842067033,0.0072566404334734,0.0072459480785937,0.1251951446195562,0.1254554472942676
DE_gen_CV,0.1596435362934769,1.4677992676220704e-05,9.999999999999997e-09,0.008537130799487418,0.007806596396437938,0.0007305344030495289,0.0001079232577083,6.956025441110739e-05,0.0002637747629957,0.0002665294188779
fixed,0.2233493396013774,2.8729848333536687e-05,0.1,0.10903035291155685,0.10890281482277689,0.00012753808878004813,0.0072563368258782,0.0072462297027424,0.1251490516695634,0.12540971756526
DE_gen_CV,0.2233493396013774,2.8729848333536687e-05,9.999999999999997e-09,0.02692169111131183,0.025046685055930575,0.0018750060553813376,0.0001538416700965,8.185594434381348e-05,0.0009798779344375,0.0009837521693195
fixed,0.312476963731664,5.623413251903491e-05,0.1,0.10895908154563111,0.10883063900758289,0.00012844253804825275,0.0072560604727824,0.0072467809374554,0.1250588694057997,0.1253202453682918
DE_gen_CV,0.312476963731664,5.623413251903491e-05,6.700884260858583e-05,0.008703583446776747,0.008655294672881883,4.8288773894912044e-05,0.0001493384252099,0.000105678536248,0.0027820999761966,0.0027881224566365
fixed,0.4371709942694524,0.0001100694171252,0.1,0.10881744895505195,0.10868758095789019,0.00012986799716203256,0.0072559643284359,0.0072478598921906,0.1248824950753978,0.1251452575165795
DE_gen_CV,0.4371709942694524,0.0001100694171252,0.0004249534679576,0.0046760245492732545,0.004653993393364317,2.203115590896379e-05,0.0001784749457814,0.0001441418794548,0.0038219301942801,0.0038300774718422
fixed,0.6116242168643903,0.0002154434690031,0.1,0.10853752275140477,0.10840535088198543,0.00013217186941931583,0.0072563984010548,0.0072499717753742,0.1245378182073113,0.1248032816432022
DE_gen_CV,0.6116242168643903,0.0002154434690031,0.0009660348324974,0.004771145906408563,0.004748760986180196,2.2384920228417133e-05,0.0002395363002106,0.0002022589044517,0.0053955391804267,0.0054066311119347
fixed,0.8556930527381014,0.0004216965034285,0.1,0.10798688630816274,0.10785089693470605,0.0001359893734565544,0.0072581186025279,0.007254105452567,0.1238652628327676,0.1241359644639503
DE_gen_CV,0.8556930527381014,0.0004216965034285,0.0017649871801854,0.005862517461450821,0.0058340827637173714,2.8434697733520784e-05,0.0003316765371278,0.000289866232221,0.0077612724328085,0.0077762115037713
fixed,1.197157634238341,0.000825404185268,0.1,0.10690930574686339,0.1067668493651029,0.00014245638176057148,0.0072627036001729,0.0072621964716477,0.1225568361980273,0.1228376084897985
DE_gen_CV,1.197157634238341,0.000825404185268,0.0029228799757517,0.007945892544121086,0.007905486990848618,4.040555327252181e-05,0.000467930032824,0.000421815119524,0.0112895846495507,0.0113091223620622
fixed,1.67488376425301,0.0016155980984398,0.1,0.10481560558764942,0.10466201678997224,0.00015358879767715856,0.0072733820165384,0.0072780333613491,0.1200261832359246,0.1203259952319569
DE_gen_CV,1.67488376425301,0.0016155980984398,0.004576871450796,0.011384716274703437,0.01132514885317098,5.956742153250625e-05,0.0006689789398124,0.0006204028416495,0.0164919318308796,0.0165161965622833
fixed,2.343246656521626,0.0031622776601683,0.1,0.10079630687740088,0.1006234501371437,0.0001728567402572206,0.0072966673212467,0.0073090315672506,0.1151874541544876,0.1155221290499082
DE_gen_CV,2.343246656521626,0.0031622776601683,0.0069144691000083,0.016790032748259364,0.01670303112648627,8.70016217731202e-05,0.0009657320542975,0.000918882461754,0.0240384002110225,0.0240661821067743
fixed,3.278319970907745,0.0061896581889126,0.1,0.09325019858832664,0.09304439500110027,0.00020580358722651886,0.0073455799488763,0.0073697056508126,0.1061425085618194,0.1065372196318304
DE_gen_CV,3.278319970907745,0.0061896581889126,0.0101951851162874,0.025006971291893124,0.02488382701923848,0.00012314427265471147,0.001403724977853,0.001366441643625,0.034743022343734,0.0347711016261607
fixed,4.586534585141047,0.0121152765862859,0.1,0.07968113835851762,0.07942127643082604,0.00025986192769153417,0.0074459849700251,0.0074884655696219,0.0899781517939687,0.0904643538065521
DE_gen_CV,4.586534585141047,0.0121152765862859,0.0147848493888188,0.03705789048419425,0.03689009339870759,0.0001677970854866855,0.0020494394880792,0.0020350853513723,0.0494852118164712,0.0495086624177411
fixed,6.41679265214314,0.0237137370566165,0.1,0.0573131744144201,0.05697217110619503,0.00034100330822510965,0.0076490402895059,0.0077209193206736,0.0636091950092672,0.0642012061591053
DE_gen_CV,6.41679265214314,0.0237137370566165,0.0212118526460538,0.05397376913960879,0.053752633323186604,0.00022113581642209265,0.0029989898319335,0.0030287952546471,0.0690371356009689,0.0690525272518387
fixed,8.977415775734741,0.0464158883361278,0.1,0.026749250395526832,0.02630428816516083,0.0004449622303660159,0.008055622477493,0.0081759107598705,0.0282944478895952,0.0289292892367561
DE_gen_CV,8.977415775734741,0.0464158883361278,0.0302611201017204,0.07648774134639547,0.07620144923358316,0.00028629211281230876,0.0043895477925231,0.0044950604536204,0.0937993330028681,0.0938135916388042
fixed,12.55985636118279,0.0908517575651688,0.1,0.0019198212558590854,0.001366518052349434,0.000553303203509675,0.0088642210457668,0.0090664845140299,0.0010644433212805,0.0015666776635046
DE_gen_CV,12.55985636118279,0.0908517575651688,0.0431328388481564,0.10465236656605433,0.1042789851784767,0.0003733813875776043,0.0064135262039652,0.0066382656058855,0.1235139497184604,0.1235612663348799
fixed,17.571870987632057,0.1778279410038923,0.1,0.021208931999441866,0.020548484615723065,0.000660447383718811,0.0104648022423289,0.0108096417325424,0.0251322875643605,0.0254313047714001
DE_gen_CV,17.571870987632057,0.1778279410038923,0.0617140448165731,0.13754368564794298,0.1370397601888188,0.0005039254591242118,0.0093349364939152,0.0097334473920392,0.1570850217144055,0.1572520774410375
fixed,24.58393162522664,0.3480700588428413,0.1,0.13062621973597863,0.12984989165958674,0.0007763280763919145,0.0136226981232764,0.0142215961880388,0.1461804554416124,0.146635588602249
DE_gen_CV,24.58393162522664,0.3480700588428413,0.089053447375907,0.173228930413703,0.17251386972703067,0.00071506068667233,0.0135068061342078,0.0141377824816648,0.1926159344998323,0.1930735579137428
fixed,34.39415726300309,0.6812920690579622,0.1,0.3275852723779411,0.3267583986916723,0.0008268736862689874,0.0198387719219953,0.0208999572003147,0.3525980509133724,0.3535644393606857
DE_gen_CV,34.39415726300309,0.6812920690579622,0.1302247528867436,0.20901842178790034,0.20795229185433806,0.0010661299335622482,0.0193890794428374,0.0202963587988003,0.2276310256618973,0.2286722092505539
fixed,48.11915652329192,1.333521432163324,0.1,0.5468723082650115,0.5461524367565282,0.0007198715084832827,0.032054708802488,0.0339717922415007,0.5727210302503638,0.5739751512288482
DE_gen_CV,48.11915652329192,1.333521432163324,0.194029966111389,0.24170866842224978,0.24005240184976734,0.0016562665724825503,0.0275687453826238,0.0287381878804244,0.2591816749919878,0.2612757179340793
fixed,67.32112104993318,2.6101572156825386,0.1,0.7253836313553947,0.7248710383946065,0.0005125929607882832,0.0560339642503787,0.0595578411283285,0.7461018642819514,0.7472346449335676
DE_gen_CV,67.32112104993318,2.6101572156825386,0.2969043962439486,0.2671533411441988,0.2644771759128105,0.002676165231388529,0.0387828184042521,0.040053144338738,0.2831887521555555,0.2870834774748835
fixed,94.18563555298384,5.108969774506934,0.1,0.8444513223847652,0.8441350273508049,0.0003162950339602677,0.1030653862901753,0.1096384836377024,0.8589564112436853,0.8597939373665234
DE_gen_CV,94.18563555298384,5.108969774506934,0.4736510454190378,0.27839368297553707,0.27382099519525666,0.004572687780280328,0.0539246214033823,0.0548171921082286,0.2922370287506231,0.2991883022047888
fixed,131.77044300762262,10.0,0.1,0.915097474353723,0.9149185144815383,0.0001789598721851196,0.195256015537004,0.2076634176650467,0.9246476493724816,0.9252102993875828
DE_gen_CV,131.77044300762262,10.0,0.8101522070003349,0.2633365868909135,0.25474993589233397,0.008586650998579597,0.0739920146770943,0.0734071159474287,0.2726746533483465,0.284982448449703
Gaussian_acc_oracle,0.0,0.0,5.997939022825432e-07,2.8385069783588622e-09,2.765999791327462e-09,7.250718703625963e-11,6.021912502588997e-05,5.674064875639241e-05,2.5138257535396486e-10,1.7692597369199072e-06
Gaussian_acc_oracle,0.0416694728193495,1e-06,4.199161559804761e-05,1.9017642051137474e-07,3.5567310042031234e-08,1.54609110469292e-07,6.633086215191115e-05,5.9265599448442784e-05,3.1388562365646904e-10,1.8521996175112685e-06
Gaussian_acc_oracle,0.0582976890378464,1.9573417814876616e-06,7.960052114765941e-05,2.6952261561406204e-07,2.2038915206724135e-09,2.673187240933834e-07,7.070854524109894e-05,6.154936012483797e-05,3.7292532271787655e-10,1.927510622141498e-06
Gaussian_acc_oracle,0.0815614001618772,3.831186849557285e-06,0.0001486000637827,5.084906850455349e-07,5.462086780865466e-08,4.53869817236842e-07,7.787231951434176e-05,6.571836827385194e-05,4.858773579132526e-10,2.065689781773812e-06
Gaussian_acc_oracle,0.1141085025179519,7.498942093324558e-06,0.0002704552693509,1.2555967227426252e-06,5.096388632315427e-07,7.459578595110733e-07,8.924778553515795e-05,7.303325079047056e-05,6.971350616403245e-10,2.31022946655289e-06
Gaussian_acc_oracle,0.1596435362934769,1.4677992676220704e-05,0.0004761009495637,3.2549757620443016e-06,2.0678092094571833e-06,1.187166552586919e-06,0.0001067418468642,8.530369553358811e-05,1.079758940172608e-09,2.7260382553566485e-06
Gaussian_acc_oracle,0.2233493396013774,2.8729848333536687e-05,0.000807800327151,7.6064338739637355e-06,5.734053280903346e-06,1.8723805930607126e-06,0.0001329640177516,0.0001050628049111,1.7484658280986e-09,3.409000954025903e-06
Gaussian_acc_oracle,0.312476963731664,5.623413251903491e-05,0.0013225256712912,1.544030732218432e-05,1.2418904595302802e-05,3.0214027268816973e-06,0.0001716660541098,0.0001359534550148,2.876782997041485e-09,4.505681729244118e-06
Gaussian_acc_oracle,0.4371709942694524,0.0001100694171252,0.0020977299184592,2.76183462711185e-05,2.258589300675342e-05,5.032453264367408e-06,0.0002284218621256,0.0001834218158778,4.7104758575102755e-09,6.248904850805821e-06
Gaussian_acc_oracle,0.6116242168643903,0.0002154434690031,0.0032396622471526,4.459601764350996e-05,3.6093031853168555e-05,8.50298579034875e-06,0.0003115999141154,0.0002557787547255,7.551228539429917e-09,9.01560106640381e-06
Gaussian_acc_oracle,0.8556930527381014,0.0004216965034285,0.0048947668104622,6.629509522893902e-05,5.202656199985015e-05,1.4268533229098517e-05,0.0004337552775733,0.0003657578401938,1.1656695891957624e-08,1.3417149043988052e-05
Gaussian_acc_oracle,1.197157634238341,0.000825404185268,0.0072656879246473,9.200027895351582e-05,6.848802708041838e-05,2.3512251873117155e-05,0.0006136455706665,0.0005328034186803,1.69721762819621e-08,2.043510322111213e-05
